N	2gram	Tiupa_Lite_1	Dialekti
1	не есть	2	54
2	и не	12	27
3	а не	16	26
4	точки зрения	6	25
5	и в	8	24
6	не только	24	23
7	что такое	2	21
8	не может	5	19
9	и есть	3	16
10	то что	10	14
11	с точки	2	14
12	может быть	13	13
13	таким образом	3	13
14	и даже	3	13
15	что он	5	13
16	того что	6	12
17	не менее	7	11
18	тем не	2	10
19	отнюдь не	2	10
20	в сущности	2	10
21	то это	2	9
22	но и	17	9
23	нет ничего	2	9
24	прежде всего	11	8
25	том что	14	8
26	в этом	12	8
27	что в	3	7
28	никогда не	4	7
29	и нет	2	7
30	в самом	3	7
31	потому что	3	7
32	в виду	3	7
33	как и	6	7
34	только на	2	7
35	как раз	4	7
36	я не	7	6
37	должна быть	2	6
38	и только	2	6
39	о том	2	6
40	превращается в	2	6
41	не на	2	6
42	то же	5	6
43	самом деле	2	6
44	с этой	5	5
45	в том	16	5
46	что его	3	5
47	жизни и	3	5
48	и его	4	5
49	что для	2	5
50	одно из	3	5
51	в то	5	5
52	как это	8	5
53	было бы	2	5
54	так и	4	5
55	уже не	7	5
56	что не	2	5
57	только в	8	5
58	с другой	3	4
59	это не	4	4
60	или иной	2	4
61	к тому	2	4
62	от себя	2	4
63	хотя бы	2	4
64	субъекта и	3	4
65	если оно	2	4
66	при всем	3	4
67	тому как	2	4
68	и то	2	4
69	подобно тому	2	4
70	для него	2	4
71	как все	2	3
72	не было	3	3
73	все же	4	3
74	за пределы	2	3
75	в своем	11	3
76	и я	6	3
77	не в	8	3
78	особого рода	2	3
79	же время	5	3
80	одной стороны	2	3
81	в основе	3	3
82	тем более	2	3
83	в нем	2	3
84	из них	4	3
85	то и	2	3
86	с одной	2	3
87	все эти	2	3
88	друг друга	4	3
89	в сферу	2	3
90	мир в	4	3
91	он и	3	3
92	мир и	2	3
93	тем что	2	3
94	на себя	2	3
95	в силу	4	3
96	одна из	3	3
97	как бы	7	3
98	и прежде	3	3
99	имеется в	2	3
100	тем самым	5	3
101	раз и	2	3
102	той же	3	3
103	в слове	2	3
104	в частности	15	2
105	из этих	2	2
106	о себе	4	2
107	этой точки	3	2
108	из того	2	2
109	тому же	2	2
110	на этом	2	2
111	еще не	4	2
112	при этом	19	2
113	несмотря на	3	2
114	например в	3	2
115	и является	2	2
116	всяком случае	2	2
117	так или	8	2
118	говоря уже	2	2
119	и тем	4	2
120	исходит из	3	2
121	не говоря	2	2
122	для этого	4	2
123	еще и	3	2
124	сознания в	12	2
125	а в	3	2
126	от самого	2	2
127	объект и	2	2
128	же и	3	2
129	в своих	4	2
130	также и	3	2
131	для себя	5	2
132	но в	3	2
133	я и	7	2
134	а для	2	2
135	этого не	2	2
136	с его	5	2
137	у него	3	2
138	перестает быть	4	2
139	нового времени	2	2
140	в их	3	2
141	их не	2	2
142	же в	5	2
143	но не	4	2
144	от своего	2	2
145	он один	2	2
146	со стороны	4	2
147	себя в	6	2
148	или нет?	2	2
149	или иначе	9	2
150	в данном	5	2
151	во всяком	3	2
152	могут быть	2	2
153	в себе	7	2
154	в его	7	2
155	более не	2	2
