N	2gram	Bakhtin_KF_1	KulturaY
1	и в	24	23
2	точки зрения	12	23
3	в том	6	22
4	не только	5	17
5	было бы	8	16
6	в этом	14	16
7	с точки	9	16
8	в области	2	14
9	может быть	45	14
10	самом деле	3	14
11	что в	4	13
12	не менее	3	12
13	для того	3	12
14	потому что	2	12
15	вопрос о	2	11
16	том что	4	11
17	а не	17	11
18	того что	3	11
19	в его	40	11
20	того чтобы	2	11
21	и не	26	10
22	прежде всего	2	9
23	тем не	2	9
24	еще не	4	9
25	хотя бы	4	9
26	если бы	8	8
27	лишь в	8	8
28	уже не	7	8
29	в виду	3	8
30	или иной	2	7
31	должно быть	6	7
32	в данном	2	7
33	все эти	10	7
34	с тем	2	6
35	для этого	2	6
36	по себе	2	6
37	что и	7	6
38	что он	2	6
39	при этом	4	6
40	и тем	3	6
41	так и	2	6
42	в их	8	6
43	не может	27	6
44	то же	5	6
45	могут быть	3	6
46	говорить о	2	6
47	только в	16	6
48	о том	3	6
49	ничего не	3	6
50	я не	6	5
51	независимо от	3	5
52	и есть	9	5
53	вовсе не	7	5
54	как и	5	5
55	не в	12	5
56	совершенно не	6	5
57	как бы	9	5
58	не значит	6	5
59	все же	5	5
60	от того	3	5
61	а в	4	5
62	но это	6	5
63	тем что	3	5
64	той или	3	5
65	в чем	4	5
66	слова в	2	4
67	были бы	2	4
68	тому что	2	4
69	ясно что	3	4
70	один из	2	4
71	этого слова	2	4
72	для нас	4	4
73	в целом	10	4
74	только как	4	4
75	в своей	10	4
76	в ее	16	4
77	лишь с	2	4
78	то что	7	4
79	что значит	2	4
80	как в	2	4
81	в своем	16	4
82	не было	8	4
83	тем самым	4	4
84	что не	3	4
85	между тем	4	4
86	однако что	2	4
87	ответственность за	2	4
88	тогда когда	3	4
89	а лишь	3	3
90	что это	3	3
91	это уже	2	3
92	отнюдь не	6	3
93	это не	10	3
94	на самом	3	3
95	должна быть	4	3
96	именно в	5	3
97	или иного	3	3
98	ни в	12	3
99	но как	5	3
100	это и	2	3
101	но не	12	3
102	но для	2	3
103	он не	6	3
104	был бы	3	3
105	не есть	20	3
106	отношение к	5	3
107	и именно	2	3
108	в процессе	2	3
109	но и	9	3
110	по отношению	26	3
111	и содержание	5	3
112	а с	2	3
113	мы не	3	3
114	не по	4	3
115	в ней	3	3
116	и пр	3	3
117	не имеет	5	3
118	не потому	2	3
119	бы и	3	3
120	могло бы	4	3
121	может иметь	2	3
122	в каком	4	3
123	в то	3	3
124	и только	6	3
125	того или	3	3
126	бы не	3	3
127	там где	5	3
128	я и	2	3
129	и действительно	6	3
130	или иное	2	2
131	все это	10	2
132	но все	5	2
133	не как	4	2
134	раз и	2	2
135	в одном	4	2
136	и я	5	2
137	быть в	4	2
138	не дает	3	2
139	и здесь	7	2
140	и того	2	2
141	и как	2	2
142	по своему	3	2
143	или иным	2	2
144	в качестве	2	2
145	конечно не	7	2
146	не о	2	2
147	в котором	24	2
148	его в	5	2
149	отношению к	22	2
150	я имею	3	2
151	дело не	2	2
152	что есть	2	2
153	как к	2	2
154	смысл и	6	2
155	он имеет	2	2
156	быть не	2	2
157	еще более	2	2
158	чтобы не	2	2
159	именно на	2	2
160	то или	2	2
161	в корне	2	2
162	не знает	5	2
163	для которого	3	2
164	смысловое содержание	6	2
165	здесь не	3	2
166	подхода к	2	2
167	мы имеем	5	2
168	но в	5	2
169	для меня	20	2
