N	2gram	Losev_Prob_2	Istorich
1	и в	35	25
2	что он	4	22
3	вместе с	2	22
4	и т	6	20
5	т д	6	18
6	представление о	5	17
7	может быть	18	17
8	не только	24	13
9	но и	16	13
10	в его	7	12
11	и не	37	11
12	уже не	8	11
13	так как	7	11
14	все же	8	10
15	в этом	17	10
16	тем что	4	10
17	с другой	6	9
18	его в	3	9
19	таким образом	4	9
20	в виде	6	9
21	с тем	3	8
22	связи с	5	8
23	что в	11	8
24	том что	19	8
25	еще не	10	8
26	на него	2	8
27	другой стороны	5	8
28	все эти	7	8
29	и что	13	8
30	и на	5	8
31	в частности	5	7
32	в качестве	2	7
33	как и	5	7
34	но это	6	7
35	то что	38	7
36	этом случае	7	7
37	одной стороны	5	7
38	при помощи	8	7
39	с одной	5	7
40	потому что	13	7
41	и здесь	4	7
42	представляет собой	2	7
43	только в	14	7
44	о том	18	7
45	в этих	4	6
46	прежде всего	11	6
47	в нее	2	6
48	что и	2	6
49	не может	13	6
50	не в	2	6
51	или в	2	6
52	в том	12	6
53	ясно что	8	5
54	с этим	5	5
55	как мы	5	5
56	для нас	9	5
57	но все	2	5
58	здесь мы	3	5
59	но не	4	5
60	в ней	2	5
61	в него	2	5
62	не будем	4	5
63	так же	5	5
64	входит в	2	5
65	и действительно	2	5
66	мы не	7	5
67	не менее	13	4
68	если не	4	4
69	что все	6	4
70	все еще	4	4
71	и тем	4	4
72	с другими	5	4
73	тем не	12	4
74	мы уже	3	4
75	на этой	2	4
76	а именно	6	4
77	все это	4	4
78	в связи	5	4
79	то же	5	4
80	в истории	3	4
81	и хотя	2	4
82	мы здесь	3	4
83	он не	2	4
84	мы должны	3	4
85	и это	5	4
86	и как	4	3
87	и все	5	3
88	состоит из	2	3
89	в целом	3	3
90	в этой	9	3
91	в то	6	3
92	того чтобы	2	3
93	на том	3	3
94	о нем	2	3
95	и др	2	3
96	только один	3	3
97	но мы	3	3
98	то это	3	3
99	но уже	5	3
100	не знаем	3	3
101	что при	4	3
102	в свете	3	3
103	для того	3	3
104	к нему	2	3
105	а в	4	3
106	в данном	10	3
107	их в	4	3
108	и с	10	3
109	никто не	3	3
110	и вообще	16	3
111	в таких	3	3
112	перед нами	2	2
113	уже в	3	2
114	ли он	3	2
115	уже и	3	2
116	бы мы	2	2
117	только тогда	3	2
118	тогда когда	3	2
119	вовсе не	37	2
120	вопрос о	3	2
121	по себе	8	2
122	на то	6	2
123	прийти к	2	2
124	можно сказать	6	2
125	так что	11	2
126	об этом	2	2
127	о которых	3	2
128	мы и	6	2
129	и при	2	2
130	одна из	3	2
131	это значит	4	2
132	до сих	4	2
133	она не	3	2
134	и сам	2	2
135	несмотря на	3	2
136	и мы	2	2
137	если бы	4	2
138	из которых	2	2
139	как бы	4	2
140	еще в	2	2
141	даже в	2	2
142	один из	3	2
143	сих пор	4	2
144	во всех	2	2
145	данном случае	5	2
146	совершенно не	2	2
147	язык и	2	2
148	и для	6	2
149	в голове	2	2
150	в одно	2	2
151	здесь как	2	2
152	эта связь	2	2
153	самом деле	4	2
154	оказывается что	3	2
155	а не	10	2
156	того что	12	2
157	и по	3	2
158	роль в	2	2
159	сказать что	24	2
160	точки зрения	2	2
161	что мы	14	2
162	которой он	4	2
163	просто на	2	2
164	ничего не	10	2
165	о чем	6	2
166	или как	2	2
167	значит что	4	2
168	это было	2	2
169	мы можем	6	2
