N	2gram	Voloshinov_1	slovoVRo
1	в романе	2	46
2	и в	19	39
3	может быть	26	37
4	и его	19	33
5	не только	8	24
6	и не	26	22
7	но и	8	21
8	не может	24	20
9	в нем	10	19
10	до конца	5	17
11	все это	3	16
12	в этом	16	16
13	так и	11	15
14	а не	7	14
15	как в	4	13
16	отличие от	5	13
17	в пределах	6	13
18	в процессе	14	13
19	во всех	7	12
20	в отличие	5	12
21	в истории	3	11
22	слово в	3	11
23	вовсе не	5	10
24	к своему	2	9
25	не в	5	9
26	языка и	13	9
27	и с	2	9
28	прежде всего	13	8
29	словом и	2	8
30	слова и	3	8
31	таким образом	17	8
32	точки зрения	34	8
33	слово как	4	7
34	языка как	17	7
35	при этом	8	7
36	для него	9	7
37	еще не	4	7
38	пределах одного	2	7
39	в его	6	7
40	как бы	15	7
41	никогда не	2	7
42	и потому	5	7
43	язык и	2	7
44	и даже	2	7
45	как мы	13	7
46	могут быть	2	7
47	язык в	4	6
48	и к	3	6
49	этом случае	3	6
50	все же	8	6
51	как и	12	6
52	в своем	2	6
53	языка в	14	6
54	в большинстве	3	6
55	она не	2	6
56	в сущности	3	6
57	жизни и	2	6
58	там где	2	6
59	все эти	7	6
60	в слове	10	6
61	так сказать	6	6
62	но в	7	6
63	не могут	3	5
64	с другой	5	5
65	и для	11	5
66	и все	5	5
67	по себе	4	5
68	том что	3	5
69	но все	3	5
70	или иной	3	5
71	только в	9	5
72	в том	6	5
73	и их	2	5
74	человека в	2	5
75	от него	2	5
76	конечно не	5	5
77	большинстве случаев	3	5
78	языка а	3	5
79	мира и	2	5
80	не менее	4	4
81	и др	2	4
82	эти формы	2	4
83	ни в	2	4
84	художественный образ	2	4
85	узком смысле	2	4
86	отношению к	2	4
87	же время	3	4
88	зависимости от	2	4
89	одна из	2	4
90	в смысле	6	4
91	в узком	2	4
92	в основном	6	4
93	в новое	2	4
94	на почве	6	4
95	в отношении	4	4
96	по отношению	3	4
97	входит в	5	4
98	то же	7	4
99	и других	2	4
100	с помощью	6	4
101	для всех	2	4
102	в таком	2	4
103	и иных	2	4
104	этим определяется	2	4
105	а в	4	4
106	с другими	3	4
107	и на	4	4
108	языка не	2	4
109	в основе	2	4
110	xix века	3	4
111	в то	3	4
112	отношении к	4	4
113	всех областях	2	4
114	его в	3	4
115	так как	2	4
116	слове в	4	3
117	что в	4	3
118	точку зрения	2	3
119	хотя бы	5	3
120	не столько	4	3
121	установкой на	2	3
122	и от	3	3
123	должна быть	2	3
124	язык как	7	3
125	здесь в	3	3
126	в свою	2	3
127	сама по	2	3
128	что и	2	3
129	с установкой	2	3
130	говорящего как	2	3
131	связи с	11	3
132	к проблеме	2	3
133	и как	3	3
134	как к	2	3
135	в ней	4	3
136	со всею	2	3
137	быть и	3	3
138	бы и	2	3
139	в контексте	8	3
140	этом отношении	3	3
141	не приходится	2	3
142	лишь в	9	3
143	идеологического творчества	9	3
144	с точки	20	3
145	той же	2	3
146	рядом с	5	3
147	сказать что	4	3
148	между тем	3	3
149	речи и	3	3
150	ту же	2	3
151	в чем	2	3
152	во всяком	5	3
153	в данном	4	2
154	не было	3	2
155	и более	2	2
156	независимо от	2	2
157	ни к	2	2
158	в нашем	2	2
159	жизни в	4	2
160	слово может	2	2
161	данного языка	3	2
162	языка с	2	2
163	на границе	3	2
164	в идеологическом	4	2
165	конечно в	2	2
166	в себе	2	2
167	и здесь	6	2
168	что он	2	2
169	что язык	2	2
170	она может	3	2
171	с ее	2	2
172	в дальнейшем	3	2
173	речи как	2	2
174	более того	3	2
175	правда и	3	2
176	из важнейших	2	2
177	свою очередь	2	2
178	громадное значение	2	2
179	мы уже	2	2
180	за пределы	5	2
181	как вещь	2	2
182	дело идет	4	2
183	же и	2	2
184	слова как	7	2
185	всяком случае	2	2
186	лишь тогда	2	2
187	точка зрения	7	2
188	не все	2	2
189	сих пор	8	2
190	то что	8	2
191	зрения и	2	2
192	те же	5	2
193	и речи	2	2
194	где они	2	2
195	кроме того	6	2
196	в языке	4	2
197	его именно	2	2
198	в связи	7	2
199	с этим	4	2
200	всех сторон	2	2
201	именно в	5	2
202	это и	3	2
203	на материале	8	2
204	на социальную	2	2
205	все формы	3	2
206	мы не	6	2
207	именно на	2	2
208	вне его	4	2
209	и т.п	10	2
210	того чтобы	5	2
211	для того	4	2
212	в рамки	4	2
213	менее всего	2	2
214	одним из	2	2
215	говорящего и	2	2
216	или в	2	2
217	в результате	9	2
218	и при	3	2
219	он не	3	2
220	нуждается в	3	2
221	как с	2	2
222	далеко не	4	2
223	к его	2	2
224	в другом	2	2
225	не знает	2	2
226	может стать	5	2
227	и вне	2	2
228	одним словом	2	2
229	о том	2	2
230	как он	2	2
231	и между	4	2
232	в области	3	2
233	оно может	4	2
234	индивидуального сознания	12	2
235	из него	2	2
236	до сих	8	2
