N	2gram	Bakhtin_Pr_1	Sovremen
1	не может	27	17
2	точки зрения	8	12
3	может быть	26	12
4	таким образом	10	11
5	в каждом	2	8
6	не можем	2	7
7	в этом	15	7
8	и в	38	7
9	и не	42	6
10	как и	7	6
11	мы можем	6	6
12	ничего не	6	6
13	прежде всего	13	5
14	все эти	5	5
15	и наконец	6	5
16	с точки	6	5
17	как бы	22	4
18	нет и	3	4
19	в целом	3	4
20	это не	5	4
21	а в	6	4
22	не только	9	4
23	с помощью	7	4
24	в том	8	4
25	в дальнейшем	3	4
26	мы должны	2	4
27	все же	6	3
28	отнюдь не	19	3
29	он может	2	3
30	все это	3	3
31	отличается от	2	3
32	то же	5	3
33	ясно что	3	3
34	в нем	15	3
35	а не	5	3
36	и к	3	3
37	у нас	2	3
38	не в	7	3
39	одна из	2	3
40	еще не	7	3
41	ли мы	3	3
42	при этом	5	3
43	было бы	8	3
44	и все	3	3
45	в себе	4	3
46	в области	11	3
47	но в	4	3
48	и потому	4	3
49	совершенно не	7	2
50	может иметь	5	2
51	не могут	2	2
52	что это	2	2
53	не менее	4	2
54	и есть	2	2
55	в виде	2	2
56	и именно	2	2
57	в некоторых	2	2
58	не будем	3	2
59	с совершенно	2	2
60	в нашем	4	2
61	принципиально не	4	2
62	приводит к	3	2
63	представлять себе	4	2
64	и во	2	2
65	в отличие	5	2
66	о значении	4	2
67	что все	2	2
68	с одной	3	2
69	как мы	7	2
70	в свою	2	2
71	или иной	2	2
72	самом деле	6	2
73	и что	2	2
74	и пр	2	2
75	из которых	2	2
76	к чему	2	2
77	и даже	3	2
78	дает нам	2	2
79	тем не	3	2
80	он должен	2	2
81	она может	3	2
82	то ни	3	2
83	в таком	3	2
84	на этом	2	2
85	могут быть	5	2
86	что в	7	2
87	не дает	2	2
88	говорить о	3	2
89	со всеми	3	2
90	же самое	2	2
91	в самом	7	2
92	ни одна	2	2
93	отличие от	5	2
94	в его	43	2
