N	2gram	Voloshinov_1	Tvorches
1	и в	15	20
2	не только	5	13
3	никогда не	7	11
4	как бы	11	11
5	в его	9	10
6	таким образом	21	10
7	в то	6	10
8	и его	15	9
9	и не	16	9
10	же с	2	9
11	прежде всего	11	8
12	в том	4	8
13	при этом	7	8
14	но и	4	8
15	может быть	13	8
16	в этом	13	8
17	и с	7	8
18	это не	2	7
19	же время	5	7
20	что в	6	7
21	не может	13	7
22	то же	7	7
23	потому что	4	7
24	у него	3	6
25	что он	8	6
26	как и	6	6
27	в целом	2	6
28	в своей	9	6
29	так и	10	6
30	все это	5	6
31	именно в	3	6
32	а не	2	6
33	в основном	2	6
34	если он	5	5
35	но это	2	5
36	еще не	7	5
37	но не	5	5
38	читателя в	3	5
39	все же	5	5
40	и даже	2	5
41	и на	3	5
42	в этой	5	5
43	об этом	4	4
44	в душе	13	4
45	мы не	4	4
46	том что	5	4
47	в дальнейшем	2	4
48	отнюдь не	2	4
49	что она	2	4
50	как в	3	4
51	все эти	9	4
52	не в	4	4
53	а в	6	4
54	в чем	4	4
55	и потому	8	4
56	ничего не	2	4
57	если бы	3	4
58	но в	9	4
59	он сам	4	3
60	с чувством	2	3
61	жизни в	3	3
62	в одной	2	3
63	человека и	6	3
64	к этому	7	3
65	с ним	12	3
66	отношению к	9	3
67	одна из	3	3
68	для него	5	3
69	в самом	6	3
70	он не	4	3
71	и др	8	3
72	не является	3	3
73	один из	4	3
74	в нем	4	3
75	то что	10	3
76	вместе с	4	3
77	сих пор	3	3
78	по отношению	11	3
79	по мнению	6	3
80	и через	2	3
81	так как	9	3
82	человека в	3	3
83	уже не	5	3
84	одним из	3	3
85	в таком	3	3
86	в своих	4	3
87	в себе	4	3
88	его в	8	3
89	между тем	2	3
90	до сих	3	3
91	все время	4	2
92	в силах	2	2
93	не менее	3	2
94	и есть	2	2
95	его и	2	2
96	точку зрения	4	2
97	в одном	3	2
98	я не	3	2
99	вовсе не	2	2
100	в этот	4	2
101	во всяком	4	2
102	и ее	3	2
103	в ее	4	2
104	в искусстве	3	2
105	у нас	3	2
106	целом и	2	2
107	более того	2	2
108	которой он	2	2
109	но если	2	2
110	о своих	3	2
111	всяком случае	3	2
112	себя в	2	2
113	в свой	2	2
114	в процессе	4	2
115	в истории	3	2
116	но эти	2	2
117	на него	4	2
118	как по	2	2
119	приводит к	2	2
120	не было	4	2
121	сводится к	3	2
122	самом деле	7	2
123	и что	3	2
124	связь с	4	2
125	и у	6	2
126	и наконец	10	2
127	и по	5	2
128	во многом	2	2
129	полную свободу	2	2
130	рядом с	2	2
131	роль в	6	2
132	из этой	2	2
133	с другими	5	2
134	с ними	4	2
135	в основе	3	2
136	могут быть	6	2
137	и только	4	2
138	только в	6	2
139	таком случае	2	2
140	из этого	2	2
141	так сказать	3	2
142	их в	2	2
