N	2gram	Losev_Prob_2	slovoVRo
1	и в	35	39
2	может быть	18	37
3	и т	6	35
4	то есть	39	26
5	не только	24	24
6	и не	37	22
7	но и	16	21
8	не может	13	20
9	все это	4	16
10	в этом	17	16
11	так и	7	15
12	а не	10	14
13	во всех	2	12
14	в истории	3	11
15	слово в	2	11
16	вовсе не	37	10
17	не в	2	9
18	языка и	5	9
19	и с	10	9
20	прежде всего	11	8
21	оно не	3	8
22	слова и	4	8
23	таким образом	4	8
24	точки зрения	2	8
25	языка как	2	7
26	при этом	3	7
27	еще не	10	7
28	в его	7	7
29	как бы	4	7
30	в этих	4	7
31	язык и	2	7
32	и даже	11	7
33	как мы	5	7
34	в него	2	7
35	в них	2	6
36	и к	3	6
37	этом случае	7	6
38	все же	8	6
39	как и	5	6
40	в своем	4	6
41	языка в	3	6
42	но не	4	6
43	она не	3	6
44	в значительной	3	6
45	все эти	7	6
46	в слове	3	6
47	но в	6	6
48	не могут	4	5
49	с другой	6	5
50	и для	6	5
51	и все	5	5
52	по себе	8	5
53	для нас	9	5
54	том что	19	5
55	но все	2	5
56	или иной	5	5
57	одной стороны	5	5
58	только в	14	5
59	в том	12	5
60	и их	3	5
61	той или	5	5
62	один из	3	5
63	слово и	2	5
64	мышления и	2	5
65	с одной	5	5
66	уже не	8	5
67	и наконец	3	5
68	конечно не	2	5
69	языка а	2	5
70	в плане	2	5
71	не менее	13	4
72	всех этих	4	4
73	и др	2	4
74	язык не	2	4
75	ни в	6	4
76	зависимости от	2	4
77	одна из	3	4
78	в зависимости	2	4
79	в отношении	4	4
80	для этого	3	4
81	входит в	2	4
82	то же	5	4
83	что оно	2	4
84	в той	2	4
85	для всех	2	4
86	в таком	11	4
87	а в	4	4
88	с другими	5	4
89	и на	5	4
90	в основе	3	4
91	даже и	18	4
92	в то	6	4
93	его в	3	4
94	здесь не	2	4
95	так как	7	4
96	или как	2	4
97	смысла и	2	3
98	перед нами	2	3
99	что в	11	3
100	одновременно и	3	3
101	хотя бы	12	3
102	и от	3	3
103	язык как	3	3
104	стороны и	4	3
105	сама по	4	3
106	что и	2	3
107	но это	6	3
108	нашей темы	2	3
109	связи с	5	3
110	его от	2	3
111	и как	4	3
112	в ней	2	3
113	к нему	2	3
114	быть и	2	3
115	бы и	7	3
116	в свете	3	3
117	лишь в	3	3
118	а также	2	3
119	той же	2	3
120	или даже	3	3
121	сказать что	24	3
122	может иметь	2	3
123	сознание и	2	3
124	говорить о	10	3
125	во всяком	13	3
126	в данном	10	2
127	уже в	3	2
128	не был	4	2
129	не было	3	2
130	и более	5	2
131	независимо от	2	2
132	хотя и	3	2
133	в нашем	3	2
134	тогда когда	3	2
135	только о	8	2
136	человеческой речи	4	2
137	в себе	5	2
138	и здесь	4	2
139	что он	4	2
140	без всякого	4	2
141	если оно	3	2
142	в одно	2	2
143	в нее	2	2
144	более или	4	2
145	нашего сознания	2	2
146	на нем	2	2
147	все что	3	2
148	как о	3	2
149	и само	2	2
150	только и	3	2
151	мы уже	3	2
152	точном смысле	2	2
153	же и	2	2
154	о нем	2	2
155	значение в	4	2
156	слова как	3	2
157	всяком случае	10	2
158	даже в	2	2
159	и особенно	2	2
160	не все	4	2
161	но мы	3	2
162	сих пор	4	2
163	то что	38	2
164	не знаем	3	2
165	вместе с	2	2
166	на него	2	2
167	входить в	2	2
168	или менее	4	2
169	и речи	3	2
170	а именно	6	2
171	в их	3	2
172	самого же	2	2
173	кроме того	5	2
174	отличается от	2	2
175	всем этим	3	2
176	в языке	15	2
177	и свои	2	2
178	в связи	5	2
179	и ни	3	2
180	с этим	5	2
181	т д	6	2
182	в виде	6	2
183	от нас	3	2
184	еще более	2	2
185	это и	3	2
186	но эта	3	2
187	мы не	7	2
188	этого предмета	2	2
189	того чтобы	2	2
190	для того	3	2
191	свой смысл	2	2
192	роль в	2	2
193	или в	2	2
194	также и	12	2
195	в результате	4	2
196	и при	2	2
197	он не	2	2
198	именно как	4	2
199	далеко не	4	2
200	но как	6	2
201	ведь и	2	2
202	не знает	3	2
203	о том	18	2
204	это возможно	2	2
205	которые в	2	2
206	значение как	2	2
207	можно говорить	3	2
208	здесь как	2	2
209	только с	2	2
210	в области	6	2
211	до сих	4	2
