N	2gram	Vygotskiy__2	Tragedij
1	и в	15	18
2	в этом	19	9
3	не только	15	8
4	он сам	3	7
5	и не	7	7
6	и с	4	7
7	может быть	9	7
8	как бы	7	7
9	что он	12	6
10	и его	4	6
11	у него	2	6
12	но в	6	6
13	все же	4	5
14	что это	6	5
15	так и	8	5
16	это не	5	5
17	не может	9	5
18	то же	5	5
19	как и	6	5
20	несмотря на	4	5
21	но и	10	4
22	то что	20	4
23	в целом	10	4
24	что в	14	4
25	все это	4	4
26	прежде всего	4	4
27	и все	3	4
28	и даже	5	4
29	так же	4	4
30	том что	27	4
31	в этой	6	4
32	и что	8	4
33	в себе	2	4
34	об этом	3	4
35	уже в	5	3
36	с ее	2	3
37	отнюдь не	2	3
38	в своем	9	3
39	как в	4	3
40	все эти	3	3
41	тем самым	3	3
42	и как	2	3
43	должно быть	2	3
44	в его	2	3
45	что с	5	3
46	для него	3	3
47	при этом	3	3
48	и сам	3	3
49	как это	6	3
50	с ним	3	3
51	не имеет	4	2
52	перед нами	2	2
53	и до	3	2
54	ребенка в	10	2
55	не могут	2	2
56	что и	2	2
57	на всем	2	2
58	как говорит	2	2
59	в частности	6	2
60	в отличие	3	2
61	данном случае	3	2
62	который в	4	2
63	что все	4	2
64	вопрос о	5	2
65	но эта	3	2
66	бы и	3	2
67	с его	4	2
68	говорит что	5	2
69	к тому	7	2
70	столь же	2	2
71	сам говорит	2	2
72	ни в	2	2
73	ребенка и	4	2
74	в том	33	2
75	друг друга	5	2
76	отличие от	3	2
77	но все	2	2
78	не в	8	2
79	в данном	3	2
80	потому что	7	2
81	ничем не	3	2
82	тем что	2	2
83	и ее	3	2
84	как у	2	2
85	по поводу	4	2
86	о том	9	2
87	и это	3	2
88	в самом	11	2
89	ничего не	3	2
90	он не	7	2
91	гораздо важнее	2	2
92	в одном	2	2
93	что она	3	2
94	никогда не	8	2
