N	2gram	Bakhtin_Pr_3	Komedia
1	и в	34	26
2	и не	29	14
3	к тому	5	12
4	так и	6	12
5	и его	16	12
6	в том	3	11
7	тому же	2	11
8	может быть	19	11
9	но и	12	10
10	на протяжении	5	10
11	в этом	16	10
12	что в	7	9
13	столь же	2	9
14	том что	3	9
15	если бы	4	9
16	вместе с	4	9
17	было бы	2	8
18	и на	6	7
19	из них	5	7
20	не только	10	7
21	что и	5	7
22	в своем	2	6
23	во время	2	6
24	то что	11	6
25	еще не	4	6
26	в нем	19	6
27	потому что	12	6
28	в то	12	6
29	о том	2	6
30	таким образом	5	6
31	с его	6	5
32	с тем	5	5
33	в которой	2	5
34	что он	23	5
35	один из	2	5
36	ни в	4	5
37	с этим	2	5
38	так что	5	5
39	обращает на	2	5
40	и с	15	5
41	уже в	3	4
42	не менее	3	4
43	у него	4	4
44	тому что	2	4
45	в них	2	4
46	что у	6	4
47	и от	5	4
48	прежде всего	15	4
49	как мы	7	4
50	как и	18	4
51	в целом	5	4
52	как будто	7	4
53	хотя и	3	4
54	в его	22	4
55	еще в	3	4
56	все же	7	4
57	в самом	8	4
58	и для	8	4
59	точки зрения	8	4
60	в начале	4	4
61	только в	6	4
62	что это	5	4
63	так как	4	4
64	б и	3	4
65	его в	4	4
66	между тем	3	4
67	это слово	5	4
68	это было	3	4
69	о чем	2	3
70	с этой	2	3
71	в каждом	3	3
72	по всему	2	3
73	вопрос о	2	3
74	того времени	2	3
75	надо было	2	3
76	мы знаем	2	3
77	жизни и	3	3
78	что его	3	3
79	отношению к	6	3
80	но все	5	3
81	к концу	3	3
82	но не	4	3
83	того же	2	3
84	во всех	2	3
85	же время	12	3
86	и сам	5	3
87	например в	2	3
88	да и	4	3
89	в ней	3	3
90	в котором	3	3
91	друг другу	4	3
92	в своей	3	3
93	все это	16	3
94	по отношению	5	3
95	той же	2	3
96	то же	14	3
97	не было	2	3
98	как в	4	3
99	к нему	14	3
100	друг друга	2	3
101	а в	5	3
102	тем что	4	3
103	не может	19	3
104	как он	3	3
105	но в	16	3
106	в речах	8	2
107	за собой	3	2
108	все время	5	2
109	ни было	4	2
110	в другой	2	2
111	отнюдь не	2	2
112	однако в	2	2
113	то ни	4	2
114	с другой	4	2
115	не для	2	2
116	это не	5	2
117	признать что	2	2
118	в одной	3	2
119	в конце	5	2
120	в одном	5	2
121	этом смысле	4	2
122	вовсе не	11	2
123	нет и	3	2
124	и к	12	2
125	с которым	7	2
126	в ее	3	2
127	не в	9	2
128	из его	4	2
129	должна была	2	2
130	тот же	2	2
131	на этом	4	2
132	бы то	4	2
133	по своему	3	2
134	и если	2	2
135	не удалось	2	2
136	наконец в	3	2
137	он не	15	2
138	друг с	2	2
139	как бы	27	2
140	которые в	2	2
141	всяком случае	5	2
142	даже в	5	2
143	не является	2	2
144	хотя бы	5	2
145	и т	8	2
146	и это	4	2
147	в мире	4	2
148	отношение к	6	2
149	в отличие	2	2
150	так в	2	2
151	т п	6	2
152	если не	3	2
153	еще более	2	2
154	в той	2	2
155	и что	5	2
156	с самого	8	2
157	и у	5	2
158	бы и	4	2
159	рядом с	4	2
160	такая же	2	2
161	отличие от	2	2
162	да еще	2	2
163	с ними	6	2
164	во всяком	5	2
165	и во	3	2
166	и ее	2	2
167	говорить о	3	2
168	с другом	2	2
169	и все	19	2
170	с которыми	2	2
171	бы в	3	2
172	в виду	3	2
173	же не	2	2
