N	2gram	Berdyaev_O_1	VLabPisa
1	в этом	12	26
2	и в	19	25
3	не только	11	22
4	может быть	11	21
5	хотя бы	3	20
6	и не	13	19
7	т е	4	17
8	не может	4	17
9	в его	7	15
10	прежде всего	9	13
11	в том	5	13
12	все это	6	12
13	не могут	3	10
14	о том	3	10
15	к этому	2	9
16	что в	4	9
17	для него	5	9
18	но и	13	9
19	все эти	4	8
20	в своем	2	8
21	могут быть	3	8
22	как и	6	7
23	том что	2	7
24	было бы	3	7
25	не было	9	7
26	а не	11	7
27	у него	22	6
28	это не	3	6
29	в себе	3	6
30	то что	5	6
31	в нем	10	6
32	так и	2	6
33	и его	4	6
34	художественном творчестве	2	6
35	все же	2	5
36	и есть	3	5
37	как бы	3	5
38	сказать что	2	5
39	не в	11	5
40	в единстве	2	4
41	никогда не	9	4
42	что все	2	4
43	что он	3	4
44	с его	4	4
45	в ее	2	4
46	в своей	2	4
47	в самом	5	4
48	когда он	3	4
49	в этой	5	4
50	и к	2	3
51	и ее	3	3
52	с тем	2	3
53	даже и	2	3
54	и от	3	3
55	человека и	10	3
56	момент в	2	3
57	что они	2	3
58	в творчестве	5	3
59	что не	4	3
60	и он	8	3
61	его в	2	3
62	что и	2	3
63	него в	5	3
64	ее в	2	3
65	того что	3	3
66	его не	2	3
67	в дневнике	2	3
68	он сам	4	2
69	достоевский о	2	2
70	можно ли	2	2
71	по себе	2	2
72	о его	5	2
73	и потому	2	2
74	еще не	3	2
75	мысль о	2	2
76	для того	3	2
77	ни с	7	2
78	что для	2	2
79	а в	5	2
80	достоевского и	5	2
81	человека в	11	2
82	того чтобы	4	2
83	и для	2	2
84	в своих	3	2
85	хотя и	2	2
86	лишь в	7	2
87	он в	2	2
88	ума и	2	2
89	он не	7	2
90	в другом	2	2
91	в которой	2	2
92	но в	2	2
