N	2gram	Potebnia_M_3	Formalny
1	и не	15	30
2	вовсе не	7	28
3	и в	30	27
4	может быть	28	25
5	не может	6	24
6	так и	11	21
7	и его	4	19
8	таким образом	14	18
9	в этом	10	18
10	а не	15	17
11	точки зрения	2	16
12	самом деле	2	16
13	в нем	9	15
14	то же	23	15
15	как и	10	14
16	не в	15	12
17	если бы	12	12
18	и от	4	11
19	в самом	8	11
20	художественное произведение	6	11
21	и т	5	11
22	место в	3	10
23	но и	19	10
24	не могут	5	10
25	в действительности	5	9
26	так как	13	9
27	не только	21	9
28	так же	3	9
29	что в	17	8
30	ни в	2	8
31	при этом	3	8
32	как бы	3	8
33	и все	3	8
34	то что	18	8
35	входит в	2	8
36	как мы	7	8
37	только в	21	8
38	не менее	5	7
39	в том	32	7
40	же время	5	7
41	все это	4	7
42	потому что	46	7
43	в искусстве	3	7
44	в то	10	7
45	его в	3	7
46	между тем	9	7
47	художественного произведения	5	7
48	с тем	7	7
49	в его	4	7
50	тем же	4	7
51	там где	3	7
52	с другой	7	6
53	и теперь	6	6
54	т д	3	6
55	бы в	2	6
56	что он	6	6
57	еще не	5	6
58	было бы	9	6
59	действительности и	3	6
60	все же	2	6
61	в своей	2	6
62	вместе с	12	6
63	независимо от	5	5
64	в каждом	3	5
65	что именно	4	5
66	что они	2	5
67	того чтобы	3	5
68	друг друга	3	5
69	другой стороны	4	5
70	в ней	8	5
71	и между	4	5
72	но не	7	5
73	и потому	4	5
74	что же	2	5
75	т п	2	5
76	тому как	5	5
77	тем что	7	5
78	связи с	2	5
79	так сказать	2	5
80	уже в	5	4
81	прежде всего	3	4
82	в смысле	4	4
83	к тому	7	4
84	и как	5	4
85	для того	4	4
86	же и	3	4
87	мы видели	4	4
88	в целом	3	4
89	жизни и	2	4
90	со стороны	3	4
91	о том	2	4
92	мы можем	3	4
93	тогда когда	9	4
94	по себе	16	4
95	бы ни	3	4
96	не есть	17	4
97	в ее	2	4
98	том что	18	4
99	она не	2	4
100	как ее	2	4
101	как в	10	4
102	только на	3	4
103	в слове	32	4
104	мы не	9	4
105	связь между	2	4
106	могут быть	3	4
107	подобно тому	2	4
108	слова и	5	4
109	что это	4	3
110	тому что	3	3
111	в какой	2	3
112	столь же	4	3
113	те же	6	3
114	можно сказать	3	3
115	для нас	20	3
116	между людьми	2	3
117	того что	18	3
118	и тем	5	3
119	слово как	5	3
120	по отношению	5	3
121	той же	2	3
122	этом отношении	2	3
123	и что	10	3
124	в которых	2	3
125	и на	3	3
126	не следует	5	3
127	никак не	3	3
128	их в	2	3
129	сказать что	5	3
130	и с	2	3
131	и следовательно	3	3
132	в них	5	3
133	это единство	2	3
134	художественном произведении	3	3
135	мы уже	2	3
136	оно не	4	3
137	отношению к	5	3
138	время в	3	3
139	в произведении	3	3
140	а и	4	3
141	уже не	6	3
142	внутренней формы	19	3
143	то он	2	3
144	в себе	16	3
145	может стать	2	3
146	души и	2	3
147	одним и	3	2
148	человека и	5	2
149	была бы	4	2
150	на все	2	2
151	но это	6	2
152	в этой	2	2
153	очевидно что	5	2
154	как о	2	2
155	в последнем	3	2
156	не можем	3	2
157	в котором	4	2
158	был бы	2	2
159	только один	2	2
160	нам кажется	2	2
161	из них	6	2
162	от того	8	2
163	что она	3	2
164	в своем	5	2
165	в нас	2	2
166	и содержание	2	2
167	можно только	2	2
168	и даже	2	2
169	одной и	4	2
170	из виду	2	2
171	могла быть	2	2
172	из этих	9	2
173	к одной	3	2
174	бы быть	2	2
175	слово в	4	2
176	возможно только	3	2
177	том как	3	2
178	что ни	2	2
179	только не	2	2
180	перестает быть	4	2
181	смысле этого	7	2
182	не как	2	2
183	же что	6	2
184	что собственно	2	2
185	к этому	3	2
186	что уже	2	2
187	говорить о	3	2
188	и притом	2	2
189	а к	3	2
190	от него	2	2
191	и тогда	3	2
192	мы должны	4	2
193	одной из	2	2
194	или на	2	2
195	за пределы	2	2
196	но оно	6	2
197	бы например	2	2
198	этого слова	11	2
199	даже в	2	2
200	с таким	2	2
201	что и	13	2
202	тем не	3	2
203	так в	2	2
204	в языке	7	2
205	бы не	4	2
206	это и	2	2
207	лишь тогда	2	2
208	то или	2	2
209	в таком	3	2
210	форма в	4	2
211	это можно	3	2
212	от этого	2	2
213	быть только	4	2
214	в каком	5	2
215	и это	4	2
216	произведение есть	2	2
217	в области	2	2
