N	2gram	Trubetskoy_1	Problema
1	то есть	4	39
2	то что	7	38
3	и не	8	37
4	и в	26	35
5	сказать что	2	24
6	не только	10	24
7	том что	7	19
8	о том	6	18
9	может быть	10	18
10	в этом	15	17
11	но и	9	16
12	что мы	2	14
13	только в	4	14
14	не менее	3	13
15	и что	4	13
16	потому что	7	13
17	во всяком	6	13
18	не может	4	13
19	тем не	3	12
20	в том	11	12
21	того что	3	12
22	хотя бы	3	12
23	что в	9	11
24	прежде всего	2	11
25	так что	3	11
26	и даже	3	11
27	в таком	3	11
28	всяком случае	6	10
29	и с	10	10
30	еще не	2	10
31	а не	5	10
32	в этой	4	9
33	уже не	3	8
34	в виду	2	8
35	ясно что	3	8
36	все же	6	8
37	в конце	6	7
38	все эти	6	7
39	не имеет	5	7
40	в его	5	7
41	конце концов	3	7
42	так и	6	7
43	так как	9	7
44	с другой	8	6
45	что все	4	6
46	можно сказать	3	6
47	так или	3	6
48	к сожалению	3	6
49	в то	4	6
50	на то	2	6
51	по крайней	5	6
52	же самое	2	6
53	относится к	2	6
54	крайней мере	5	6
55	и для	5	6
56	или иначе	3	6
57	мы можем	2	6
58	в виде	4	6
59	но в	7	6
60	в области	9	6
61	представление о	6	5
62	или иной	2	5
63	в самом	4	5
64	той или	2	5
65	в связи	3	5
66	с одной	7	5
67	так же	5	5
68	и на	2	5
69	и все	2	5
70	уже давно	2	5
71	связи с	9	5
72	по своему	2	5
73	то же	4	5
74	одной стороны	7	5
75	с другими	4	5
76	в себе	6	5
77	и это	2	5
78	не могут	2	4
79	в этих	4	4
80	в своем	3	4
81	в отношении	6	4
82	и как	3	4
83	более или	5	4
84	случае не	3	4
85	в общем	8	4
86	как бы	12	4
87	не вполне	3	4
88	все это	6	4
89	и только	4	4
90	таким образом	22	4
91	а в	4	4
92	в результате	3	4
93	но если	2	4
94	и здесь	2	4
95	для каждого	2	4
96	если бы	3	4
97	что он	4	4
98	но не	8	4
99	тех пор	2	4
100	до сих	5	4
101	тот же	2	4
102	и о	3	4
103	сих пор	5	4
104	или менее	5	4
105	если не	2	4
106	или по	2	4
107	далеко не	4	4
108	уже в	2	3
109	может ли	2	3
110	и от	4	3
111	из этих	10	3
112	точно так	3	3
113	к тому	6	3
114	несмотря на	6	3
115	и если	3	3
116	значительной мере	2	3
117	и является	2	3
118	один из	2	3
119	для этого	2	3
120	то ни	2	3
121	не было	2	3
122	одновременно и	2	3
123	при этом	3	3
124	лишь в	5	3
125	и наконец	2	3
126	и по	4	3
127	о котором	2	3
128	мы должны	6	3
129	с тем	18	3
130	только не	2	3
131	перестает быть	2	3
132	такое положение	2	3
133	тогда когда	2	3
134	и к	5	3
135	все что	2	3
136	оказывается что	3	3
137	иной раз	2	3
138	в значительной	3	3
139	с самого	3	3
140	для того	5	3
141	то или	2	3
142	большей частью	3	3
143	ничего общего	2	3
144	как о	3	3
145	том числе	5	2
146	или иное	2	2
147	самого начала	2	2
148	по тому	2	2
149	уже с	3	2
150	его от	2	2
151	не в	2	2
152	но все	7	2
153	числе и	4	2
154	из которых	4	2
155	к нему	7	2
156	бы то	2	2
157	при таком	2	2
158	отличается от	2	2
159	что оно	4	2
160	можно только	2	2
161	в одно	2	2
162	между этими	2	2
163	как на	8	2
164	точки зрения	13	2
165	и действительно	2	2
166	для всех	2	2
167	в них	2	2
168	но при	2	2
169	утверждать что	2	2
170	учение о	4	2
171	и при	3	2
172	представляет собой	3	2
173	в качестве	3	2
174	ли это	2	2
175	мысль о	2	2
176	общего с	2	2
177	конечно не	2	2
178	он не	4	2
179	оно является	2	2
180	а также	2	2
181	и особенно	2	2
182	что и	6	2
183	во всех	2	2
184	к другу	2	2
185	вместе с	15	2
186	быть и	2	2
187	того чтобы	5	2
188	свидетельствует о	2	2
189	ничем не	4	2
190	которые в	2	2
191	из этого	2	2
192	положение дела	2	2
