N	2gram	Vinokur_Ku_2	VeschiIm
1	т е	22	42
2	не может	9	33
3	не только	20	31
4	может быть	15	29
5	и не	16	28
6	и в	23	26
7	то что	9	24
8	и есть	2	23
9	и т	39	21
10	т д	14	20
11	а не	10	20
12	не просто	2	18
13	что я	4	16
14	и следовательно	2	15
15	что она	3	14
16	только в	5	14
17	и что	8	13
18	того что	3	13
19	по себе	10	13
20	что это	7	12
21	было бы	15	12
22	но и	7	12
23	сказать что	4	12
24	все же	7	12
25	и то	5	12
26	что же	5	11
27	таким образом	5	11
28	то же	6	10
29	уже не	8	10
30	в ней	3	10
31	как бы	4	10
32	потому что	25	10
33	что мы	6	10
34	что такое	3	10
35	в том	19	9
36	в самом	12	9
37	есть явление	2	9
38	и с	7	9
39	прежде всего	8	9
40	что не	6	9
41	еще и	2	9
42	на то	4	8
43	но это	3	8
44	смысл и	3	8
45	и это	3	8
46	ничего не	4	8
47	смысла и	2	7
48	совершенно не	3	7
49	что оно	3	7
50	также и	5	7
51	говорить о	4	7
52	в то	4	7
53	так как	15	7
54	том что	11	7
55	как раз	3	7
56	и пр	8	7
57	в этом	18	7
58	ли это	2	7
59	что они	2	6
60	но что	2	6
61	что в	10	6
62	со стороны	4	6
63	отличается от	3	6
64	должно быть	4	6
65	в результате	4	6
66	точки зрения	14	6
67	то не	2	6
68	но в	11	6
69	по крайней	6	6
70	ясно что	5	6
71	она не	2	6
72	крайней мере	6	6
73	бы и	4	6
74	если мы	4	6
75	можно было	9	6
76	быть только	2	6
77	а если	2	6
78	не менее	7	5
79	должна быть	5	5
80	в отношении	2	5
81	это не	6	5
82	с этой	2	5
83	тем не	6	5
84	не в	8	5
85	свою очередь	2	5
86	еще не	5	5
87	и до	2	5
88	для этого	3	5
89	должны быть	2	5
90	а в	3	5
91	что для	2	5
92	ни на	2	5
93	с тем	2	5
94	если бы	12	5
95	отнюдь не	4	5
96	в свою	2	5
97	у нас	12	5
98	это и	3	5
99	но не	6	5
100	того же	3	5
101	в сущности	9	5
102	и для	2	5
103	я не	5	4
104	можно ли	4	4
105	в своем	2	4
106	с другой	8	4
107	же время	3	4
108	в их	2	4
109	то и	3	4
110	мы говорим	2	4
111	быть не	2	4
112	от того	4	4
113	и даже	2	4
114	с этим	3	4
115	и более	2	4
116	и все	2	4
117	как и	2	4
118	на себе	4	4
119	и о	4	4
120	и потому	2	4
121	однако не	4	4
122	оно не	2	4
123	должен быть	5	4
124	что и	3	4
125	этот вопрос	6	4
126	с точки	8	4
127	то или	3	4
128	что значит	2	4
129	в данном	4	4
130	тем что	3	4
131	никогда не	2	3
132	но даже	2	3
133	вопрос о	9	3
134	можно сказать	4	3
135	к тому	4	3
136	несмотря на	5	3
137	на этом	3	3
138	в нем	4	3
139	все это	5	3
140	отношения к	2	3
141	а это	2	3
142	мы имеем	5	3
143	нисколько не	3	3
144	на это	3	3
145	само по	5	3
146	даже и	2	3
147	один из	5	3
148	что он	5	3
149	могла бы	2	3
150	тот же	5	3
151	между прочим	2	3
152	себе не	2	3
153	как можно	2	3
154	в своей	2	3
155	вместе с	5	3
156	так и	4	3
157	да и	6	3
158	в той	2	3
159	самом деле	9	3
160	того чтобы	11	3
161	хотя бы	9	3
162	не то	2	3
163	и вообще	2	3
164	вопроса о	6	3
165	мы будем	2	2
166	казалось бы	3	2
167	в частности	2	2
168	была бы	4	2
169	на все	2	2
170	что на	4	2
171	а только	3	2
172	но зато	2	2
173	ни в	4	2
174	в самой	2	2
175	но все	4	2
176	не говорит	2	2
177	и если	2	2
178	в виду	3	2
179	в сфере	3	2
180	так или	2	2
181	и тем	5	2
182	данном случае	2	2
183	но только	4	2
184	из предыдущего	2	2
185	этой точки	2	2
186	и вот	5	2
187	заключается в	2	2
188	бы на	2	2
189	который мы	2	2
190	всякой иной	2	2
191	так же	4	2
192	словесной природе	2	2
193	конечно и	2	2
194	в своих	2	2
195	как это	5	2
196	ни к	15	2
197	от этого	2	2
198	превращается в	2	2
199	в одну	2	2
200	различие между	3	2
201	о которых	3	2
202	в силу	7	2
203	на этой	4	2
204	в качестве	8	2
205	это так	3	2
206	но оно	2	2
207	никак не	3	2
208	об этом	5	2
209	он не	3	2
210	но уже	2	2
211	как в	3	2
212	приводит к	5	2
213	но можно	2	2
214	все равно	2	2
215	как мы	3	2
216	можно говорить	2	2
217	для того	9	2
218	тем же	2	2
219	своей собственной	3	2
220	и его	3	2
221	той же	2	2
222	или иначе	3	2
223	во всяком	5	2
224	выражение в	3	2
225	ту же	6	2
226	в особенности	4	2
227	не все	3	2
