N	2gram	Berdyaev_M_2	Analitik
1	в этом	20	18
2	и в	46	16
3	не только	18	16
4	так и	4	15
5	как и	13	14
6	в том	3	12
7	но и	15	12
8	и не	18	12
9	том что	4	12
10	как бы	8	10
11	а не	13	10
12	лишь в	2	9
13	в этой	7	9
14	ничего не	2	9
15	не случайно	2	8
16	к тому	5	7
17	в себе	10	7
18	то что	5	7
19	о том	3	7
20	в самом	5	6
21	в мире	7	6
22	и на	3	6
23	может быть	21	6
24	но в	10	6
25	и к	7	5
26	в своем	8	4
27	в конце	5	4
28	у него	22	4
29	уже не	4	4
30	не в	9	4
31	для него	18	4
32	в сущности	2	4
33	по преимуществу	5	4
34	отношению к	2	4
35	во всех	2	4
36	как в	7	4
37	по отношению	2	4
38	не может	15	4
39	на этом	2	4
40	и его	5	4
41	то же	5	4
42	не так	3	4
43	хотя и	2	4
44	он в	3	4
45	точки зрения	2	4
46	только в	3	4
47	не был	2	3
48	место в	2	3
49	никогда не	18	3
50	в нашем	7	3
51	прежде всего	12	3
52	или иной	2	3
53	не мог	3	3
54	так что	2	3
55	с самим	3	3
56	есть в	3	3
57	в действительности	2	3
58	и если	2	3
59	со своим	2	3
60	на его	2	3
61	в центре	2	3
62	и за	2	3
63	что и	4	3
64	если бы	3	3
65	не знает	9	3
66	на смену	3	3
67	можно было	2	3
68	а в	2	3
69	тому как	2	3
70	тем что	3	3
71	подобно тому	2	3
72	как будто	2	3
73	бы в	2	3
74	я и	2	3
75	и все	5	3
76	того что	6	2
77	тот кто	5	2
78	он же	3	2
79	что все	5	2
80	по себе	2	2
81	к своему	2	2
82	момент его	2	2
83	он был	9	2
84	все что	4	2
85	превращается в	2	2
86	что в	4	2
87	она не	8	2
88	такого рода	2	2
89	в своей	5	2
90	не о	2	2
91	еще в	2	2
92	один из	5	2
93	не есть	13	2
94	себя в	4	2
95	вместе с	2	2
96	что она	5	2
97	отношения к	2	2
98	той же	3	2
99	т е	4	2
100	еще более	2	2
101	те же	5	2
102	но эта	2	2
103	и он	11	2
104	не имеет	4	2
105	и для	7	2
106	так же	6	2
107	между тем	2	2
108	и во	3	2
109	личности и	2	2
110	он не	10	2
111	в его	5	2
112	его в	3	2
113	в этих	2	2
114	сказать что	3	2
115	с ним	3	2
