N	2gram	Tiupa_Teor_1	formyVre
1	и в	18	46
2	в этом	8	22
3	прежде всего	2	14
4	вовсе не	3	13
5	в романе	3	13
6	и его	8	12
7	только в	6	11
8	не только	16	11
9	в том	16	10
10	как бы	5	10
11	точки зрения	9	10
12	то есть	12	10
13	но в	9	10
14	не в	7	9
15	вместе с	2	9
16	но и	9	9
17	и не	13	9
18	и для	2	9
19	как и	4	8
20	в его	6	8
21	то же	7	8
22	с точки	3	8
23	потому что	3	8
24	в них	2	7
25	в одном	2	7
26	может быть	17	7
27	то что	3	7
28	так и	10	7
29	в эпизоде	3	7
30	времени в	2	7
31	никогда не	4	6
32	при этом	12	6
33	еще не	4	6
34	этом мире	2	6
35	его в	2	6
36	все это	2	6
37	в основе	3	6
38	в частности	16	5
39	в своем	4	5
40	в пространстве	2	5
41	в пределах	5	5
42	в то	6	5
43	но не	9	5
44	он не	3	5
45	в нем	4	5
46	что в	9	5
47	все эти	2	5
48	место в	5	4
49	отнюдь не	3	4
50	жизни в	2	4
51	из этих	3	4
52	же время	5	4
53	том что	9	4
54	в мире	19	4
55	как в	5	4
56	отношения к	2	4
57	а не	9	4
58	их в	3	4
59	в себе	9	4
60	том числе	2	3
61	не является	4	3
62	того же	3	3
63	к тому	2	3
64	и как	2	3
65	в качестве	24	3
66	в большинстве	2	3
67	для него	2	3
68	имеет место	2	3
69	хотя и	3	3
70	а также	6	3
71	что и	2	3
72	ее в	2	3
73	отношение к	5	3
74	в форме	2	3
75	во времени	3	3
76	не на	2	3
77	и другие	2	3
78	таким образом	3	3
79	в их	2	3
80	уже не	4	3
81	того что	4	3
82	и даже	2	3
83	и по	2	3
84	а в	13	3
85	роль в	2	3
86	на основе	2	3
87	имеем в	3	3
88	в другом	3	3
89	в этих	3	3
90	в виду	5	3
91	по своему	2	2
92	говорить о	3	2
93	с другой	7	2
94	это не	2	2
95	или иной	4	2
96	можно сказать	3	2
97	в отношении	3	2
98	в самой	2	2
99	именно в	3	2
100	у нас	2	2
101	своей жизни	2	2
102	в этой	3	2
103	а на	3	2
104	между ними	4	2
105	и к	3	2
106	в аспекте	2	2
107	и о	4	2
108	и потому	2	2
109	если в	2	2
110	жизни но	2	2
111	один из	2	2
112	принадлежит к	3	2
113	быть и	2	2
114	и т.п	4	2
115	не может	4	2
116	с одной	2	2
117	в себя	3	2
118	и вот	3	2
119	в той	2	2
120	лишь в	6	2
121	жизни как	4	2
122	так же	2	2
123	в данном	8	2
124	то в	2	2
125	мы имеем	7	2
126	могут быть	4	2
127	но он	3	2
128	самим собою	2	2
129	в литературе	2	2
130	не знает	3	2
131	в поэзии	2	2
132	далеко не	2	2
133	в конце	2	2
134	и это	2	2
135	как это	8	2
136	мире и	2	2
