N	2gram	Bakhtin_Pr_2	Sotsiolo
1	все это	5	7
2	в том	8	5
3	в этом	20	5
4	развития литературы	2	4
5	не в	8	3
6	как же	2	3
7	но ведь	3	3
8	в его	22	3
9	и в	45	3
10	не только	16	3
11	по отношению	8	2
12	еще не	9	2
13	было бы	4	2
14	только в	9	2
15	в конце	4	2
16	таким образом	11	2
17	том что	7	2
18	далеко не	4	2
19	то же	5	2
20	отношению к	8	2
21	то что	5	2
22	может быть	18	2
23	за пределы	5	2
24	в результате	3	2
25	и что	2	2
26	но и	15	2
27	в смысле	2	2
28	по природе	3	2
29	как бы	15	2
30	должна быть	3	2
31	конце концов	3	2
32	что в	6	2
