N	2gram	Propp_Russ_1	Tragedij
1	и в	36	18
2	в году	2	9
3	в этом	12	9
4	не только	22	8
5	и не	6	7
6	и на	10	7
7	и с	2	7
8	может быть	8	7
9	как бы	5	7
10	в образе	2	6
11	у него	2	6
12	но в	2	6
13	все же	5	5
14	к жизни	3	5
15	что это	3	5
16	так и	7	5
17	это не	10	5
18	не может	4	5
19	то же	3	5
20	в дальнейшем	2	5
21	как и	10	5
22	несмотря на	3	5
23	но и	16	4
24	то что	6	4
25	в целом	2	4
26	что в	19	4
27	все это	6	4
28	в нем	2	4
29	так же	3	4
30	том что	19	4
31	но это	4	4
32	и что	4	4
33	еще не	4	4
34	об этом	9	4
35	один из	8	3
36	о чем	3	3
37	отнюдь не	2	3
38	в своем	3	3
39	как в	5	3
40	все эти	2	3
41	в поле	3	3
42	и как	2	3
43	в основном	3	3
44	в его	2	3
45	при этом	6	3
46	своего рода	3	3
47	как будто	5	3
48	как это	8	3
49	с ним	2	3
50	то есть	3	3
51	еще в	4	2
52	не имеет	6	2
53	и до	2	2
54	но они	3	2
55	что и	7	2
56	в частности	2	2
57	с г	2	2
58	не просто	2	2
59	уже не	6	2
60	к тому	4	2
61	и лучше	2	2
62	и здесь	2	2
63	он был	2	2
64	в том	17	2
65	до конца	2	2
66	но все	3	2
67	так что	2	2
68	что этот	4	2
69	тут же	2	2
70	в русском	4	2
71	не случайно	2	2
72	одна из	4	2
73	потому что	10	2
74	с тем	8	2
75	тем что	4	2
76	в виде	6	2
77	в это	3	2
78	о том	8	2
79	ничего не	3	2
80	в одном	3	2
81	что она	2	2
