N	2gram	Medvedev_V_1	Problemy
1	и не	19	31
2	и в	26	29
3	в его	14	24
4	может быть	22	24
5	а не	7	22
6	в этом	26	22
7	т е	18	21
8	как бы	5	19
9	в нем	6	19
10	точки зрения	3	19
11	для него	8	18
12	не только	25	15
13	то что	6	15
14	но и	10	14
15	и его	6	14
16	то же	10	14
17	в пределах	5	13
18	как и	7	12
19	не может	17	12
20	таким образом	31	12
21	в одном	4	10
22	в самом	4	10
23	в то	6	10
24	только в	7	10
25	с его	3	9
26	это не	7	9
27	все же	5	9
28	в романе	4	9
29	но не	2	9
30	же время	5	9
31	все эти	6	9
32	идеи в	2	9
33	если бы	3	9
34	в каждом	2	8
35	в своем	8	8
36	по себе	2	8
37	что он	4	8
38	что в	10	8
39	отношению к	7	8
40	в своей	4	8
41	по отношению	7	8
42	в том	15	8
43	прежде всего	13	7
44	вовсе не	3	7
45	а как	2	7
46	том что	8	7
47	не в	6	7
48	она не	3	7
49	так и	5	7
50	в форме	3	7
51	достоевского и	2	7
52	и как	3	7
53	а в	3	7
54	с другими	2	7
55	в себе	6	7
56	мира и	3	7
57	но в	2	7
58	все это	10	6
59	в конце	3	6
60	не могут	7	6
61	в целом	4	6
62	одним из	5	6
63	в единстве	4	6
64	что она	2	6
65	как раз	3	6
66	так же	3	6
67	могут быть	5	6
68	его в	3	6
69	и потому	2	6
70	перед нами	4	5
71	и др	9	5
72	именно в	2	5
73	было бы	7	5
74	зависимости от	5	5
75	еще не	2	5
76	это и	6	5
77	у него	6	5
78	он не	2	5
79	в зависимости	6	5
80	в творчестве	3	5
81	конце концов	2	5
82	между тем	5	5
83	он и	2	5
84	в плане	5	5
85	в результате	5	4
86	бы и	6	4
87	что и	3	4
88	даже в	5	4
89	в процессе	16	4
90	от того	2	4
91	и т	23	4
92	и для	2	4
93	не было	7	4
94	они не	2	4
95	и наконец	2	4
96	должно быть	2	4
97	их в	6	4
98	или наконец	2	4
99	в этой	4	4
100	человека в	2	4
101	так сказать	2	4
102	он сам	2	3
103	для его	4	3
104	никогда не	4	3
105	в них	4	3
106	с другой	11	3
107	только у	2	3
108	по существу	3	3
109	одна из	4	3
110	художественного творчества	18	3
111	от характера	2	3
112	ни один	7	3
113	о своем	2	3
114	себе и	2	3
115	он может	2	3
116	только то	2	3
117	в их	5	3
118	другой стороны	8	3
119	тому что	6	3
120	как на	3	3
121	т п	9	3
122	этом отношении	13	3
123	например в	3	3
124	приводит к	5	3
125	и у	2	3
126	отличается от	2	3
127	тому как	2	3
128	ее как	2	3
129	в своих	2	3
130	сказать что	5	3
131	но с	2	3
132	подобно тому	2	3
133	но как	3	3
134	далеко не	2	3
135	в художественном	10	3
136	бы в	3	3
137	его художественного	2	3
138	все его	2	3
139	произведения в	7	2
140	на вопрос	2	2
141	в противоположность	3	2
142	всех этих	2	2
143	связи с	4	2
144	хотя бы	19	2
145	и от	3	2
146	в жизни	2	2
147	своих героев	2	2
148	и ее	4	2
149	и к	3	2
150	замысла и	4	2
151	жизни и	3	2
152	же в	6	2
153	художественный образ	5	2
154	из его	3	2
155	является не	4	2
156	от них	2	2
157	вне его	2	2
158	со своим	2	2
159	него в	3	2
160	разобраться в	2	2
161	идеологического творчества	2	2
162	не о	2	2
163	в котором	3	2
164	один из	5	2
165	ни одного	2	2
166	во всей	2	2
167	и даже	2	2
168	что оно	3	2
169	произведения и	7	2
170	из которых	2	2
171	у тургенева	3	2
172	между ними	3	2
173	к этим	2	2
174	не об	2	2
175	можно было	2	2
176	этот вопрос	3	2
177	в которых	3	2
178	в ней	2	2
179	как например	2	2
180	данного произведения	3	2
181	и есть	5	2
182	самый факт	2	2
183	в которой	2	2
184	художественную форму	2	2
185	же и	2	2
186	нет ни	2	2
187	в сознании	4	2
188	е в	2	2
189	с этим	3	2
