N	2gram	Medvedev_U_1	Marksizm
1	может быть	6	28
2	и в	14	19
3	и не	8	19
4	не может	7	18
5	то же	5	16
6	в этом	7	15
7	таким образом	2	14
8	не только	10	13
9	если бы	2	11
10	не в	2	10
11	но и	4	10
12	том что	2	10
13	для него	3	9
14	как и	3	9
15	самом деле	2	9
16	а не	10	9
17	же время	3	8
18	в то	3	8
19	с его	2	8
20	только в	2	8
21	в том	2	7
22	но в	3	7
23	прежде всего	8	7
24	и для	2	7
25	в самом	2	6
26	ни было	3	6
27	же самое	2	6
28	между тем	2	6
29	хотя бы	5	6
30	то ни	3	5
31	в их	4	5
32	в его	2	5
33	все же	3	5
34	должна быть	2	4
35	это не	3	4
36	то что	7	4
37	бы то	3	4
38	а как	2	4
39	как раз	2	4
40	смысле этого	2	4
41	что он	2	4
42	было бы	3	4
43	конечно не	4	4
44	в себе	2	4
45	и т.д	3	4
46	ничего не	2	4
47	с другой	4	3
48	в этой	4	3
49	его и	2	3
50	и формы	3	3
51	не как	3	3
52	по себе	2	3
53	у нас	3	3
54	до сих	2	3
55	что и	2	3
56	не есть	2	3
57	в своей	3	3
58	форму и	2	3
59	и то	3	3
60	могут быть	2	3
61	сих пор	2	3
62	формы и	2	2
63	в противном	2	2
64	о чем	2	2
65	и у	2	2
66	одним из	2	2
67	в системе	2	2
68	не следует	3	2
69	и с	2	2
70	по крайней	2	2
71	даже и	2	2
72	именно как	2	2
73	и является	2	2
74	противном случае	2	2
75	но не	2	2
76	крайней мере	2	2
77	сводится к	2	2
78	мы не	2	2
79	тем что	2	2
80	является в	2	2
81	это было	2	2
