N	2gram	Propp_Isto_1	OGranits
1	и в	28	13
2	и его	3	12
3	прежде всего	10	9
4	не может	15	8
5	и не	9	8
6	может быть	25	8
7	и их	3	7
8	и пр	4	7
9	в его	5	7
10	таким образом	8	6
11	не только	12	6
12	то что	9	6
13	только в	11	6
14	мы должны	13	6
15	как бы	2	6
16	все же	10	5
17	хотя бы	4	5
18	то же	12	4
19	но мы	2	4
20	все это	4	4
21	еще и	2	4
22	мы не	10	4
23	было бы	7	4
24	но в	8	4
25	отношению к	3	3
26	что в	12	3
27	никогда не	14	3
28	но и	10	3
29	материала и	2	3
30	так и	9	3
31	что же	3	3
32	в их	3	3
33	по отношению	3	3
34	не как	3	3
35	в одном	5	3
36	точку зрения	3	3
37	превращается в	4	3
38	здесь мы	7	3
39	в ее	2	3
40	как и	4	3
41	не в	9	3
42	в пределах	4	3
43	поставить вопрос	2	3
44	ни один	6	3
45	в себе	2	3
46	с этим	4	3
47	и для	4	3
48	так как	6	3
49	еще в	2	2
50	не менее	6	2
51	и др	7	2
52	самого начала	2	2
53	и тем	2	2
54	в нем	2	2
55	ее в	5	2
56	во всей	2	2
57	в целом	2	2
58	а не	15	2
59	другой стороны	5	2
60	но так	2	2
61	с другой	6	2
62	не на	2	2
63	в связи	4	2
64	и должно	3	2
65	а в	7	2
66	с одной	4	2
67	все эти	4	2
68	вовсе не	2	2
69	в книге	3	2
70	в тех	2	2
71	с самого	2	2
72	к тому	6	2
73	как в	2	2
74	если бы	8	2
75	в том	9	2
76	в которую	3	2
77	так же	7	2
78	том что	7	2
79	в зависимости	2	2
80	мы видим	11	2
81	этот материал	3	2
82	зависимости от	2	2
83	что они	5	2
84	в этом	8	2
85	от этого	2	2
86	тем что	3	2
87	между тем	2	2
88	могут быть	4	2
89	при этом	3	2
90	к сожалению	3	2
91	связанные с	2	2
92	для него	2	2
93	в другом	3	2
94	во всем	3	2
95	тот же	2	2
96	одной стороны	4	2
97	в действительности	2	2
98	мы получим	2	2
99	в целях	3	2
100	в области	2	2
101	вслед за	6	2
102	там где	4	2
103	бы в	2	2
104	в ней	7	2
