N	2gram	Tiupa_Disk_2	VelikijI
1	и не	15	20
2	и в	16	16
3	то что	5	9
4	еще не	6	8
5	а не	14	7
6	в мире	11	5
7	как бы	4	5
8	но и	11	5
9	все это	2	5
10	что он	2	4
11	в нем	7	4
12	как и	16	4
13	это еще	2	4
14	в котором	3	4
15	так и	9	4
16	потому что	4	4
17	в этом	16	4
18	в ней	2	4
19	говорить о	2	4
20	и все	3	4
21	в его	3	4
22	с его	6	3
23	должна быть	2	3
24	что в	5	3
25	в этих	3	3
26	в них	3	3
27	ни в	7	3
28	в том	8	3
29	не в	3	3
30	но это	3	3
31	никогда не	2	3
32	что и	2	3
33	жизни и	3	3
34	в своей	6	3
35	не было	3	3
36	и для	2	3
37	должно быть	2	3
38	их в	2	3
39	все эти	3	3
40	но в	11	3
41	это не	3	2
42	прежде всего	7	2
43	том что	10	2
44	а к	2	2
45	но не	7	2
46	не к	2	2
47	для него	5	2
48	не только	10	2
49	не с	2	2
50	а с	5	2
51	в себя	2	2
52	уже не	3	2
53	более чем	2	2
54	а в	2	2
55	и то	4	2
56	между тем	2	2
57	могут быть	3	2
58	только в	3	2
59	и это	2	2
60	мира в	3	2
