N	3gram	Trubetskoy_1	KulturaY
1	в том что	15	10
2	с точки зрения	8	8
3	для того чтобы	7	8
4	с другой стороны	4	7
5	в самом деле	5	7
6	во всяком случае	2	5
7	тем не менее	4	5
8	не может быть	3	4
9	в этой области	4	4
10	в связи с	3	3
11	в то же	2	3
12	то же время	2	3
13	в конце концов	4	3
14	на то что	7	2
15	мы знаем что	7	2
16	несмотря на то	2	2
17	каждый данный момент	3	2
18	так же как	3	2
19	в свою очередь	2	2
20	и в том	2	2
21	в каждый данный	4	2
22	но все же	2	2
23	вместе с тем	2	2
24	в том случае	4	2
25	на самом деле	7	2
26	в этом случае	4	2
27	том случае если	4	2
28	так или иначе	5	2
