N	2gram	Berdyaev_O_1	Vladivir
1	и в	19	30
2	то что	5	20
3	в этом	12	20
4	у него	22	19
5	в том	5	18
6	и не	13	18
7	и с	2	14
8	что он	3	13
9	том что	2	12
10	что в	4	12
11	не только	11	12
12	в его	7	11
13	а в	5	11
14	сказать что	2	11
15	не было	9	10
16	не в	11	9
17	для него	5	9
18	было бы	3	9
19	все же	2	9
20	потому что	9	9
21	не может	4	9
22	в своем	2	8
23	но и	13	8
24	что же	2	8
25	но в	2	8
26	никогда не	9	7
27	и все	10	7
28	до конца	7	7
29	может быть	11	7
30	которую он	2	7
31	а не	11	7
32	хотя и	2	6
33	к этому	2	6
34	прежде всего	9	6
35	и к	2	6
36	он был	8	6
37	в себе	3	6
38	и его	4	6
39	и то	2	5
40	по себе	2	5
41	о его	5	5
42	как и	6	5
43	так что	2	5
44	в своей	2	5
45	как бы	3	5
46	так и	2	5
47	все это	6	5
48	того что	3	5
49	все эти	4	5
50	так как	2	5
51	с ним	3	5
52	совсем не	2	4
53	с его	4	4
54	его в	2	4
55	в этой	5	4
56	не очень	2	4
57	и о	2	4
58	он не	7	4
59	в нем	10	4
60	не есть	2	4
61	в этих	3	4
62	него в	5	4
63	и он	8	4
64	и на	2	4
65	о том	3	4
66	в которой	2	4
67	отношение к	5	4
68	это было	3	4
69	учение о	2	3
70	уже в	2	3
71	должен был	2	3
72	хотя бы	3	3
73	что и	2	3
74	своей жизни	2	3
75	и для	2	3
76	только одно	3	3
77	с богом	2	3
78	только и	4	3
79	и вот	3	3
80	должно быть	2	3
81	даже и	2	3
82	к ней	2	3
83	но он	7	3
84	нет ничего	7	3
85	в россии	5	3
86	не могли	2	3
87	к нему	3	2
88	с которой	2	2
89	он сам	4	2
90	с тем	2	2
91	и есть	3	2
92	у достоевского	19	2
93	него и	4	2
94	жизни в	2	2
95	это не	3	2
96	и от	3	2
97	человек не	7	2
98	же это	2	2
99	достоевского но	2	2
100	и из	2	2
101	в самом	5	2
102	ни с	7	2
103	и потому	2	2
104	для того	3	2
105	не имеет	2	2
106	как к	2	2
107	на земле	4	2
108	того чтобы	4	2
109	что не	4	2
110	и очень	2	2
111	его не	2	2
112	что для	2	2
113	в своих	3	2
114	мысли и	3	2
115	было для	2	2
116	это за	3	2
117	к этой	2	2
118	ничего не	2	2
