N	2gram	Tiupa_Teor_1	Analitik
1	в тексте	14	24
2	художественной реальности	5	20
3	тогда как	15	19
4	в этом	8	18
5	художественного впечатления	5	17
6	в частности	16	16
7	и в	18	16
8	не только	16	16
9	литературного произведения	7	16
10	так и	10	15
11	ритмических рядов	3	15
12	как и	4	14
13	ритмического ряда	3	13
14	в том	16	12
15	своего рода	7	12
16	но и	9	12
17	внутреннего зрения	11	12
18	и не	13	12
19	том что	9	12
20	в качестве	24	11
21	иначе говоря	4	11
22	объектной организации	10	10
23	могут быть	4	10
24	как бы	5	10
25	при этом	12	10
26	в эпизоде	3	10
27	а не	9	10
28	в пределах	5	9
29	на уровне	2	9
30	лишь в	6	9
31	и даже	2	9
32	в этой	3	9
33	то есть	12	9
34	в данном	8	8
35	отнюдь не	3	8
36	состоит в	17	8
37	в целом	3	8
38	и т.п	4	8
39	не случайно	5	8
40	представляет собой	9	8
41	всего лишь	6	8
42	кадров внутреннего	7	7
43	в сочетании	2	7
44	к тому	2	7
45	в себе	9	7
46	художественного целого	4	7
47	сочетании с	2	7
48	то что	3	7
49	а также	6	7
50	с другой	7	6
51	текста в	3	6
52	в самом	4	6
53	в мире	19	6
54	факторов художественного	3	6
55	говорить о	3	6
56	может быть	17	6
57	субъектной организации	9	6
58	как это	8	6
59	но в	9	6
60	как система	2	5
61	и к	3	5
62	в контексте	3	5
63	данном случае	5	5
64	с одной	2	5
65	на себя	2	5
66	лирического героя	4	5
67	не менее	4	4
68	только не	2	4
69	в своем	4	4
70	столь же	2	4
71	в конце	2	4
72	можно сказать	3	4
73	в ходе	4	4
74	уже не	4	4
75	не в	7	4
76	за пределы	2	4
77	внутренний хронотоп	2	4
78	но не	9	4
79	того же	3	4
80	тем самым	4	4
81	для него	2	4
82	одной стороны	2	4
83	в аспекте	2	4
84	как правило	4	4
85	имеет место	2	4
86	по преимуществу	4	4
87	совпадает с	3	4
88	и является	2	4
89	внутренней речи	13	4
90	времени в	2	4
91	и особенно	2	4
92	и тем	3	4
93	не с	3	4
94	отношению к	4	4
95	во второй	7	4
96	как в	5	4
97	все это	2	4
98	как раз	2	4
99	по отношению	4	4
100	не может	4	4
101	и его	8	4
102	то же	7	4
103	хотя и	3	4
104	между двумя	3	4
105	точки зрения	9	4
106	только в	6	4
107	композиционная форма	2	4
108	в себя	3	4
109	явления музы	3	3
110	в рамках	7	3
111	однако при	3	3
112	казалось бы	2	3
113	место в	5	3
114	никогда не	4	3
115	в нашем	4	3
116	своем составе	3	3
117	на фоне	2	3
118	прежде всего	2	3
119	или иного	3	3
120	или иной	4	3
121	этого слова	3	3
122	одной из	2	3
123	тем не	3	3
124	ментального внутреннего	2	3
125	высказывания в	3	3
126	есть в	2	3
127	имеем дело	2	3
128	мы имеем	7	3
129	или в	3	3
130	лирическая героиня	5	3
131	на две	3	3
132	что и	2	3
133	милой гостьи	3	3
134	модус художественности	6	3
135	в первой	5	3
136	бенвенист ритм	3	3
137	со стороны	2	3
138	в их	2	3
139	приводит к	5	3
140	и одновременно	4	3
141	организации художественного	6	3
142	если бы	3	3
143	не знает	3	3
144	именно в	3	3
145	самом начале	2	3
146	того или	3	3
147	на смену	4	3
148	а в	13	3
149	являет собой	2	3
150	и то	2	3
151	ясно говорит	2	3
152	ключ к	2	3
153	внутритекстовых дискурсов	3	3
154	я в	16	3
155	как будто	2	3
156	сводится к	5	3
157	и т.д	3	3
158	в организации	2	3
159	эстетического объекта	2	3
160	я и	2	3
161	в конечном	6	3
162	художественного высказывания	3	2
163	художественного произведения	4	2
164	в противоположность	2	2
165	того что	4	2
166	композиционных форм	5	2
167	ритм манифестирован	2	2
168	перед лицом	2	2
169	была бы	3	2
170	уровни объектной	2	2
171	событийных границ	2	2
172	тот кто	2	2
173	диалогическим углом	2	2
174	строки и	2	2
175	или даже	4	2
176	художественности в	4	2
177	в одном	2	2
178	лирической ситуации	3	2
179	этом смысле	2	2
180	вовсе не	3	2
181	или иных	3	2
182	организации феноменов	2	2
183	для читателя	2	2
184	конечном счете	6	2
185	отличие от	6	2
186	в соответствии	3	2
187	к внутреннему	2	2
188	соответствии с	2	2
189	литературной нормы	2	2
190	присутствия в	6	2
191	превращается в	2	2
192	вдохновения в	2	2
193	внутреннего я	4	2
194	же время	5	2
195	что в	9	2
196	от своего	2	2
197	с их	2	2
198	еще не	4	2
199	иного рода	3	2
200	к смыслу	2	2
201	такого рода	8	2
202	может выступать	3	2
203	в своей	6	2
204	гостьи с	2	2
205	в роли	3	2
206	даже в	3	2
207	один из	2	2
208	это было	2	2
209	с ее	3	2
210	себя в	6	2
211	как говорит	3	2
212	в отличие	6	2
213	вместе с	2	2
214	дело не	2	2
215	что она	2	2
216	этой системе	2	2
217	вслед за	2	2
218	исторически наиболее	2	2
219	во времени	3	2
220	другой стороны	5	2
221	объектной организацией	2	2
222	отношения к	2	2
223	таким образом	3	2
224	я как	2	2
225	за пределами	5	2
226	тех или	3	2
227	феноменов ментального	2	2
228	аналогичным образом	2	2
229	и для	2	2
230	с точки	3	2
231	так же	2	2
232	роль в	2	2
233	на основе	2	2
234	художественного мира	2	2
235	не следует	4	2
236	между тем	5	2
237	речи и	2	2
238	личности и	4	2
239	он не	3	2
240	с дудочкой	4	2
241	к его	2	2
242	о себе	2	2
243	в то	6	2
244	в его	6	2
245	в поэзии	2	2
246	в диалоге	2	2
247	жизни но	2	2
248	его в	2	2
249	в этих	3	2
250	в произведении	3	2
251	в кадры	2	2
252	в ритмическом	2	2
253	объектной детализации	2	2
254	сказать что	3	2
255	особого рода	2	2
256	в лирическом	2	2
257	текста как	4	2
