N	2gram	Trubetskoy_1	Otkroven
1	у него	2	22
2	и в	14	19
3	но и	10	13
4	и не	19	13
5	в этом	17	12
6	а не	2	11
7	не в	4	11
8	может быть	9	11
9	не только	9	11
10	вопрос о	5	10
11	в нем	5	10
12	никогда не	5	9
13	не было	3	9
14	потому что	5	9
15	прежде всего	8	9
16	лишь в	3	7
17	от него	2	7
18	он не	5	7
19	в его	4	7
20	все это	6	6
21	как и	4	6
22	то что	13	5
23	а в	5	5
24	в том	17	5
25	для него	6	5
26	в этой	4	5
27	в самом	3	5
28	в россии	6	5
29	на земле	4	4
30	он сам	3	4
31	того чтобы	8	4
32	все эти	2	4
33	не может	22	4
34	что в	4	4
35	к нему	2	3
36	не могут	4	3
37	в этих	2	3
38	и есть	2	3
39	и вот	2	3
40	что он	6	3
41	того что	3	3
42	для того	6	3
43	хотя бы	5	3
44	в своих	6	3
45	еще не	3	3
46	и от	2	3
47	все что	4	3
48	во имя	5	3
49	в себе	9	3
50	было бы	5	3
51	о том	7	3
52	с ним	2	3
53	как бы	4	3
54	любовь к	2	2
55	все же	4	2
56	что и	3	2
57	не есть	3	2
58	ее в	2	2
59	и для	6	2
60	с тем	6	2
61	можно ли	3	2
62	жизни в	5	2
63	в своем	6	2
64	россии в	7	2
65	что же	4	2
66	что все	3	2
67	по себе	2	2
68	и к	6	2
69	ко всем	3	2
70	должно быть	3	2
71	в других	2	2
72	что для	3	2
73	их не	2	2
74	том что	9	2
75	так что	2	2
76	в другом	3	2
77	и на	5	2
78	и то	4	2
79	что они	3	2
80	и с	7	2
81	тем что	3	2
82	даже и	2	2
83	разных сторон	2	2
84	его в	4	2
85	в своей	5	2
86	и ни	3	2
87	так как	4	2
88	и о	2	2
89	к этой	4	2
90	но в	2	2
91	и потому	3	2
