N	2gram	Voloshinov_1	DiskursI
1	в качестве	2	34
2	не только	5	28
3	в том	4	23
4	а не	2	22
5	том что	5	19
6	может быть	13	17
7	и в	15	16
8	как и	6	16
9	в этом	13	15
10	еще не	7	14
11	но и	4	14
12	при этом	7	13
13	и т.п	2	12
14	прежде всего	11	11
15	но не	5	11
16	и не	16	11
17	как в	3	10
18	далеко не	4	10
19	в нем	4	9
20	отношению к	9	9
21	по отношению	11	9
22	не может	13	9
23	отнюдь не	2	8
24	так и	10	8
25	но в	9	8
26	в основе	3	7
27	в его	9	7
28	со стороны	2	7
29	то же	7	7
30	не было	4	7
31	роль в	6	7
32	в себе	4	7
33	только в	6	7
34	не в	4	7
35	в своем	2	6
36	к тому	4	5
37	можно сказать	4	5
38	как бы	11	5
39	в своей	9	5
40	то что	10	5
41	во всех	8	5
42	в процессе	4	5
43	а в	6	5
44	в себя	5	5
45	сводится к	3	5
46	в эпоху	3	5
47	и на	3	5
48	в данном	3	5
49	с его	8	4
50	что в	6	4
51	не является	3	4
52	во втором	3	4
53	и к	7	4
54	что он	8	4
55	уже не	5	4
56	для него	5	4
57	в истории	3	4
58	в целом	2	4
59	же время	5	4
60	и о	3	4
61	отношение к	7	4
62	потому что	4	4
63	между тем	2	4
64	могут быть	6	4
65	это не	2	3
66	в одной	2	3
67	по себе	2	3
68	что и	2	3
69	в ее	4	3
70	в свою	2	3
71	с этим	6	3
72	в самом	6	3
73	один из	4	3
74	хотя бы	7	3
75	все же	5	3
76	таким образом	21	3
77	именно в	3	3
78	того что	2	3
79	должны быть	3	3
80	и даже	2	3
81	в своих	4	3
82	сказать что	6	3
83	точки зрения	13	3
84	в то	6	3
85	в первом	2	3
86	и потому	8	3
87	однако и	2	2
88	не менее	3	2
89	и есть	2	2
90	никогда не	7	2
91	между собой	4	2
92	к себе	3	2
93	и все	4	2
94	в одном	3	2
95	к этому	7	2
96	не всегда	4	2
97	об этом	4	2
98	в г	3	2
99	как его	2	2
100	более того	2	2
101	на этом	5	2
102	чем он	2	2
103	одним из	3	2
104	к другим	2	2
105	и др	8	2
106	будто бы	2	2
107	оно не	2	2
108	из наиболее	3	2
109	с ее	3	2
110	себя в	2	2
111	в различных	2	2
112	что же	4	2
113	данном случае	3	2
114	мысли и	4	2
115	приводит к	2	2
116	за пределы	2	2
117	жизни в	3	2
118	первого и	2	2
119	и было	2	2
120	отношения к	2	2
121	человека в	3	2
122	как мы	10	2
123	и что	3	2
124	и по	5	2
125	и его	15	2
126	не следует	2	2
127	во всяком	4	2
128	на себя	2	2
129	характер и	2	2
130	наших дней	2	2
131	и ее	3	2
132	на протяжении	5	2
133	в этой	5	2
134	рассказывает что	2	2
135	внутренней речи	3	2
136	так сказать	3	2
137	они не	2	2
138	возможно только	2	2
