N	2gram	Losev_Vesc_1	Vvedenie
1	и т	19	42
2	т д	19	36
3	т е	55	35
4	и в	21	32
5	в том	8	31
6	в этом	4	30
7	может быть	16	26
8	том что	8	26
9	не только	36	22
10	для того	2	21
11	того чтобы	3	20
12	таким образом	8	19
13	также и	6	18
14	то что	27	16
15	потому что	16	15
16	так как	7	15
17	не может	17	14
18	в самом	9	13
19	в нем	2	13
20	о том	6	13
21	со стороны	5	13
22	того что	8	12
23	и не	29	12
24	в его	2	12
25	только в	14	12
26	как мы	4	11
27	что такое	12	11
28	ясно что	8	11
29	в ее	7	11
30	в данном	5	11
31	что в	9	10
32	но в	5	9
33	и как	8	9
34	по себе	13	9
35	то же	6	9
36	в той	3	9
37	не менее	3	8
38	с другой	6	8
39	это не	5	8
40	а только	3	8
41	тем не	3	8
42	не в	5	8
43	прежде всего	9	7
44	точки зрения	5	7
45	но не	5	7
46	было бы	14	7
47	все же	4	7
48	как нечто	2	7
49	самом деле	4	7
50	можно было	2	7
51	один из	3	6
52	но и	18	6
53	все это	5	6
54	применении к	2	6
55	и даже	6	6
56	в то	3	6
57	его в	2	6
58	с тем	5	6
59	вовсе не	10	6
60	как и	8	6
61	хотя бы	6	6
62	и его	2	6
63	тем что	2	6
64	в руки	2	6
65	и это	14	6
66	иное как	7	5
67	так что	5	5
68	она есть	8	5
69	но если	8	5
70	как бы	12	5
71	и тем	3	5
72	данном случае	2	5
73	другой стороны	2	5
74	сказать что	17	5
75	об этом	3	5
76	есть и	4	5
77	не есть	49	5
78	а не	19	5
79	что не	5	5
80	независимо от	5	4
81	с этой	4	4
82	одной стороны	3	4
83	всяком случае	2	4
84	в котором	3	4
85	так или	4	4
86	еще и	8	4
87	с одной	3	4
88	не просто	19	4
89	и что	15	4
90	в и	2	4
91	а в	4	4
92	даже и	4	4
93	что иное	7	4
94	но ведь	2	4
95	в первом	2	4
96	как это	2	4
97	мы имеем	7	4
98	как она	4	4
99	е в	7	4
100	от этого	2	4
101	сравнению с	6	4
102	в разных	4	4
103	по крайней	4	4
104	не что	7	4
105	еще не	8	4
106	крайней мере	4	4
107	по сравнению	7	4
108	в своей	5	4
109	только что	2	4
110	как раз	9	4
111	истории и	2	4
112	уже не	9	4
113	и для	9	4
114	той же	2	4
115	или иначе	4	4
116	и то	10	4
117	во всяком	3	4
118	к делу	2	4
119	и ее	18	4
120	в себе	14	4
121	только с	3	4
122	сама по	3	3
123	что это	13	3
124	и есть	26	3
125	вообще не	2	3
126	в конце	2	3
127	в собственном	2	3
128	со всей	2	3
129	бы и	5	3
130	можно сказать	6	3
131	к тому	3	3
132	да и	3	3
133	и этого	2	3
134	в этой	3	3
135	на этом	2	3
136	но что	2	3
137	хотя и	4	3
138	в ней	12	3
139	не вполне	2	3
140	в виду	2	3
141	себе что	3	3
142	то это	3	3
143	из них	4	3
144	дело не	2	3
145	что она	15	3
146	в своем	6	3
147	все эти	3	3
148	и вот	2	3
149	свое время	2	3
150	в результате	3	3
151	говорить о	6	3
152	действительность в	2	3
153	при помощи	2	3
154	свое выражение	3	3
155	тогда когда	5	3
156	есть еще	3	3
157	нисколько не	4	3
158	если бы	5	3
159	стороны и	2	3
160	в чем	6	3
161	так чтобы	2	3
162	в одном	2	3
163	в сущности	4	3
164	в свое	2	3
165	однако не	2	3
166	как оно	3	3
167	должен быть	2	3
168	что и	3	3
169	дело в	4	3
170	каждой из	2	3
171	собственном смысле	3	3
172	что же	8	3
173	всего то	2	3
174	но с	2	3
175	в в	2	3
176	вот почему	3	3
177	или как	2	3
178	как только	4	2
179	это может	2	2
180	должна быть	4	2
181	к действительности	2	2
182	никогда не	2	2
183	в подлинном	2	2
184	тому что	2	2
185	для этого	4	2
186	в отношении	4	2
187	не нужно	2	2
188	из его	2	2
189	это есть	7	2
190	но это	10	2
191	в работах	2	2
192	мог бы	5	2
193	из истории	2	2
194	от того	3	2
195	вообще и	4	2
196	мы говорим	5	2
197	во втором	2	2
198	действительности в	2	2
199	есть только	7	2
200	должно быть	6	2
201	и с	8	2
202	чем же	3	2
203	с этим	3	2
204	той или	2	2
205	нам не	2	2
206	и здесь	4	2
207	понять ее	2	2
208	а так	2	2
209	конце концов	2	2
210	когда мы	6	2
211	бы в	5	2
212	так и	3	2
213	и чем	3	2
214	есть не	14	2
215	не с	7	2
216	у нас	7	2
217	по существу	2	2
218	с прочими	3	2
219	того же	5	2
220	во всех	2	2
221	что мы	14	2
222	мы должны	2	2
223	жизни и	2	2
224	мы уже	3	2
225	ни с	6	2
226	для нее	2	2
227	но уже	3	2
228	с ней	2	2
229	и сама	3	2
230	мысли и	3	2
231	только на	3	2
232	из того	2	2
233	о которой	2	2
234	с полной	4	2
235	между ними	3	2
236	с точки	3	2
237	мы не	6	2
238	есть лишь	2	2
239	тому как	4	2
240	в силу	3	2
241	мы можем	4	2
242	подобно тому	4	2
243	выражение в	3	2
244	в другом	2	2
245	нечто целое	2	2
246	она была	2	2
247	одна из	5	2
248	ничего не	3	2
249	если это	2	2
