N	2gram	Medvedev_F_3	VLabPisa
1	таким образом	18	27
2	в этом	18	26
3	и в	27	25
4	и т	11	24
5	не только	9	22
6	может быть	25	21
7	хотя бы	6	20
8	и не	30	19
9	художественного творчества	2	18
10	т е	32	17
11	не может	24	17
12	в его	7	15
13	т д	6	15
14	в процессе	15	14
15	прежде всего	4	13
16	в том	7	13
17	этом отношении	3	13
18	все это	7	12
19	как это	4	12
20	с другой	6	11
21	из них	2	11
22	не могут	10	10
23	о том	4	10
24	в художественном	5	10
25	к этому	2	9
26	что в	8	9
27	и др	2	9
28	но и	10	9
29	то же	15	9
30	т п	5	9
31	все эти	6	8
32	в своем	2	8
33	реальной действительности	3	8
34	другой стороны	5	8
35	могут быть	4	8
36	не следует	3	8
37	произведения в	6	7
38	из этих	2	7
39	как и	14	7
40	том что	4	7
41	было бы	6	7
42	отношению к	3	7
43	во всех	3	7
44	вместе с	6	7
45	по отношению	3	7
46	произведения и	3	7
47	а не	17	7
48	это не	3	6
49	художественного произведения	7	6
50	в себе	3	6
51	это и	2	6
52	то что	8	6
53	главным образом	2	6
54	в основном	2	6
55	в нем	15	6
56	в зависимости	5	6
57	так и	21	6
58	бы и	3	6
59	и его	19	6
60	их в	3	6
61	между тем	7	6
62	в то	7	6
63	в результате	5	5
64	тому что	3	5
65	же время	7	5
66	все же	6	5
67	зависимости от	5	5
68	очевидно что	2	5
69	в пределах	8	5
70	связи с	5	5
71	действительности и	6	5
72	в искусстве	7	5
73	одним из	3	5
74	как бы	8	5
75	сказать что	3	5
76	действующих лиц	2	5
77	только в	8	5
78	не в	12	5
79	не является	5	5
80	произведения как	6	5
81	к тому	4	4
82	в единстве	5	4
83	никогда не	5	4
84	равно как	3	4
85	в целом	4	4
86	что он	6	4
87	с его	2	4
88	можно сказать	3	4
89	художественном произведении	3	4
90	в ее	4	4
91	в романе	4	4
92	одна из	2	4
93	в своей	6	4
94	в самом	11	4
95	даже в	2	4
96	должен быть	2	4
97	вот как	2	4
98	художественное произведение	11	4
99	как раз	8	4
100	в них	3	4
101	в связи	4	4
102	в философии	2	4
103	чем же	2	4
104	в этой	2	4
105	это только	2	4
106	познания и	2	4
107	всех этих	2	3
108	и ее	6	3
109	с тем	7	3
110	и как	4	3
111	и художественное	2	3
112	и мир	2	3
113	и от	11	3
114	в конце	3	3
115	человека и	2	3
116	п в	2	3
117	мы знаем	4	3
118	у нас	3	3
119	мы видели	4	3
120	что они	5	3
121	видели что	2	3
122	говорит в	2	3
123	как о	2	3
124	в виду	3	3
125	в котором	2	3
126	нет и	3	3
127	его в	7	3
128	что и	2	3
129	жизни и	4	3
130	и их	5	3
131	ее в	3	3
132	всех других	3	3
133	сводится к	5	3
134	того что	3	3
135	так же	9	3
136	в слове	4	3
137	в которых	3	3
138	никак не	3	3
139	точки зрения	16	3
140	она не	4	3
141	является не	2	3
142	бы в	6	3
143	том как	2	3
144	не менее	7	2
145	что ни	2	2
146	в каждом	5	2
147	в точном	2	2
148	только не	2	2
149	никаких оснований	3	2
150	в стихах	2	2
151	и формы	5	2
152	отличается от	2	2
153	формы и	3	2
154	в жизни	11	2
155	вовсе не	28	2
156	роль в	4	2
157	из своих	2	2
158	по себе	4	2
159	нет никаких	2	2
160	стороны и	2	2
161	или иной	2	2
162	в целях	2	2
163	отдельных элементов	2	2
164	и потому	5	2
165	но не	5	2
166	но для	2	2
167	они и	3	2
168	не об	2	2
169	смысле слова	2	2
170	еще не	6	2
171	же самое	3	2
172	для того	4	2
173	он и	3	2
174	в общем	2	2
175	одной из	2	2
176	если бы	12	2
177	ни с	2	2
178	в ней	5	2
179	что она	2	2
180	конце концов	2	2
181	и даже	2	2
182	всяком случае	6	2
183	отнюдь не	8	2
184	он может	2	2
185	так называемые	2	2
186	только то	3	2
187	этот процесс	3	2
188	от того	2	2
189	бы не	2	2
190	человека в	2	2
191	чтобы не	2	2
192	того чтобы	5	2
193	между ними	15	2
194	и для	6	2
195	у них	2	2
196	художественной структуры	2	2
197	тому как	5	2
198	в своих	6	2
199	если они	2	2
200	во всяком	6	2
201	лишь в	9	2
202	не о	3	2
203	знаем что	2	2
204	подобно тому	4	2
205	они не	4	2
206	к его	3	2
207	говорить о	2	2
208	ту же	2	2
209	от его	3	2
210	как он	2	2
211	самый факт	2	2
212	в области	2	2
213	же как	3	2
214	тогда когда	4	2
215	но в	6	2
216	как от	3	2
