N	2gram	Propp_Isto_2	Hudozhes
1	том что	7	16
2	и в	15	14
3	так и	5	13
4	а не	5	12
5	в том	6	12
6	не только	18	12
7	при этом	4	12
8	о том	3	12
9	прежде всего	5	11
10	и т	19	11
11	в этом	11	11
12	в себе	4	11
13	у него	4	9
14	что он	24	9
15	как и	2	9
16	в качестве	3	9
17	то же	10	9
18	как в	5	8
19	то что	12	8
20	отношению к	3	8
21	по отношению	3	8
22	в этой	4	8
23	в его	6	8
24	ничего не	7	8
25	это не	2	7
26	к тому	5	7
27	не в	7	7
28	еще не	9	7
29	как бы	6	7
30	не может	5	7
31	именно в	2	7
32	а в	12	7
33	никогда не	15	6
34	что в	12	6
35	было бы	5	6
36	человека в	2	6
37	перед нами	2	5
38	в этих	11	5
39	к себе	2	5
40	об этом	11	5
41	может быть	17	5
42	только в	6	5
43	но и	14	5
44	самом деле	2	5
45	и его	3	5
46	можно было	5	5
47	потому что	9	5
48	ни в	2	5
49	но в	6	5
50	связи с	8	4
51	т е	29	4
52	на то	3	4
53	она не	5	4
54	мы уже	6	4
55	в ней	4	4
56	один из	8	4
57	что она	5	4
58	из них	2	4
59	не было	2	4
60	того что	3	4
61	он не	8	4
62	как будто	3	4
63	в русской	5	4
64	и это	3	4
65	и с	4	4
66	но не	2	3
67	что у	2	3
68	превращается в	2	3
69	но он	4	3
70	с этим	5	3
71	что при	5	3
72	и когда	2	3
73	о нем	4	3
74	в нем	7	3
75	все же	9	3
76	приводит к	2	3
77	в связи	5	3
78	т д	18	3
79	и для	2	3
80	все эти	4	3
81	того чтобы	2	3
82	к этой	4	3
83	и по	2	3
84	тем что	4	3
85	такой же	2	3
86	и на	4	3
87	будто бы	2	3
88	его в	10	3
89	а также	2	3
90	видит в	2	3
91	все еще	2	2
92	себя и	2	2
93	уже знаем	3	2
94	так в	3	2
95	на вопрос	2	2
96	не столько	2	2
97	и так	2	2
98	в одной	4	2
99	в тот	2	2
100	в себя	3	2
101	вопрос о	4	2
102	на столе	2	2
103	мы знаем	11	2
104	состоит в	2	2
105	да и	2	2
106	живет в	2	2
107	так что	6	2
108	в другом	9	2
109	же как	5	2
110	одна из	2	2
111	и что	6	2
112	а то	2	2
113	о своей	2	2
114	у нее	4	2
115	одной из	4	2
116	и ушел	3	2
117	проникнуть в	2	2
118	например в	2	2
119	на его	2	2
120	вместо того	2	2
121	в него	2	2
122	момент когда	2	2
123	как он	3	2
124	сих пор	7	2
125	на него	5	2
126	в их	3	2
127	все это	3	2
128	также в	2	2
129	а с	2	2
130	не знает	2	2
131	и не	11	2
132	но с	2	2
133	ключ к	2	2
134	на самом	2	2
135	это так	2	2
136	они не	4	2
137	в системе	2	2
138	и герой	2	2
139	той же	2	2
140	действующие лица	2	2
141	с ними	2	2
142	тот момент	2	2
143	с ее	2	2
144	эти слова	3	2
145	видно что	6	2
146	слова в	2	2
147	представляют собой	3	2
148	нет ничего	2	2
149	здесь не	2	2
150	так сказать	2	2
151	заметить что	2	2
152	как она	4	2
153	мы не	3	2
154	до сих	6	2
