N	3gram	Losev_Prob_2	Russkaja
1	в то же	4	10
2	в том что	4	7
3	во всяком случае	10	6
4	на самом деле	2	6
5	для того чтобы	2	6
6	до сих пор	4	5
7	на то что	4	4
8	бы то ни	2	4
9	в том случае	2	4
10	более или менее	4	4
11	не может быть	3	4
12	в конце концов	7	3
13	в данном случае	5	3
14	и то что	7	3
15	в этом случае	7	3
16	можно было бы	2	3
17	друг от друга	2	2
18	по самому своему	2	2
19	только в том	4	2
20	в настоящее время	16	2
21	сама по себе	4	2
22	о том что	14	2
23	в значительной мере	3	2
24	точно так же	3	2
25	того или иного	5	2
