N	2gram	Savitsky_E_1	OGranits
1	и в	37	13
2	прежде всего	9	9
3	не может	9	8
4	и не	14	8
5	может быть	6	8
6	точки зрения	23	7
7	в его	2	7
8	таким образом	2	6
9	не только	18	6
10	то что	6	6
11	только в	9	6
12	мы должны	2	6
13	как бы	6	6
14	с точки	17	5
15	и эта	2	5
16	хотя бы	15	5
17	и наконец	2	5
18	в процессе	4	5
19	то же	15	4
20	не является	3	4
21	в своей	8	4
22	мы не	4	4
23	мы можем	3	4
24	было бы	8	4
25	но в	14	4
26	что в	21	3
27	никогда не	3	3
28	но и	14	3
29	так и	10	3
30	что же	2	3
31	в их	11	3
32	и все	2	3
33	в одном	2	3
34	в ее	8	3
35	как и	7	3
36	не в	5	3
37	и то	2	3
38	в пределах	25	3
39	в себе	9	3
40	с этим	2	3
41	и для	3	3
42	так как	7	3
43	и этот	2	2
44	с этой	6	2
45	и тем	3	2
46	ее в	3	2
47	и наиболее	2	2
48	и отчасти	2	2
49	во всей	2	2
50	данном случае	2	2
51	а не	2	2
52	думать что	8	2
53	в отношении	32	2
54	отношений между	2	2
55	г по	2	2
56	другой стороны	2	2
57	с другой	7	2
58	не на	4	2
59	в них	3	2
60	а в	2	2
61	с одной	8	2
62	в течение	5	2
63	вовсе не	6	2
64	или иного	4	2
65	есть не	2	2
66	к тому	8	2
67	и к	3	2
68	как в	3	2
69	если бы	2	2
70	в общем	3	2
71	не имеет	4	2
72	в том	11	2
73	так же	9	2
74	том что	6	2
75	мы видим	2	2
76	в своих	2	2
77	в данном	3	2
78	в этом	12	2
79	от этого	5	2
80	тем что	3	2
81	между тем	8	2
82	могут быть	2	2
83	одной стороны	8	2
84	кажется что	2	2
85	несмотря на	4	2
86	того или	4	2
87	его на	2	2
88	в области	11	2
89	в самом	4	2
90	мог бы	2	2
91	вслед за	6	2
92	имеет место	2	2
93	там где	3	2
94	бы в	2	2
95	на язык	2	2
96	в ней	4	2
97	а также	7	2
