N	2gram	Propp_Isto_5	FransuaR
1	и в	25	49
2	прежде всего	6	19
3	в его	12	18
4	не только	13	17
5	и его	9	17
6	и на	8	17
7	и не	11	15
8	в этом	10	15
9	только в	7	13
10	но и	13	13
11	во время	7	12
12	как и	7	11
13	как бы	2	11
14	вовсе не	2	10
15	в этой	3	10
16	все это	4	9
17	и др	3	9
18	в нем	7	9
19	все же	10	7
20	один из	2	7
21	жизни и	2	7
22	не может	6	7
23	таким образом	9	7
24	то же	4	7
25	все эти	8	7
26	как мы	5	7
27	то что	7	6
28	в истории	4	6
29	в себя	3	6
30	мы уже	4	6
31	во всех	2	6
32	сказать что	2	6
33	и с	3	6
34	но он	2	6
35	точки зрения	2	6
36	в то	3	6
37	так как	11	6
38	никогда не	3	5
39	уже в	2	5
40	но не	5	5
41	может быть	17	5
42	в основном	4	5
43	и потому	2	5
44	в своей	2	5
45	в особенности	3	5
46	роль в	2	5
47	с другой	9	4
48	том что	8	4
49	но все	5	4
50	одна из	2	4
51	в свое	2	4
52	в этих	6	4
53	сих пор	2	4
54	до сих	2	4
55	в форме	3	4
56	а в	3	4
57	тем что	10	4
58	там где	6	4
59	с ним	4	4
60	в книге	3	3
61	с одной	7	3
62	о чем	2	3
63	в течение	2	3
64	превращается в	7	3
65	человека и	2	3
66	что он	22	3
67	же в	2	3
68	в ее	4	3
69	в том	6	3
70	а затем	7	3
71	во всем	2	3
72	одной стороны	7	3
73	из них	2	3
74	несмотря на	2	3
75	даже в	2	3
76	мы видели	7	3
77	связан с	2	3
78	но эти	3	3
79	связь с	8	3
80	другой стороны	8	3
81	и все	3	3
82	и других	2	3
83	к нему	3	3
84	так в	2	3
85	их в	3	3
86	и вообще	3	3
87	о том	7	3
88	и это	4	3
89	под влиянием	2	2
90	связи с	8	2
91	что в	8	2
92	могут быть	6	2
93	в качестве	7	2
94	никто не	3	2
95	на то	2	2
96	можно сказать	2	2
97	в целях	3	2
98	по существу	2	2
99	в дальнейшем	4	2
100	но это	7	2
101	он видит	4	2
102	связанные с	2	2
103	так например	2	2
104	связано с	5	2
105	до него	4	2
106	ничего не	2	2
107	мы здесь	4	2
108	в пределах	4	2
109	еще не	8	2
110	в формах	2	2
111	совершенно не	2	2
112	одним из	2	2
113	у него	2	2
114	в ней	5	2
115	в него	5	2
116	в обряде	5	2
117	еще в	2	2
118	на этой	4	2
119	вместе с	22	2
120	ее в	2	2
121	в связи	4	2
122	того как	4	2
123	именно на	2	2
124	того чтобы	3	2
125	так же	5	2
126	особенно в	2	2
127	можно найти	2	2
128	мы должны	4	2
129	тех же	2	2
130	мы можем	2	2
