N	2gram	Potebnia_M_3	Myshleni
1	то что	18	26
2	что он	6	25
3	в этом	10	25
4	потому что	46	21
5	таким образом	14	19
6	в том	32	18
7	не может	6	18
8	точки зрения	2	18
9	того чтобы	3	17
10	что в	17	16
11	и в	30	16
12	того что	18	16
13	так как	13	16
14	не только	21	16
15	так же	3	15
16	том что	18	15
17	для того	4	14
18	сказать что	5	13
19	отношению к	5	12
20	по отношению	5	12
21	и не	15	12
22	и что	10	12
23	в области	2	12
24	отношение к	2	11
25	в его	4	11
26	из того	2	11
27	но не	7	10
28	было бы	9	10
29	как мы	7	10
30	а не	15	10
31	в силу	3	10
32	только в	21	10
33	может быть	28	9
34	должно быть	5	8
35	о том	2	8
36	если бы	12	8
37	как и	10	8
38	мы должны	4	8
39	он не	4	8
40	то же	23	8
41	тем самым	7	8
42	и есть	3	7
43	в нем	9	7
44	так и	11	7
45	по себе	16	7
46	в какой	2	6
47	что все	3	6
48	для развития	2	6
49	не в	15	6
50	в этой	2	6
51	и следовательно	3	6
52	но и	19	6
53	что оно	11	6
54	развития в	2	6
55	и на	3	6
56	в мысли	2	6
57	у него	2	6
58	языка и	2	6
59	к тому	7	6
60	мы можем	3	6
61	тому что	3	5
62	в своем	5	5
63	на все	2	5
64	показывает что	2	5
65	что они	2	5
66	что с	2	5
67	для него	9	5
68	как бы	3	5
69	но мы	2	5
70	этом отношении	2	5
71	не знает	3	5
72	в то	10	5
73	с ним	6	5
74	тогда когда	9	5
75	можно сказать	3	5
76	как в	10	5
77	мысли и	2	5
78	только что	8	5
79	того как	4	5
80	тем что	7	5
81	в которой	3	5
82	не могут	5	4
83	зависит от	6	4
84	с другой	7	4
85	с этой	2	4
86	то время	4	4
87	сама по	2	4
88	а только	3	4
89	так что	7	4
90	в свою	3	4
91	при этом	3	4
92	в самом	8	4
93	в целом	3	4
94	именно в	3	4
95	в системе	2	4
96	не имеет	6	4
97	и по	4	4
98	что мы	8	4
99	бы в	2	4
100	мы видим	2	4
101	тем более	4	4
102	еще не	5	4
103	за пределы	2	4
104	не есть	17	4
105	вместе с	12	4
106	к мысли	3	4
107	той же	2	4
108	тому как	5	4
109	и то	8	4
110	могут быть	3	4
111	не то	3	4
112	подобно тому	2	4
113	не менее	5	3
114	прежде всего	3	3
115	в смысле	4	3
116	и как	5	3
117	но это	6	3
118	самом деле	2	3
119	свою очередь	3	3
120	одной стороны	3	3
121	но как	2	3
122	но что	2	3
123	и тот	2	3
124	в действительности	5	3
125	к нему	3	3
126	и тем	5	3
127	мы видели	4	3
128	от того	8	3
129	в их	2	3
130	с одной	7	3
131	что должно	2	3
132	как на	5	3
133	а в	12	3
134	и с	2	3
135	говорить о	3	3
136	в первом	3	3
137	для ребенка	2	3
138	между тем	9	3
139	мы не	9	3
140	с тем	7	3
141	только не	2	3
142	с этим	6	3
143	в одном	2	3
144	к этому	3	3
145	что мысль	2	3
146	вопрос об	2	3
147	все же	2	3
148	это и	2	3
149	по своему	2	3
150	и может	3	3
151	одной из	2	3
152	никак не	3	3
153	а потому	6	3
154	с таким	2	3
155	что и	13	3
156	сих пор	3	3
157	и его	4	3
158	связи с	2	3
159	ничего общего	2	3
160	что эта	2	3
161	ответ на	3	3
162	в чем	3	3
163	до сих	3	3
164	своей мысли	4	2
165	до того	4	2
166	себя и	4	2
167	столь же	4	2
168	и от	4	2
169	к одному	5	2
170	с пониманием	2	2
171	но все	2	2
172	очевидно что	5	2
173	не дает	2	2
174	по поводу	4	2
175	на его	2	2
176	вслед за	3	2
177	в ней	8	2
178	в котором	4	2
179	по мере	4	2
180	только один	2	2
181	в своей	2	2
182	из них	6	2
183	уже на	2	2
184	мысли как	3	2
185	что она	3	2
186	все это	4	2
187	другой стороны	4	2
188	то и	6	2
189	те же	6	2
190	образом в	3	2
191	мысли которая	3	2
192	но только	2	2
193	что только	6	2
194	и даже	2	2
195	речи есть	2	2
196	что для	4	2
197	понятия и	2	2
198	мы относим	2	2
199	из виду	2	2
200	все равно	4	2
201	деятельность и	2	2
202	но этот	2	2
203	и между	4	2
204	их в	2	2
205	с каким	2	2
206	том как	3	2
207	в них	5	2
208	вовсе не	7	2
209	его в	3	2
210	есть не	7	2
211	оно имеет	3	2
212	то это	6	2
213	нам кажется	2	2
214	же в	2	2
215	что я	5	2
216	все что	4	2
217	указывает на	6	2
218	непосредственно не	2	2
219	жизни и	2	2
220	никто не	3	2
221	в свое	2	2
222	и потому	4	2
223	только на	3	2
224	а с	2	2
225	на свою	2	2
226	такое же	3	2
227	а тем	2	2
228	мы различаем	2	2
229	само по	3	2
230	из сказанного	2	2
231	об отношении	4	2
