N	2gram	Tiupa_Vved_1	Mirosoze
1	может быть	18	30
2	не только	20	29
3	и в	13	28
4	не может	7	28
5	но и	19	25
6	а не	15	25
7	он не	3	24
8	в этом	21	20
9	не было	2	18
10	не в	6	16
11	потому что	5	16
12	в ней	4	15
13	в своей	5	15
14	никогда не	4	14
15	до конца	3	14
16	в нем	5	13
17	для него	3	11
18	в самом	2	11
19	и не	12	11
20	что в	3	10
21	в своем	5	10
22	в мире	8	10
23	прежде всего	7	10
24	и все	4	10
25	было бы	4	10
26	в его	4	9
27	и его	5	9
28	но не	5	8
29	в котором	8	8
30	того что	6	7
31	но в	6	7
32	в себе	5	7
33	должна быть	2	6
34	в том	10	6
35	лишь в	2	6
36	и на	3	6
37	только в	6	6
38	это не	6	5
39	мира и	2	5
40	как и	11	5
41	то что	6	5
42	в этих	3	4
43	не к	4	4
44	отношение к	2	4
45	и по	3	4
46	а в	6	4
47	в них	2	4
48	не как	2	4
49	один из	3	4
50	что и	2	4
51	уже не	5	4
52	тем что	2	4
53	мира не	2	3
54	к тому	6	3
55	для нас	2	3
56	не имеет	2	3
57	и мира	3	3
58	то есть	8	3
59	и с	2	3
60	для них	3	3
61	в жизни	4	3
62	том что	7	3
63	бы и	4	3
64	будто бы	3	3
65	место в	2	2
66	по своему	2	2
67	и от	2	2
68	высшей степени	2	2
69	в свою	4	2
70	о чем	2	2
71	истории в	5	2
72	одним из	5	2
73	его с	2	2
74	жизни и	7	2
75	могут быть	4	2
76	по отношению	7	2
77	быть не	4	2
78	также и	4	2
79	он и	2	2
80	в начале	3	2
81	по своей	3	2
82	как бы	4	2
83	о том	5	2
84	как он	2	2
85	бы в	3	2
86	с ним	3	2
87	не существует	2	2
88	в основе	3	2
89	человеческого сознания	2	2
90	если бы	7	2
91	жизни в	4	2
92	в высшей	2	2
93	к этому	2	2
94	отношению к	7	2
95	в то	4	2
96	все что	3	2
97	связано с	3	2
98	как будто	4	2
99	и к	2	2
100	как для	2	2
101	еще в	2	2
102	в этот	2	2
103	все же	6	2
104	как в	4	2
105	приводит к	2	2
106	человеческой жизни	3	2
107	в центре	2	2
108	бы не	2	2
109	в той	4	2
110	и для	3	2
111	не принадлежит	2	2
112	не все	2	2
