N	2gram	Nazirov_Tv_2	Literetu
1	а не	6	20
2	и в	20	19
3	может быть	8	17
4	своего рода	3	13
5	то же	7	12
6	и не	9	11
7	в том	8	10
8	как и	6	10
9	но и	8	10
10	же время	7	9
11	не может	7	9
12	тогда как	3	9
13	в мире	5	9
14	в этом	8	9
15	в то	10	9
16	с другой	2	8
17	не только	13	8
18	и даже	5	8
19	том что	4	7
20	то что	3	7
21	так и	6	7
22	не менее	2	6
23	в себе	3	6
24	при этом	8	6
25	себя в	2	6
26	и на	5	6
27	я не	2	5
28	у нас	2	5
29	одна из	3	5
30	но не	5	5
31	он не	3	5
32	вместе с	3	5
33	так в	2	5
34	в году	16	5
35	в принципе	4	5
36	то есть	5	5
37	что в	7	4
38	в частности	2	4
39	жизни в	3	4
40	прежде всего	8	4
41	не в	4	4
42	отнюдь не	4	4
43	для него	3	4
44	в его	10	4
45	один из	3	4
46	ли не	2	4
47	и других	2	4
48	человека в	3	4
49	так что	2	4
50	другой стороны	2	4
51	мы не	4	4
52	по отношению	3	4
53	тем что	3	4
54	в искусстве	2	4
55	в русской	2	4
56	не случайно	2	4
57	едва ли	2	4
58	никогда не	11	3
59	быть может	3	3
60	личности в	2	3
61	что он	6	3
62	в нем	3	3
63	наш взгляд	2	3
64	одним из	3	3
65	но это	5	3
66	в начале	3	3
67	такой же	2	3
68	в этой	5	3
69	права на	2	3
70	и он	2	3
71	и др	3	3
72	отношению к	3	3
73	в их	3	3
74	так как	3	3
75	тем самым	4	3
76	а в	4	3
77	и его	9	3
78	не столько	2	3
79	на наш	2	3
80	и с	8	3
81	х годов	3	3
82	как правило	2	3
83	ничего не	4	3
84	уже в	2	2
85	не было	2	2
86	к жизни	2	2
87	же как	3	2
88	у него	6	2
89	восходит к	2	2
90	не является	3	2
91	с этой	3	2
92	по крайней	2	2
93	в конце	6	2
94	в одном	2	2
95	вовсе не	2	2
96	в такой	2	2
97	крайней мере	2	2
98	в ее	2	2
99	а затем	3	2
100	и без	2	2
101	еще не	5	2
102	и сам	5	2
103	не так	2	2
104	одной из	3	2
105	как бы	11	2
106	все же	5	2
107	и т	13	2
108	но уже	3	2
109	в целом	6	2
110	из них	2	2
111	могут быть	2	2
112	по преимуществу	2	2
113	в истории	2	2
114	т п	2	2
115	и только	2	2
116	это его	2	2
117	уже не	3	2
118	и что	2	2
119	героя в	4	2
120	что не	3	2
121	и наконец	2	2
122	друг друга	2	2
123	в своих	3	2
124	из нас	2	2
125	потому что	7	2
126	в основе	2	2
127	соответствии с	4	2
128	и еще	2	2
129	что я	2	2
130	с другим	2	2
131	о том	5	2
132	в россии	2	2
133	это прежде	2	2
134	с ним	3	2
135	но в	4	2
136	одном из	2	2
