N	2gram	Bakhtin_fo_1	Istorich
1	и в	50	26
2	так как	6	18
3	никогда не	2	13
4	потому что	4	13
5	что в	5	12
6	таким образом	11	12
7	в том	9	12
8	и на	8	12
9	в этом	25	12
10	может быть	11	11
11	с другой	2	10
12	в образе	5	10
13	том что	4	10
14	и т	8	10
15	и не	14	10
16	не только	9	10
17	еще не	5	9
18	но и	8	9
19	в нем	24	8
20	все же	6	8
21	вместе с	3	8
22	все эти	9	8
23	и это	4	8
24	с ним	2	8
25	уже не	2	7
26	с одной	3	7
27	одной стороны	2	7
28	например в	6	7
29	и его	16	7
30	у него	6	7
31	но в	10	7
32	то что	6	6
33	мы уже	11	6
34	ее в	2	6
35	как в	6	6
36	не может	6	6
37	в более	2	6
38	и с	4	6
39	как он	2	6
40	мы не	3	6
41	как и	8	5
42	мы видим	3	5
43	связаны с	3	5
44	в ней	4	5
45	в его	13	5
46	так и	12	5
47	то же	11	5
48	тем что	2	5
49	в то	9	5
50	только в	4	5
51	его в	3	5
52	там где	2	5
53	с тем	3	4
54	это не	6	4
55	прежде всего	15	4
56	с его	9	4
57	до сих	3	4
58	в это	2	4
59	как бы	2	4
60	что и	3	4
61	сих пор	3	4
62	как мы	14	4
63	и по	2	4
64	а также	2	4
65	в других	9	4
66	здесь еще	2	4
67	у них	2	4
68	например у	3	3
69	и ее	3	3
70	и другие	5	3
71	если бы	5	3
72	в частности	6	3
73	могут быть	5	3
74	в них	4	3
75	попадает в	2	3
76	вообще не	3	3
77	в одном	3	3
78	к этому	3	3
79	вопрос о	2	3
80	не в	5	3
81	же как	2	3
82	к концу	3	3
83	они не	3	3
84	в качестве	3	3
85	то время	4	3
86	кроме того	4	3
87	нет в	2	3
88	наряду с	5	3
89	и эта	2	3
90	один из	3	3
91	в своей	2	3
92	а в	3	3
93	при этом	3	3
94	и других	3	3
95	к своему	2	3
96	время как	5	3
97	или в	3	3
98	в данном	2	3
99	и то	4	3
100	если они	2	3
101	их в	3	3
102	сказать что	3	3
103	в себе	3	3
104	не было	7	3
105	далеко не	2	3
106	от этого	2	3
107	и как	10	2
108	в этих	3	2
109	в своем	4	2
110	но он	2	2
111	того же	8	2
112	здесь и	2	2
113	с этим	6	2
114	вовсе не	13	2
115	стороны и	2	2
116	к тому	3	2
117	для нас	2	2
118	по отношению	3	2
119	но все	5	2
120	одна из	2	2
121	но не	5	2
122	так же	6	2
123	что мы	2	2
124	в греческом	24	2
125	было бы	2	2
126	никто не	2	2
127	чтобы они	4	2
128	но для	2	2
129	начиная от	2	2
130	и др	9	2
131	не могло	5	2
132	здесь нет	3	2
133	отношению к	5	2
134	не имеет	4	2
135	на этой	4	2
136	жизни и	8	2
137	в некоторых	2	2
138	ни в	8	2
139	и до	5	2
140	в форме	3	2
141	борьбе с	2	2
142	он не	5	2
143	человека в	17	2
144	могло быть	4	2
145	мы находим	2	2
146	в одно	3	2
147	он становится	2	2
148	а не	3	2
149	того что	2	2
150	что не	3	2
151	и те	3	2
152	во всяком	3	2
153	быть только	3	2
154	к себе	4	2
155	это то	2	2
156	в которых	2	2
157	ту же	2	2
158	мы должны	2	2
159	здесь совершенно	2	2
160	здесь не	4	2
161	ничего не	9	2
162	или как	4	2
