N	2gram	Bakhtin_Pr_3	VrazhdaK
1	в бесах	2	10
2	достоевского с	3	9
3	не только	4	9
4	в этом	8	8
5	и в	53	8
6	достоевского в	3	7
7	но и	7	7
8	что в	2	7
9	достоевского и	6	7
10	то что	9	7
11	и все	10	7
12	в нем	10	6
13	и даже	2	6
14	как и	11	6
15	в начале	2	6
16	но в	5	6
17	и с	6	6
18	то же	6	5
19	не было	4	5
20	и не	15	5
21	между тем	2	5
22	в то	5	5
23	же время	5	5
24	во многом	2	4
25	уже в	2	4
26	у достоевского	17	4
27	как бы	14	4
28	все это	8	4
29	это не	6	4
30	что он	4	4
31	с ним	2	4
32	в своих	2	4
33	может быть	12	4
34	при этом	3	4
35	в истории	3	4
36	несмотря на	2	4
37	о том	2	4
38	в ней	7	4
39	я не	4	3
40	и уже	2	3
41	с его	2	3
42	и во	4	3
43	о себе	2	3
44	в связи	2	3
45	в конце	3	3
46	к этому	4	3
47	человека в	3	3
48	и у	7	3
49	в том	14	3
50	и его	10	3
51	том что	5	3
52	тем что	2	3
53	в его	8	3
54	далеко не	2	3
55	его в	2	3
56	из подполья	5	3
57	наряду с	5	3
58	но он	2	3
59	одним из	3	3
60	он не	3	3
61	и т.п	31	2
62	место в	2	2
63	он сам	4	2
64	в своей	3	2
65	и это	3	2
66	из них	4	2
67	не менее	3	2
68	никогда не	2	2
69	вместе с	2	2
70	в них	2	2
71	не может	2	2
72	а в	2	2
73	таким образом	6	2
74	начиная с	3	2
75	но это	3	2
76	в той	2	2
77	к себе	6	2
78	очень хорошо	3	2
79	с точки	2	2
80	на основе	2	2
81	тем более	2	2
82	что я	2	2
83	их в	2	2
84	достоевский был	4	2
85	точки зрения	4	2
86	и ее	6	2
87	в себе	5	2
88	отношение к	6	2
89	еще не	5	2
90	писателей в	2	2
91	в мире	5	2
92	одна из	7	2
93	записки из	2	2
94	в эту	3	2
95	а также	4	2
