N	2gram	Tiupa_Anal_2	EvropaiC
1	таким образом	2	32
2	в том	12	31
3	и в	16	24
4	том что	12	20
5	не может	4	18
6	то что	7	17
7	может быть	6	15
8	точки зрения	4	13
9	в своем	4	12
10	в этом	18	12
11	все это	4	11
12	между тем	2	11
13	отношению к	4	10
14	как бы	10	10
15	по отношению	4	10
16	все что	2	10
17	во всех	4	10
18	так и	15	10
19	на то	2	9
20	при этом	10	9
21	в результате	3	9
22	как и	14	9
23	того же	4	9
24	что в	2	9
25	не в	4	8
26	в самом	6	8
27	так же	2	8
28	если бы	3	8
29	и все	3	8
30	с точки	2	8
31	не менее	4	7
32	к тому	7	7
33	но и	12	7
34	и не	12	7
35	о том	7	7
36	по существу	2	7
37	с другой	6	6
38	так что	3	6
39	в этой	9	6
40	в общем	2	6
41	несмотря на	3	6
42	того что	2	6
43	и на	6	6
44	что касается	3	6
45	с ним	2	6
46	в сознании	4	6
47	еще не	2	6
48	что и	3	6
49	тогда как	19	6
50	в мире	6	6
51	только в	4	6
52	вместе с	2	6
53	именно в	3	5
54	столь же	4	5
55	что все	2	5
56	тому же	4	5
57	у него	4	5
58	что с	2	5
59	в целом	8	5
60	и их	2	5
61	другой стороны	2	5
62	его в	2	5
63	но в	6	5
64	к этому	2	5
65	и к	5	5
66	в то	2	5
67	и если	3	5
68	в его	2	5
69	не только	16	5
70	и для	2	5
71	между двумя	4	5
72	лишь в	9	5
73	в себе	7	5
74	как будто	3	5
75	никогда не	3	4
76	в конце	4	4
77	этом случае	4	4
78	тем не	3	4
79	хотя и	4	4
80	из них	3	4
81	в их	3	4
82	не так	4	4
83	и то	3	4
84	в состоянии	2	4
85	в одну	2	4
86	иначе говоря	11	4
87	он не	2	4
88	не есть	2	4
89	то же	4	4
90	в таком	2	4
91	и т.д	3	4
92	с одной	5	3
93	в нашем	3	3
94	в этих	2	3
95	уже и	2	3
96	на этой	2	3
97	данном случае	5	3
98	а в	3	3
99	бы в	3	3
100	прежде всего	3	3
101	даже в	2	3
102	в данном	8	3
103	отличие от	2	3
104	же не	2	3
105	в сторону	5	2
106	в частности	16	2
107	вследствие этого	2	2
108	что на	3	2
109	как мы	3	2
110	сводится к	3	2
111	для него	4	2
112	на этом	4	2
113	же время	2	2
114	одной стороны	4	2
115	и сам	3	2
116	в котором	2	2
117	с ее	2	2
118	и до	2	2
119	что она	2	2
120	имеет место	4	2
121	те же	2	2
122	с ними	3	2
123	не следует	2	2
124	одну из	2	2
125	одно из	2	2
126	говорить о	6	2
127	в один	4	2
128	то есть	9	2
129	борьбы с	3	2
130	только не	4	2
131	отнюдь не	8	2
132	при таком	2	2
133	вовсе не	2	2
134	а затем	2	2
135	но не	4	2
136	она не	2	2
137	было бы	3	2
138	на себе	3	2
139	в сущности	4	2
140	и особенно	4	2
141	на него	2	2
142	однако при	3	2
143	в себя	4	2
144	тем самым	4	2
145	не знает	3	2
146	этого слова	3	2
147	есть в	3	2
148	в эту	3	2
