N	2gram	Tiupa_Anal_3	Dialekti
1	не есть	4	40
2	и не	12	30
3	по себе	4	25
4	и в	18	18
5	ничего не	3	17
6	может быть	9	17
7	точки зрения	3	17
8	в нем	2	16
9	а не	9	14
10	что в	9	13
11	то что	2	13
12	не только	22	13
13	и даже	8	13
14	было бы	3	12
15	с точки	2	12
16	в этом	14	12
17	не может	2	12
18	что он	4	11
19	как бы	10	11
20	все это	3	11
21	в себе	2	11
22	прежде всего	5	10
23	несмотря на	2	10
24	то же	3	10
25	сказать что	2	10
26	никогда не	5	9
27	отнюдь не	4	9
28	это не	2	9
29	в том	9	9
30	так и	14	9
31	том что	12	9
32	сама по	2	8
33	совершенно не	2	8
34	и как	4	7
35	то в	2	7
36	но и	13	7
37	что она	2	7
38	что не	3	7
39	той или	3	7
40	с другой	7	6
41	можно сказать	4	6
42	да и	2	6
43	не было	3	6
44	и вот	2	6
45	не в	6	6
46	его не	3	6
47	в то	3	6
48	но в	2	6
49	в своем	4	5
50	в противоположность	2	5
51	говорит о	2	5
52	в дальнейшем	2	5
53	не с	2	5
54	все же	4	5
55	в особенности	3	5
56	и он	2	5
57	а в	10	5
58	говорить о	3	5
59	по крайней	4	4
60	у пушкина	3	4
61	в конце	5	4
62	к тому	6	4
63	во всяком	2	4
64	об этом	2	4
65	крайней мере	4	4
66	это и	2	4
67	но не	7	4
68	же время	3	4
69	хотя и	2	4
70	другой стороны	5	4
71	как раз	7	4
72	мы можем	2	4
73	о том	6	4
74	как это	3	4
75	в них	2	3
76	есть не	2	3
77	не является	5	3
78	или иной	5	3
79	что и	5	3
80	вплоть до	2	3
81	что они	3	3
82	он не	6	3
83	в его	7	3
84	и потому	2	3
85	если в	3	3
86	даже в	2	3
87	гораздо более	2	3
88	один из	2	3
89	отношения к	2	3
90	указывает на	3	3
91	в их	6	3
92	в самом	5	3
93	еще и	3	3
94	но с	2	3
95	самом деле	2	3
96	жизнь и	3	3
97	в данном	4	3
98	в ней	2	3
99	могут быть	2	3
100	нуждается в	2	3
101	только в	2	3
102	и все	2	3
103	не менее	4	2
104	но они	2	2
105	е о	2	2
106	бы и	2	2
107	именно в	3	2
108	в частности	12	2
109	были бы	3	2
110	в качестве	12	2
111	как в	3	2
112	не как	2	2
113	и от	2	2
114	из этих	3	2
115	в каждом	3	2
116	к этому	3	2
117	о которых	2	2
118	в мире	5	2
119	как и	14	2
120	тому же	3	2
121	для него	6	2
122	еще не	6	2
123	одной стороны	2	2
124	о чем	4	2
125	о своем	2	2
126	всяком случае	2	2
127	дело не	3	2
128	со стороны	9	2
129	с этим	3	2
130	этом отношении	3	2
131	с одной	2	2
132	все эти	2	2
133	мы имеем	5	2
134	уже не	5	2
135	и для	2	2
136	что касается	3	2
137	он и	3	2
138	но как	3	2
139	во всем	3	2
140	о своих	2	2
141	я в	5	2
142	могла бы	2	2
