N	3gram	Vinokur_Ku_3	Narrotol
1	в том что	8	8
2	с одной стороны	4	7
3	в том числе	2	6
4	о том что	3	6
5	по отношению к	2	6
6	в отличие от	2	5
7	не может быть	3	5
8	той или иной	5	4
9	в данном случае	4	4
10	к тому же	2	4
11	с другой стороны	3	4
12	на себя внимание	2	3
13	тем не менее	9	3
14	то или иное	2	2
15	в связи с	4	2
16	в той или	2	2
17	более или менее	2	2
18	в первом случае	2	2
19	в таком случае	2	2
20	не только в	3	2
21	с точки зрения	16	2
22	в известном смысле	2	2
23	можно было бы	10	2
24	того или иного	3	2
