N	2gram	Tiupa_Disk_2	Psycholo
1	в том	8	37
2	и в	16	32
3	том что	10	21
4	то что	5	21
5	потому что	4	21
6	то есть	12	21
7	что в	5	20
8	может быть	16	18
9	что и	2	17
10	не может	9	17
11	точки зрения	4	17
12	в басне	3	15
13	что он	2	13
14	при этом	17	13
15	то же	6	13
16	в этом	16	13
17	не только	10	12
18	в основе	4	11
19	как и	16	10
20	но и	11	10
21	и не	15	10
22	с точки	2	10
23	никогда не	2	9
24	как в	8	9
25	в своих	6	9
26	не менее	7	8
27	не в	3	8
28	с таким	2	8
29	той же	2	8
30	и как	3	7
31	такой же	2	7
32	а не	14	7
33	все эти	3	7
34	и его	3	7
35	как будто	3	7
36	только в	3	7
37	в этой	4	6
38	он не	3	6
39	как бы	4	6
40	о том	4	6
41	отнюдь не	6	5
42	в ней	2	5
43	далеко не	2	5
44	все это	2	5
45	этом отношении	4	5
46	как на	3	5
47	и на	5	5
48	в то	5	5
49	же как	2	4
50	столь же	3	4
51	что на	2	4
52	иначе говоря	3	4
53	в нем	7	4
54	все же	6	4
55	с той	2	4
56	из них	3	4
57	жизни и	3	4
58	данном случае	6	4
59	а в	2	4
60	и все	3	4
61	мы имеем	2	4
62	и для	2	4
63	в данном	7	4
64	в языке	2	4
65	и с	2	4
66	могут быть	3	4
67	в целом	2	4
68	и это	2	4
69	в творчестве	3	4
70	между тем	2	4
71	состоит в	16	3
72	в частности	12	3
73	с другой	5	3
74	и другого	2	3
75	который не	2	3
76	например в	3	3
77	в своей	6	3
78	с ее	2	3
79	так и	9	3
80	не к	2	3
81	и ее	3	3
82	что же	2	3
83	тому как	2	3
84	и то	4	3
85	но в	11	3
86	место в	2	2
87	с его	6	2
88	в них	3	2
89	это не	3	2
90	одного и	3	2
91	в одном	4	2
92	это в	2	2
93	в полном	2	2
94	или иного	2	2
95	переходе от	2	2
96	к которой	2	2
97	интерес к	2	2
98	сводится к	2	2
99	ни в	7	2
100	же время	5	2
101	всякий раз	2	2
102	а к	2	2
103	еще не	6	2
104	но не	7	2
105	того же	2	2
106	подход к	3	2
107	в его	3	2
108	в этих	3	2
109	отношение к	2	2
110	вместе с	2	2
111	заключает в	2	2
112	действие и	2	2
113	не на	2	2
114	другой стороны	2	2
115	а с	5	2
116	не было	3	2
117	роль в	4	2
118	к своему	2	2
119	отличие от	12	2
120	но это	3	2
121	также и	3	2
122	их в	2	2
123	подобно тому	2	2
124	в себе	19	2
125	того и	2	2
126	в свое	2	2
127	на примере	2	2
128	произведения как	2	2
