N	2gram	Tiupa_Narr_2	Komedia
1	и в	13	26
2	и не	14	14
3	едва ли	3	14
4	к тому	9	12
5	так и	9	12
6	и его	3	12
7	в том	14	11
8	тому же	4	11
9	может быть	10	11
10	но и	15	10
11	на протяжении	5	10
12	в этом	13	10
13	что в	4	9
14	столь же	2	9
15	том что	13	9
16	если бы	4	9
17	было бы	2	8
18	не только	26	7
19	что и	2	7
20	в своем	6	6
21	во время	2	6
22	то что	8	6
23	еще не	2	6
24	в нем	5	6
25	того чтобы	3	6
26	потому что	2	6
27	и здесь	2	6
28	в то	5	6
29	о том	5	6
30	таким образом	5	6
31	с его	3	5
32	что он	5	5
33	в качестве	14	5
34	один из	3	5
35	действующих лиц	3	5
36	место в	5	4
37	не менее	4	4
38	в частности	11	4
39	у него	6	4
40	восходит к	2	4
41	тому что	3	4
42	что у	2	4
43	прежде всего	6	4
44	из этих	2	4
45	же в	4	4
46	как и	4	4
47	в целом	3	4
48	хотя и	5	4
49	в его	6	4
50	мира в	4	4
51	все же	6	4
52	в самом	2	4
53	и для	3	4
54	более чем	2	4
55	можно было	2	4
56	точки зрения	5	4
57	в начале	2	4
58	только в	11	4
59	что это	4	4
60	как это	4	4
61	между тем	3	4
62	о чем	2	3
63	представить себе	3	3
64	с этой	3	3
65	жизни и	4	3
66	отношению к	5	3
67	но не	3	3
68	же время	3	3
69	для нас	2	3
70	и сам	3	3
71	по поводу	2	3
72	со своей	2	3
73	интерес к	2	3
74	как правило	3	3
75	в обоих	2	3
76	да и	3	3
77	в ней	2	3
78	в котором	5	3
79	не имеет	2	3
80	себя в	2	3
81	в своей	4	3
82	по отношению	5	3
83	дело с	2	3
84	той же	2	3
85	то же	4	3
86	ответ на	5	3
87	как в	5	3
88	а в	9	3
89	войны и	4	3
90	или иначе	2	3
91	не может	8	3
92	как он	2	3
93	в этой	4	3
94	но в	6	3
95	в ответ	3	2
96	отнюдь не	4	2
97	однако в	2	2
98	в нашем	2	2
99	в какой	4	2
100	с другой	5	2
101	это не	3	2
102	представления о	2	2
103	нового времени	2	2
104	в конце	4	2
105	вовсе не	2	2
106	и к	6	2
107	об этом	4	2
108	интриги в	3	2
109	в ее	4	2
110	не в	8	2
111	жизни так	3	2
112	в силу	4	2
113	одна из	3	2
114	по своему	2	2
115	одной стороны	5	2
116	у нее	4	2
117	вслед за	6	2
118	он не	5	2
119	как бы	6	2
120	не вполне	2	2
121	не является	4	2
122	хотя бы	2	2
123	и т	2	2
124	в мире	4	2
125	со стороны	6	2
126	что она	2	2
127	в отличие	5	2
128	т п	2	2
129	если не	2	2
130	с одной	5	2
131	в течение	2	2
132	в той	5	2
133	и что	2	2
134	и у	4	2
135	в принципе	2	2
136	в других	2	2
137	отличие от	5	2
138	роль в	2	2
139	мы не	2	2
140	в глазах	4	2
141	с ними	3	2
142	не следует	3	2
143	одно из	2	2
144	следует признать	4	2
145	к его	3	2
146	говорить о	2	2
147	и все	4	2
148	бы в	2	2
149	мы имеем	3	2
150	в состав	3	2
