N	2gram	Losev_Dial_3	Narrotol
1	не только	23	31
2	но и	9	27
3	и не	27	23
4	при этом	2	19
5	может быть	13	15
6	в частности	2	14
7	как и	7	13
8	а не	26	13
9	а в	2	13
10	только в	5	12
11	в этом	8	12
12	и в	24	11
13	в данном	2	11
14	и его	5	10
15	то что	14	9
16	то же	6	8
17	в том	5	8
18	со стороны	2	8
19	не может	19	8
20	уже не	5	8
21	если бы	6	7
22	у него	2	7
23	том что	8	7
24	но в	2	7
25	к тому	4	6
26	об этом	6	6
27	не в	3	6
28	и он	2	6
29	в самом	7	6
30	как бы	3	6
31	жизни и	5	6
32	как раз	7	6
33	тому же	2	6
34	или в	2	6
35	в себе	2	6
36	в его	2	6
37	перед нами	3	5
38	той или	2	5
39	точка зрения	5	5
40	так и	5	5
41	тем самым	3	5
42	и на	3	5
43	потому что	7	5
44	точки зрения	25	5
45	с его	2	4
46	никогда не	7	4
47	из этих	2	4
48	или иной	4	4
49	все же	3	4
50	для него	4	4
51	то в	2	4
52	но не	2	4
53	же время	3	4
54	прежде всего	8	4
55	еще не	2	4
56	к нему	3	4
57	в ней	2	4
58	и тем	2	4
59	в нем	3	4
60	в первом	2	4
61	из них	3	4
62	по себе	20	4
63	так в	2	4
64	того что	12	4
65	или не	5	4
66	хотя и	5	4
67	на себя	3	4
68	в то	5	4
69	что у	2	4
70	о том	6	4
71	одна из	3	4
72	не существует	10	3
73	истории не	2	3
74	не менее	11	3
75	тому как	4	3
76	но они	2	3
77	что в	7	3
78	в своем	3	3
79	это не	4	3
80	что он	13	3
81	тем не	10	3
82	начало и	2	3
83	у нас	4	3
84	и как	8	3
85	не говорит	3	3
86	самом деле	6	3
87	но как	2	3
88	для того	3	3
89	и о	3	3
90	но для	2	3
91	он не	5	3
92	о нем	4	3
93	быть не	2	3
94	не было	3	3
95	именно в	2	3
96	в слове	3	3
97	мы не	5	3
98	о ней	2	3
99	и то	4	3
100	также и	2	3
101	их в	2	3
102	и с	6	3
103	подобно тому	4	3
104	и ее	3	3
105	и все	6	3
106	как это	5	3
107	стало быть	9	3
108	а для	2	3
109	этого не	2	2
110	зависит от	2	2
111	отнюдь не	10	2
112	в зависимости	2	2
113	двух или	2	2
114	она была	2	2
115	того кто	3	2
116	в сущности	10	2
117	на то	3	2
118	как мы	2	2
119	же в	2	2
120	зависимости от	3	2
121	все что	3	2
122	одно и	5	2
123	она не	3	2
124	ни о	3	2
125	никак не	2	2
126	и является	2	2
127	не вполне	2	2
128	также не	3	2
129	всяком случае	2	2
130	не имеет	11	2
131	оно не	6	2
132	хотя бы	4	2
133	себя в	2	2
134	не будет	3	2
135	быть и	3	2
136	только на	7	2
137	и тогда	5	2
138	другой стороны	2	2
139	только что	4	2
140	и только	6	2
141	в особенности	7	2
142	если не	3	2
143	и сама	5	2
144	все равно	2	2
145	сознания в	2	2
146	и вот	2	2
147	только от	2	2
148	что не	5	2
149	и даже	13	2
150	и притом	5	2
151	с другой	4	2
152	и для	2	2
153	друг друга	3	2
154	в таком	14	2
155	ничего не	17	2
156	нас в	2	2
157	сами по	3	2
158	сказать что	4	2
159	во всяком	2	2
160	не о	2	2
161	и от	3	2
162	он и	3	2
163	более не	2	2
164	что мы	8	2
165	ни от	4	2
166	в чем	4	2
167	это было	3	2
