N	2gram	Potebnia_M_3	TeoriaLi
1	не только	21	18
2	тогда как	2	16
3	и не	15	16
4	а в	12	14
5	и в	30	13
6	может быть	28	12
7	так и	11	12
8	то есть	34	12
9	при этом	3	11
10	в этом	10	11
11	в том	32	11
12	но не	7	10
13	а не	15	10
14	и его	4	10
15	в его	4	9
16	то же	23	9
17	в душе	10	8
18	что в	17	8
19	отношению к	5	8
20	но и	19	8
21	по отношению	5	8
22	в себе	16	7
23	том что	18	7
24	точки зрения	2	7
25	в то	10	7
26	только в	21	7
27	место в	3	6
28	же время	5	6
29	еще не	5	6
30	как бы	3	6
31	в своем	5	5
32	в ее	2	5
33	как и	10	5
34	не в	15	5
35	в самом	8	5
36	в нем	9	5
37	как в	10	5
38	он не	4	5
39	уже не	6	5
40	тем самым	7	5
41	с другой	7	5
42	между тем	9	5
43	в искусстве	3	5
44	не менее	5	4
45	не столько	2	4
46	в свою	3	4
47	можно сказать	3	4
48	ни в	2	4
49	более или	3	4
50	в своей	2	4
51	то что	18	4
52	отношение к	2	4
53	в форме	2	4
54	или менее	3	4
55	в их	2	4
56	не может	6	4
57	в слове	32	4
58	сказать что	5	4
59	а и	4	4
60	говорить о	3	4
61	не знает	3	4
62	слова в	7	3
63	перед нами	2	3
64	со своей	2	3
65	прежде всего	3	3
66	художественного произведения	5	3
67	а только	3	3
68	тем не	3	3
69	свою очередь	3	3
70	по своему	2	3
71	для него	9	3
72	того что	18	3
73	например в	6	3
74	и потому	4	3
75	этого слова	11	3
76	не все	4	3
77	другой стороны	4	3
78	так в	2	3
79	входит в	2	3
80	таким образом	14	3
81	а с	2	3
82	именно в	3	3
83	и что	10	3
84	и по	4	3
85	или в	3	3
86	и то	8	3
87	потому что	46	3
88	в этой	2	3
89	отношении к	2	3
90	его в	3	3
91	в произведении	3	3
92	сама по	2	2
93	произведении искусства	4	2
94	только не	2	2
95	если бы	12	2
96	была бы	4	2
97	могут быть	3	2
98	за пределы	2	2
99	себя и	4	2
100	вовсе не	7	2
101	по себе	16	2
102	что он	6	2
103	к тому	7	2
104	об этом	2	2
105	но как	2	2
106	и как	5	2
107	что они	2	2
108	его я	3	2
109	одной стороны	3	2
110	одно и	5	2
111	одной из	2	2
112	вслед за	3	2
113	так или	2	2
114	даже в	2	2
115	и тем	5	2
116	к нему	3	2
117	зрения и	2	2
118	в целом	3	2
119	слова не	2	2
120	вместе с	12	2
121	образом и	3	2
122	со стороны	3	2
123	человеческой жизни	3	2
124	собственно говоря	2	2
125	я как	5	2
126	с одной	7	2
127	это и	2	2
128	к одному	5	2
129	и о	2	2
130	и даже	2	2
131	и притом	2	2
132	так же	3	2
133	их в	2	2
134	у него	2	2
135	а напротив	2	2
136	могла бы	2	2
137	не следует	5	2
138	о том	2	2
139	произведения искусства	2	2
140	и это	4	2
141	в чем	3	2
142	в которой	3	2
143	в области	2	2
144	на деле	5	2
145	я и	3	2
146	это было	3	2
147	для меня	4	2
