N	3gram	Vygotskiy__5	EvropaiE
1	с точки зрения	2	16
2	с одной стороны	12	8
3	в том что	14	6
4	так же как	2	5
5	для того чтобы	19	5
6	той или иной	2	4
7	не только в	2	4
8	само по себе	2	4
9	можно было бы	3	3
10	можно сказать что	2	3
11	заключает в себе	4	3
12	в этом отношении	3	3
13	друг с другом	3	3
14	по сравнению с	4	2
15	по себе не	2	2
16	в данном случае	2	2
17	друг от друга	2	2
18	на то что	16	2
19	с другой стороны	5	2
20	из того что	3	2
21	то что в	2	2
22	заключается в том	6	2
23	не может быть	2	2
