N	2gram	Nazirov_Tv_1	formyVre
1	и в	21	46
2	в этом	6	22
3	прежде всего	4	14
4	и т	3	14
5	вовсе не	5	13
6	в романе	10	13
7	и его	6	12
8	только в	5	11
9	не только	7	11
10	т п	2	11
11	в том	7	10
12	как бы	17	10
13	то есть	12	10
14	но в	7	10
15	у него	7	9
16	не в	2	9
17	вместе с	2	9
18	но и	3	9
19	и не	7	9
20	как и	12	8
21	в его	13	8
22	жизни и	3	8
23	то же	13	8
24	потому что	5	8
25	из них	2	8
26	в основном	4	8
27	может быть	5	7
28	то что	8	7
29	так и	2	7
30	времени в	13	7
31	и на	7	7
32	так сказать	2	7
33	никогда не	3	6
34	и все	6	6
35	при этом	7	6
36	все же	5	6
37	все это	10	6
38	человека в	6	6
39	и наконец	2	6
40	в основе	2	6
41	так как	3	6
42	и с	3	6
43	в частности	2	5
44	в своем	4	5
45	в пространстве	2	5
46	в дальнейшем	3	5
47	в то	15	5
48	но не	3	5
49	он не	8	5
50	в нем	3	5
51	что в	12	5
52	и у	2	5
53	место в	3	4
54	уже в	3	4
55	отнюдь не	5	4
56	жизни в	6	4
57	человека и	4	4
58	же время	12	4
59	с ним	3	4
60	том что	11	4
61	так что	2	4
62	в котором	6	4
63	в мире	4	4
64	как в	8	4
65	еще более	2	4
66	а не	5	4
67	и он	2	4
68	в себе	2	4
69	героев и	3	4
70	о том	6	4
71	отчасти и	2	3
72	того же	2	3
73	та же	4	3
74	к этому	2	3
75	к тому	2	3
76	что он	6	3
77	а затем	2	3
78	самое время	2	3
79	и как	4	3
80	в качестве	2	3
81	для него	6	3
82	тот же	2	3
83	хотя и	3	3
84	что и	2	3
85	ее в	3	3
86	во времени	3	3
87	и другие	3	3
88	таким образом	5	3
89	в их	3	3
90	уже не	3	3
91	здесь мы	2	3
92	того что	3	3
93	и даже	3	3
94	и по	3	3
95	а в	6	3
96	на протяжении	3	3
97	между вещами	2	3
98	в этих	2	3
99	в виду	2	3
100	мира в	2	3
101	не был	3	2
102	и та	2	2
103	в вечности	2	2
104	с другой	3	2
105	и других	3	2
106	это не	4	2
107	в одной	2	2
108	что все	3	2
109	представление о	3	2
110	в духе	2	2
111	ее и	2	2
112	времени он	3	2
113	можно сказать	2	2
114	влияние на	2	2
115	протяжении всего	2	2
116	не мог	2	2
117	именно в	2	2
118	бога и	2	2
119	в этой	5	2
120	до конца	2	2
121	со всеми	3	2
122	если в	2	2
123	один из	4	2
124	жизни с	2	2
125	не может	4	2
126	на земле	3	2
127	в двух	2	2
128	в себя	2	2
129	него есть	2	2
130	с большой	4	2
131	так же	3	2
132	представлений о	2	2
133	в данном	2	2
134	но это	5	2
135	людей и	2	2
136	то в	2	2
137	и от	4	2
138	могут быть	2	2
139	но он	2	2
140	в литературе	2	2
141	ту же	3	2
142	не знает	2	2
143	далеко не	3	2
144	в средневековой	2	2
145	пространства и	2	2
146	значит что	2	2
