N	2gram	Tiupa_Vved_1	Tvorches
1	и в	13	20
2	в романе	6	15
3	не только	20	13
4	никогда не	4	11
5	как бы	4	11
6	в его	4	10
7	таким образом	4	10
8	в то	4	10
9	и его	5	9
10	и не	12	9
11	прежде всего	7	8
12	в том	10	8
13	при этом	26	8
14	но и	19	8
15	может быть	18	8
16	в этом	21	8
17	и с	2	8
18	это не	6	7
19	же время	3	7
20	наряду с	2	7
21	что в	3	7
22	не может	7	7
23	то же	5	7
24	потому что	5	7
25	как и	11	6
26	в целом	3	6
27	в своей	5	6
28	так и	8	6
29	а не	15	6
30	в мире	8	5
31	но это	3	5
32	еще не	7	5
33	но не	5	5
34	например в	2	5
35	все же	6	5
36	и на	3	5
37	о том	5	5
38	то есть	8	5
39	об этом	4	4
40	и от	2	4
41	мы не	4	4
42	в соответствии	6	4
43	том что	7	4
44	соответствии с	6	4
45	отнюдь не	7	4
46	хотя и	7	4
47	как в	4	4
48	тем самым	5	4
49	не в	6	4
50	а в	6	4
51	если бы	7	4
52	но в	6	4
53	место в	2	3
54	а с	2	3
55	жизни в	4	3
56	в одной	2	3
57	к этому	2	3
58	с ним	3	3
59	отношению к	7	3
60	одна из	4	3
61	письма к	2	3
62	для него	3	3
63	у нее	2	3
64	своего рода	10	3
65	в самом	2	3
66	о жизни	2	3
67	он не	3	3
68	в котором	8	3
69	не является	3	3
70	по сути	2	3
71	один из	3	3
72	в нем	5	3
73	то что	6	3
74	по отношению	7	3
75	тогда как	10	3
76	уже не	5	3
77	одним из	5	3
78	в рассказе	6	3
79	тем что	2	3
80	в своих	2	3
81	в себе	5	3
82	в начале	3	3
83	действующих лиц	2	2
84	зависит от	2	2
85	не менее	4	2
86	восходит к	2	2
87	с другой	5	2
88	в этот	2	2
89	что на	2	2
90	в литературе	2	2
91	тому же	4	2
92	как о	2	2
93	из жизни	2	2
94	в частности	13	2
95	для которого	3	2
96	точка зрения	3	2
97	на него	2	2
98	как по	2	2
99	приводит к	2	2
100	так в	4	2
101	в отличие	2	2
102	бы не	2	2
103	ли не	2	2
104	начиная с	3	2
105	не было	2	2
106	сводится к	4	2
107	самом деле	3	2
108	может служить	4	2
109	и наконец	2	2
110	другой стороны	2	2
111	и по	3	2
112	не столько	4	2
113	х гг	3	2
114	в основе	3	2
115	могут быть	4	2
116	говорить о	2	2
117	только в	6	2
118	как правило	6	2
119	героя и	3	2
120	так сказать	2	2
121	их в	2	2
122	едва ли	3	2
123	отличие от	2	2
124	к которому	2	2
125	тоже не	2	2
