N	2gram	Bakhtin_Pr_3	Psycholo
1	и в	53	38
2	то что	9	35
3	в том	14	25
4	в самом	2	25
5	что в	2	20
6	может быть	12	19
7	точки зрения	4	16
8	в ней	7	15
9	то есть	48	15
10	том что	5	14
11	как бы	14	14
12	потому что	5	14
13	в этом	8	13
14	мы видим	2	12
15	было бы	5	12
16	не только	4	12
17	таким образом	6	12
18	не в	2	12
19	что он	4	11
20	что это	2	10
21	в сущности	10	10
22	то же	6	10
23	и не	15	10
24	и все	10	10
25	с точки	2	9
26	в двух	2	9
27	перед нами	5	8
28	с этим	2	8
29	вовсе не	3	8
30	как и	11	8
31	и это	3	8
32	с другой	2	7
33	в ее	3	7
34	а не	11	7
35	мы можем	5	7
36	не может	2	7
37	как мы	5	7
38	а в	2	7
39	между тем	2	7
40	мы уже	5	7
41	все то	3	7
42	из них	4	6
43	мы видели	2	6
44	с самого	3	6
45	до сих	5	6
46	один из	6	6
47	и если	3	6
48	он не	3	6
49	так как	7	6
50	как это	2	6
51	и его	10	6
52	и на	18	6
53	самого начала	4	6
54	о том	2	6
55	я не	4	5
56	казалось бы	3	5
57	несмотря на	2	5
58	в своей	3	5
59	вместе с	2	5
60	но и	7	5
61	сих пор	5	5
62	в той	2	5
63	мы не	4	5
64	в его	8	5
65	так сказать	5	5
66	в которой	2	5
67	никогда не	2	4
68	по своему	6	4
69	при этом	3	4
70	и для	4	4
71	конечно не	4	4
72	во всех	12	4
73	в нем	10	4
74	что и	3	4
75	ее в	3	4
76	как в	7	4
77	все эти	9	4
78	здесь мы	2	4
79	и даже	2	4
80	в своих	2	4
81	сказать что	10	4
82	мы все	2	4
83	только в	4	4
84	как будто	2	4
85	одна из	7	4
86	в себе	5	4
87	не то	3	4
88	место в	2	3
89	каждого из	2	3
90	в них	2	3
91	главным образом	3	3
92	к этому	4	3
93	и к	5	3
94	и конечно	2	3
95	конечно в	2	3
96	а я	2	3
97	но это	3	3
98	эти два	2	3
99	того же	2	3
100	тот же	2	3
101	наряду с	5	3
102	в один	2	3
103	в основе	5	3
104	уже говорили	2	3
105	все это	8	3
106	одновременно и	3	3
107	в таком	2	3
108	и тем	2	3
109	тем что	2	3
110	далеко не	2	3
111	в то	5	3
112	его в	2	3
113	здесь не	4	3
114	но в	5	3
115	и которые	2	3
116	это был	2	2
117	но они	4	2
118	и более	2	2
119	видели что	2	2
120	на время	2	2
121	и другие	9	2
122	можно назвать	2	2
123	в этих	5	2
124	смысле этого	2	2
125	и одновременно	4	2
126	хотя бы	2	2
127	так например	2	2
128	и во	4	2
129	что именно	2	2
130	и ее	6	2
131	по существу	5	2
132	этого рассказа	2	2
133	есть в	3	2
134	здесь в	10	2
135	со всеми	8	2
136	они не	3	2
137	например в	5	2
138	но он	2	2
139	и той	2	2
140	жанра и	2	2
141	и уже	2	2
142	говорит о	2	2
143	к самому	4	2
144	не могу	3	2
145	в одной	2	2
146	для всех	2	2
147	и наконец	2	2
148	и по	3	2
149	мы найдем	3	2
150	той же	5	2
151	в конце	3	2
152	а у	2	2
153	их в	2	2
154	он в	2	2
155	к себе	6	2
156	в истории	3	2
157	с ним	2	2
158	ничего не	6	2
159	в эту	3	2
