N	2gram	Berdyaev_O_1	Formalny
1	и в	19	38
2	в этом	12	27
3	т е	4	26
4	может быть	11	23
5	и его	4	21
6	и не	13	20
7	в самом	5	16
8	прежде всего	9	15
9	не в	11	15
10	не может	4	14
11	в нем	10	13
12	но и	13	13
13	с его	4	11
14	с тем	2	11
15	в том	5	11
16	в его	7	10
17	и с	2	9
18	как и	6	9
19	не только	11	9
20	что и	2	8
21	все же	2	8
22	так и	2	8
23	тем что	2	8
24	что в	4	7
25	не могут	3	7
26	по себе	2	7
27	для него	5	7
28	в своей	2	7
29	в других	2	7
30	лишь в	7	7
31	не было	9	6
32	то что	5	6
33	в истории	2	6
34	и ее	3	6
35	в этой	5	6
36	было бы	3	6
37	все эти	4	6
38	а не	11	6
39	могут быть	3	6
40	он не	7	6
41	а в	5	6
42	хотя бы	3	6
43	что он	3	5
44	что же	2	5
45	и для	2	5
46	к этому	2	4
47	что они	2	4
48	как бы	3	4
49	и к	2	4
50	что не	4	4
51	даже и	2	4
52	ничего не	2	4
53	так как	2	4
54	но в	2	4
55	из всего	2	3
56	не есть	2	3
57	все это	6	3
58	только и	4	3
59	к нему	3	3
60	того что	3	3
61	того чтобы	4	3
62	для того	3	3
63	и на	2	3
64	хотя и	2	3
65	как к	2	3
66	и все	10	3
67	его в	2	3
68	это было	3	3
69	уже в	2	2
70	подойти к	2	2
71	никогда не	9	2
72	в этих	3	2
73	это не	3	2
74	же это	2	2
75	в ее	2	2
76	до конца	7	2
77	том что	2	2
78	от него	7	2
79	совсем не	2	2
80	и о	2	2
81	в единстве	2	2
82	он был	8	2
83	отношение к	5	2
84	ее в	2	2
85	всего в	2	2
86	его не	2	2
87	не имеет	2	2
88	должно быть	2	2
89	что для	2	2
90	есть лишь	4	2
91	и то	2	2
92	сказать что	2	2
93	он в	2	2
94	и от	3	2
95	и этим	2	2
96	должен был	2	2
97	потому что	9	2
98	в которой	2	2
99	с ним	3	2
100	не могли	2	2
