N	2gram	Medvedev_F_1	Dialekti
1	не есть	2	54
2	т е	34	48
3	и не	20	27
4	а не	10	26
5	точки зрения	16	25
6	и в	24	24
7	и т	12	24
8	не только	7	23
9	т д	8	23
10	что такое	2	21
11	по себе	5	20
12	не может	16	19
13	ничего не	2	17
14	и что	2	15
15	то что	8	14
16	с точки	13	14
17	может быть	14	13
18	таким образом	13	13
19	и даже	3	13
20	что он	3	13
21	вовсе не	10	13
22	того что	5	12
23	не менее	11	11
24	отнюдь не	6	10
25	она есть	2	10
26	только не	2	10
27	ни в	2	9
28	но и	7	9
29	учение о	4	8
30	прежде всего	22	8
31	и как	3	8
32	отличается от	3	8
33	в этом	15	8
34	если же	2	8
35	что в	4	7
36	никогда не	4	7
37	в самом	5	7
38	в особенности	3	7
39	даже и	2	7
40	ясно что	3	7
41	это и	3	7
42	как и	11	7
43	только на	5	7
44	как раз	2	7
45	ничем не	3	7
46	вещей и	3	6
47	должна быть	7	6
48	все это	9	6
49	и с	8	6
50	если бы	4	6
51	и все	6	6
52	оно не	4	6
53	что и	2	6
54	не на	2	6
55	то же	10	6
56	самом деле	6	6
57	и пр	17	6
58	с этой	4	5
59	в том	6	5
60	но это	3	5
61	только как	2	5
62	точка зрения	2	5
63	жизни и	7	5
64	и его	10	5
65	как на	4	5
66	в то	9	5
67	как это	6	5
68	в них	3	5
69	от чего	2	5
70	вопрос о	2	5
71	и к	4	5
72	было бы	6	5
73	он не	3	5
74	так и	18	5
75	уже не	2	5
76	мы не	3	5
77	только в	2	5
78	с другой	5	4
79	это не	2	4
80	сама по	2	4
81	к тому	3	4
82	как о	4	4
83	хотя бы	5	4
84	во что	2	4
85	так же	4	4
86	нет и	2	4
87	у нас	5	4
88	в истории	4	4
89	конечно не	4	4
90	от того	2	4
91	жизнь и	3	4
92	и это	2	4
93	для него	3	4
94	не было	3	3
95	все же	3	3
96	все время	2	3
97	вопрос об	2	3
98	за пределы	2	3
99	в своем	11	3
100	и от	7	3
101	была бы	2	3
102	его как	3	3
103	не в	8	3
104	она не	6	3
105	же время	8	3
106	одной стороны	4	3
107	в основе	3	3
108	в нем	14	3
109	с одной	4	3
110	все эти	6	3
111	того или	2	3
112	должно быть	11	3
113	друг друга	4	3
114	и на	8	3
115	с этим	2	3
116	именно как	12	3
117	во всем	2	3
118	ни на	3	3
119	он должен	3	3
120	вещах и	2	3
121	зависимости от	3	3
122	одна из	2	3
123	как таковое	2	3
124	сами по	2	3
125	как бы	6	3
126	быть и	4	3
127	или же	3	3
128	тем самым	3	3
129	должны быть	5	3
130	раз и	2	3
131	и всякий	2	3
132	и ее	10	3
133	же как	2	2
134	она должна	3	2
135	в частности	4	2
136	как таковой	6	2
137	лишь как	5	2
138	еще не	6	2
139	не можем	2	2
140	при этом	5	2
141	и если	2	2
142	но для	3	2
143	не о	3	2
144	и является	2	2
145	всяком случае	4	2
146	она была	2	2
147	целый ряд	3	2
148	для этого	4	2
149	именно в	8	2
150	только и	4	2
151	и вот	2	2
152	они не	3	2
153	его не	2	2
154	а в	6	2
155	в своих	2	2
156	ее от	2	2
157	в ней	10	2
158	и здесь	6	2
159	бы быть	2	2
160	и потому	9	2
161	бы в	3	2
162	к этой	4	2
163	но в	5	2
164	с его	4	2
165	перестает быть	3	2
166	в зависимости	2	2
167	в их	11	2
168	думать что	3	2
169	или иного	3	2
170	же они	2	2
171	же в	3	2
172	по существу	2	2
173	но не	3	2
174	и позитивизм	2	2
175	и чисто	2	2
176	со всеми	3	2
177	фактов и	2	2
178	природы или	2	2
179	однако не	2	2
180	со стороны	5	2
181	бытия в	3	2
182	всего этого	2	2
183	следовательно и	2	2
184	как мы	5	2
185	или иначе	2	2
186	тот или	2	2
187	бы то	3	2
188	во всяком	4	2
189	как с	2	2
190	в себе	3	2
191	учения о	2	2
192	в его	23	2
193	может и	2	2
