N	2gram	Kanaev_Sov_1	Narrotol
1	не только	4	26
2	а не	3	17
3	в том	4	14
4	при этом	3	14
5	и не	6	14
6	и в	7	13
7	в этом	7	13
8	такого рода	2	12
9	может быть	12	10
10	а в	4	9
11	в себе	3	8
12	не может	17	8
13	не в	3	8
14	прежде всего	5	6
15	и к	3	6
16	в его	2	6
17	все же	3	6
18	у него	2	6
19	как бы	4	6
20	ничего не	6	6
21	но в	3	6
22	точки зрения	12	5
23	тем не	2	5
24	в нем	3	5
25	в отличие	2	5
26	таким образом	11	5
27	с одной	2	5
28	отличие от	2	5
29	что это	2	4
30	не менее	2	4
31	отнюдь не	3	4
32	в конце	3	4
33	как и	6	4
34	времени и	2	4
35	что в	2	4
36	о жизни	2	4
37	жизни и	4	4
38	то же	3	4
39	уже не	2	4
40	в этой	3	4
41	и т.д	3	4
42	и все	3	4
43	точку зрения	4	3
44	это не	4	3
45	или иной	2	3
46	одна из	3	3
47	в целом	4	3
48	между собой	3	3
49	то и	2	3
50	все эти	5	3
51	самом деле	2	3
52	и даже	2	3
53	и по	2	3
54	в таком	2	3
55	которой он	2	3
56	так сказать	2	3
57	можно назвать	2	2
58	в нашем	2	2
59	из этих	2	2
60	и пространства	2	2
61	в свою	2	2
62	для нас	3	2
63	еще не	3	2
64	было бы	3	2
65	со всеми	2	2
66	в самом	2	2
67	что она	3	2
68	все те	2	2
69	он может	3	2
70	жизни мы	2	2
71	у нас	3	2
72	и что	2	2
73	с точки	5	2
74	той же	2	2
75	роль в	2	2
76	мы не	9	2
77	в результате	6	2
78	в виде	2	2
79	говорить о	2	2
80	как он	3	2
81	в области	3	2
