N	2gram	Savitsky_E_1	PoTuStor
1	может быть	6	17
2	и в	37	16
3	прежде всего	9	9
4	таким образом	2	9
5	в этом	12	9
6	мы можем	3	9
7	и только	3	9
8	и с	2	8
9	точки зрения	23	8
10	не может	9	8
11	сказать что	4	7
12	не только	18	7
13	и к	3	6
14	с точки	17	6
15	как бы	6	5
16	отнюдь не	9	4
17	но и	14	4
18	так и	10	4
19	хотя бы	15	4
20	и все	2	4
21	так как	7	4
22	и не	14	4
23	как мы	5	4
24	можно сказать	4	4
25	и наконец	2	4
26	и даже	6	4
27	и на	6	4
28	в этой	2	4
29	только в	9	4
30	но в	14	4
31	в его	2	4
32	и теперь	2	3
33	в этих	2	3
34	по сравнению	2	3
35	что в	21	3
36	жизни и	2	3
37	во всех	6	3
38	могут быть	2	3
39	вместе с	2	3
40	сравнению с	2	3
41	в большинстве	2	3
42	в одном	2	3
43	этом смысле	3	3
44	большинстве случаев	3	3
45	и притом	4	3
46	в том	11	3
47	а в	2	3
48	том что	6	3
49	и как	2	3
50	с другими	2	3
51	то что	6	3
52	в общем	3	3
53	мира и	3	3
54	на язык	2	3
55	как это	4	3
56	в области	11	3
57	во всяком	3	3
58	и потому	5	3
59	между ними	2	3
60	всяком случае	3	3
61	и этот	2	2
62	ее в	3	2
63	не могут	2	2
64	что и	3	2
65	не есть	2	2
66	в развитии	2	2
67	ни было	4	2
68	же как	5	2
69	не будет	3	2
70	как не	2	2
71	в частности	5	2
72	никогда не	3	2
73	между собой	2	2
74	в них	3	2
75	того же	3	2
76	во всей	2	2
77	вообще не	3	2
78	с этой	6	2
79	и таким	2	2
80	с этим	2	2
81	то же	15	2
82	на них	2	2
83	и других	2	2
84	мы не	4	2
85	что на	2	2
86	можем сказать	2	2
87	и по	5	2
88	и для	3	2
89	нам кажется	7	2
90	для нас	4	2
91	как и	7	2
92	на основе	2	2
93	мы видим	2	2
94	так же	9	2
95	есть в	2	2
96	по своему	7	2
97	не на	4	2
98	он не	2	2
99	в каком	4	2
100	не можем	2	2
101	в пределах	25	2
102	было бы	8	2
103	что это	2	2
104	кажется что	2	2
105	и мы	3	2
106	о том	3	2
107	в самом	4	2
108	но как	2	2
109	в своей	8	2
110	к ним	3	2
