N	2gram	Berdyaev_O_1	Istorich
1	и в	19	28
2	может быть	11	25
3	не может	4	15
4	а не	11	15
5	никогда не	9	14
6	что в	4	12
7	не только	11	12
8	что он	3	10
9	все же	2	10
10	прежде всего	9	10
11	но и	13	10
12	т е	4	10
13	в том	5	9
14	о том	3	9
15	то что	5	9
16	и не	13	9
17	не в	11	9
18	так и	2	9
19	в этом	12	8
20	но в	2	8
21	в этих	3	7
22	это не	3	7
23	том что	2	7
24	еще не	3	7
25	было бы	3	7
26	а в	5	7
27	что и	2	6
28	когда он	3	6
29	в этой	5	6
30	его в	2	6
31	так как	2	6
32	вопрос о	10	5
33	что они	2	5
34	ее в	2	5
35	в своем	2	5
36	сказать что	2	5
37	в его	7	5
38	все это	6	4
39	с тем	2	4
40	так что	2	4
41	как и	6	4
42	того что	3	4
43	хотя бы	3	4
44	и для	2	4
45	и с	2	4
46	и на	2	4
47	потому что	9	4
48	могут быть	3	4
49	все эти	4	4
50	не все	2	4
51	по себе	2	3
52	что же	2	3
53	и его	4	3
54	и он	8	3
55	тем что	2	3
56	должен был	2	3
57	в другом	2	3
58	это за	3	3
59	не могут	3	2
60	к этому	2	2
61	и от	3	2
62	их не	2	2
63	и потому	2	2
64	в ее	2	2
65	для него	5	2
66	в глубине	7	2
67	мысль о	2	2
68	что не	4	2
69	никто не	3	2
70	с ним	3	2
71	как бы	3	2
72	в нем	10	2
73	это было	3	2
74	не есть	2	2
75	в русской	3	2
76	всего в	2	2
77	он не	7	2
78	и вот	3	2
79	должно быть	2	2
80	ничего не	2	2
81	он в	2	2
82	с чего	2	2
83	в себе	3	2
84	и этим	2	2
