N	2gram	Medvedev_F_2	Literetu
1	и не	20	22
2	и в	38	16
3	при этом	9	15
4	не только	9	14
5	но и	13	14
6	в этом	27	14
7	а не	6	12
8	то что	6	12
9	может быть	23	12
10	в том	11	12
11	не в	15	10
12	то же	6	9
13	так и	8	9
14	того что	3	9
15	в то	5	9
16	том что	2	8
17	не может	14	8
18	в этой	6	8
19	как бы	4	8
20	в своей	7	7
21	же время	5	7
22	со стороны	2	7
23	тем самым	2	7
24	точки зрения	8	7
25	только в	6	7
26	с его	11	6
27	состоит в	2	6
28	с другой	3	6
29	произведение искусства	2	6
30	к тому	4	6
31	в его	10	6
32	и его	21	6
33	в качестве	2	5
34	это не	2	5
35	что он	5	5
36	в ее	2	5
37	как и	9	5
38	лишь в	7	5
39	в целом	3	5
40	вместе с	6	5
41	как в	4	5
42	а именно	2	5
43	в отличие	2	5
44	а в	6	5
45	этом отношении	7	5
46	именно в	5	5
47	в основе	5	5
48	в поэзии	12	5
49	отличие от	2	5
50	место в	3	4
51	но не	2	4
52	никогда не	2	4
53	даже в	2	4
54	по существу	7	4
55	до конца	2	4
56	и для	5	4
57	хотя и	3	4
58	из них	4	4
59	входит в	4	4
60	должно быть	2	4
61	произведения в	2	3
62	все время	6	3
63	в единстве	2	3
64	отнюдь не	8	3
65	прежде всего	15	3
66	более того	5	3
67	и как	3	3
68	то в	2	3
69	совершенно не	4	3
70	например в	3	3
71	и к	4	3
72	в самом	16	3
73	в сторону	4	3
74	в слове	5	3
75	однако не	3	3
76	и тем	2	3
77	жизни и	3	3
78	уже не	7	3
79	самом деле	8	3
80	и наконец	4	3
81	с точки	7	3
82	потому что	2	3
83	там где	4	3
84	едва ли	2	3
85	как это	2	3
86	в области	3	3
87	но в	4	3
88	между тем	2	3
89	а лишь	3	2
90	художественного произведения	6	2
91	к предмету	3	2
92	что в	7	2
93	если бы	5	2
94	все более	2	2
95	то ни	2	2
96	как о	4	2
97	оно не	4	2
98	не как	4	2
99	в конце	2	2
100	искусство как	3	2
101	одного из	3	2
102	к этому	4	2
103	по себе	7	2
104	в нем	13	2
105	и ее	6	2
106	связи с	13	2
107	во втором	7	2
108	для него	7	2
109	было бы	6	2
110	что не	4	2
111	во всех	5	2
112	как таковое	4	2
113	один из	2	2
114	то это	3	2
115	что и	8	2
116	все же	8	2
117	отношение к	2	2
118	во второй	2	2
119	в самый	2	2
120	как мы	7	2
121	во всей	2	2
122	как раз	6	2
123	как например	2	2
124	по аналогии	2	2
125	и только	5	2
126	художественное произведение	2	2
127	того чтобы	3	2
128	для того	3	2
129	другой стороны	4	2
130	и даже	4	2
131	с ними	2	2
132	и на	3	2
133	и с	9	2
134	тем что	8	2
135	он в	2	2
136	он и	3	2
137	установка на	2	2
138	его в	3	2
139	в первом	7	2
140	здесь не	4	2
141	ее в	2	2
142	если это	2	2
