N	2gram	Berdyaev_M_1	Hudozhes
1	в мире	10	23
2	то есть	3	18
3	и не	11	16
4	в том	6	15
5	и в	28	15
6	не только	29	15
7	может быть	30	13
8	а в	4	12
9	и его	9	12
10	но не	8	11
11	в этом	20	11
12	в себе	7	11
13	как бы	2	10
14	отношению к	2	10
15	но и	25	10
16	по отношению	2	10
17	а не	25	10
18	в его	9	9
19	точки зрения	4	9
20	себя в	3	8
21	в то	2	7
22	но в	7	7
23	в основе	2	6
24	с его	3	6
25	что в	10	6
26	в ее	3	6
27	том что	3	6
28	не в	16	6
29	отношение к	4	6
30	приводит к	2	6
31	не может	28	6
32	по своей	2	6
33	могут быть	2	5
34	только в	6	5
35	в самом	11	5
36	того что	7	5
37	в нем	13	5
38	то что	5	5
39	в их	4	5
40	уже не	4	5
41	место в	2	4
42	в этих	4	4
43	личности в	2	4
44	прежде всего	10	4
45	к тому	3	4
46	и как	2	4
47	для него	11	4
48	он не	24	4
49	в своей	15	4
50	входит в	2	4
51	отношения к	4	4
52	сказать что	2	4
53	не знает	4	4
54	если бы	2	3
55	он должен	3	3
56	это не	5	3
57	что он	10	3
58	и к	2	3
59	человека к	2	3
60	по своему	2	3
61	в свою	2	3
62	о чем	2	3
63	мог бы	4	3
64	человеческой жизни	2	3
65	к нему	7	3
66	как и	5	3
67	в той	2	3
68	лишь в	6	3
69	и что	2	3
70	и для	2	3
71	потому что	16	3
72	но он	9	3
73	его в	3	3
74	человека с	2	3
75	в которой	6	3
76	в виду	2	3
77	на этом	3	2
78	себя и	3	2
79	жизни в	2	2
80	в своем	10	2
81	в них	4	2
82	не как	4	2
83	человека и	14	2
84	с самим	2	2
85	с их	2	2
86	никто не	2	2
87	за пределы	4	2
88	и потому	10	2
89	не все	2	2
90	как в	2	2
91	все эти	2	2
92	это и	4	2
93	того чтобы	2	2
94	для того	2	2
95	и по	4	2
96	с ним	2	2
97	в иной	3	2
98	ведет к	6	2
99	и на	6	2
100	у него	17	2
101	одно из	3	2
102	не принадлежит	2	2
103	о себе	3	2
104	в этой	6	2
105	отношении к	2	2
106	о том	2	2
107	и это	12	2
108	мира и	5	2
109	бы не	2	2
