N	2gram	Medvedev_F_1	FransuaR
1	и в	24	56
2	в его	23	18
3	таким образом	13	17
4	все эти	6	15
5	в этом	15	14
6	в том	6	13
7	так и	18	13
8	и его	10	12
9	в то	9	12
10	вещей и	3	11
11	до конца	7	11
12	как бы	6	11
13	в них	3	11
14	то же	10	11
15	же время	8	10
16	еще не	6	10
17	и до	5	10
18	только в	2	9
19	в самом	5	9
20	но и	7	9
21	и не	20	9
22	не только	7	8
23	и др	5	8
24	в нем	14	8
25	во всех	5	8
26	сих пор	6	8
27	и их	10	8
28	все это	9	8
29	и даже	3	8
30	до сих	6	8
31	и с	8	8
32	в частности	4	7
33	в большинстве	3	7
34	как мы	5	7
35	и на	8	7
36	прежде всего	22	6
37	вовсе не	10	6
38	в ее	8	6
39	в этой	6	6
40	эпохи и	2	6
41	на его	2	6
42	точки зрения	16	6
43	связи с	3	6
44	и все	6	6
45	большинстве случаев	2	6
46	но в	5	6
47	но не	3	5
48	с его	4	5
49	никогда не	4	5
50	в отношении	3	5
51	в пределах	6	5
52	с ее	7	5
53	как и	11	5
54	он не	3	5
55	один из	3	5
56	мы видели	2	5
57	в процессе	9	5
58	что в	4	5
59	не было	3	5
60	в результате	2	5
61	они не	3	5
62	так сказать	3	5
63	в области	3	5
64	и более	2	4
65	и ее	10	4
66	в себе	3	4
67	они были	2	4
68	и к	4	4
69	конечно не	4	4
70	за пределы	2	4
71	наконец в	3	4
72	в ней	10	4
73	и потому	9	4
74	начала и	2	4
75	с одной	4	4
76	при этом	5	4
77	и других	3	4
78	форм и	6	4
79	в основе	3	4
80	в своих	2	4
81	во всем	2	4
82	в особенности	3	4
83	одна из	2	4
84	в которой	4	4
85	со всею	5	3
86	всех этих	3	3
87	с начала	2	3
88	в своем	11	3
89	до настоящего	2	3
90	в литературе	5	3
91	главным образом	4	3
92	и здесь	6	3
93	более того	3	3
94	здесь в	2	3
95	может быть	14	3
96	одной из	2	3
97	в настоящее	10	3
98	настоящего времени	2	3
99	что и	2	3
100	то что	8	3
101	время в	3	3
102	в их	11	3
103	не на	2	3
104	в связи	4	3
105	в году	2	3
106	с помощью	3	3
107	в систему	3	3
108	уже не	2	3
109	и наконец	3	3
110	не в	8	3
111	между тем	2	3
112	и самый	2	3
113	настоящее время	10	3
114	бы в	3	3
115	к которому	2	3
116	и глубже	2	2
117	только не	2	2
118	если бы	4	2
119	отчасти и	4	2
120	в нашем	2	2
121	с другой	5	2
122	это не	2	2
123	на языке	2	2
124	не как	4	2
125	в одном	2	2
126	на самом	7	2
127	отражение в	2	2
128	значение и	3	2
129	что он	3	2
130	так например	3	2
131	ни было	2	2
132	ни в	2	2
133	и как	3	2
134	но это	3	2
135	для него	3	2
136	одной стороны	4	2
137	было бы	6	2
138	в действительности	2	2
139	действительности и	3	2
140	нем и	2	2
141	а в	6	2
142	фактов и	2	2
143	между ними	3	2
144	точка зрения	2	2
145	вопрос об	2	2
146	все же	3	2
147	в своей	11	2
148	в мире	4	2
149	когда он	3	2
150	его как	3	2
151	вместе с	2	2
152	самом деле	6	2
153	ни одного	2	2
154	или менее	6	2
155	только на	5	2
156	во всей	2	2
157	целый ряд	3	2
158	так же	4	2
159	как раз	2	2
160	не может	16	2
161	как к	3	2
162	то ни	3	2
163	культуры и	3	2
164	этом процессе	2	2
165	а не	10	2
166	с точки	13	2
167	его в	3	2
168	бы то	3	2
169	и те	2	2
170	мы не	3	2
171	от всех	3	2
172	с этой	4	2
173	чтобы стать	2	2
174	с тем	2	2
175	нашей работы	3	2
176	с ним	2	2
177	более или	6	2
178	в эту	2	2
