N	3gram	Vinokur_Ku_2	Myshleni
1	для того чтобы	8	14
2	в том что	10	11
3	с точки зрения	8	9
4	так же как	2	7
5	можно сказать что	2	5
6	в этом отношении	3	5
7	потому что он	2	5
8	с этой точки	2	4
9	на этот вопрос	2	4
10	этой точки зрения	2	4
11	в лучшем случае	3	3
12	письменной речи в	2	3
13	можно было бы	9	3
14	в свою очередь	2	3
15	в этом случае	2	3
16	не может быть	4	3
17	и в другом	2	2
18	в отличие от	2	2
19	в свое время	2	2
20	в самом деле	7	2
21	мы говорим о	2	2
22	само по себе	5	2
23	с другой стороны	7	2
24	в зависимости от	4	2
25	вместе с тем	2	2
26	то обстоятельство что	7	2
27	но все же	2	2
