N	2gram	Tiupa_Vved_1	Myshleni
1	в том	10	33
2	том что	7	27
3	то что	6	20
4	в этом	21	19
5	того что	6	17
6	и в	13	15
7	не только	20	15
8	что в	3	14
9	таким образом	4	14
10	и т.д	5	12
11	в самом	2	11
12	в целом	3	10
13	но и	19	10
14	было бы	4	10
15	мы не	4	10
16	мы можем	2	10
17	в своем	5	9
18	может быть	18	9
19	не является	3	9
20	не может	7	9
21	что мы	2	9
22	о том	5	9
23	так и	8	8
24	никогда не	4	8
25	не в	6	8
26	если бы	7	8
27	к тому	6	7
28	высшей степени	2	7
29	одной стороны	5	7
30	с одной	5	7
31	и не	12	7
32	в высшей	2	7
33	потому что	5	7
34	как бы	4	7
35	по себе	2	7
36	он не	3	7
37	и т.п	9	7
38	едва ли	3	7
39	в частности	13	6
40	как мы	3	6
41	мы видели	2	6
42	по отношению	7	6
43	с другой	5	6
44	как он	2	6
45	но в	6	6
46	и к	2	6
47	как и	11	6
48	по своей	3	6
49	самом деле	3	6
50	к которому	2	6
51	это не	6	5
52	все что	3	5
53	отношению к	7	5
54	приводит к	2	5
55	то же	5	5
56	можно было	2	5
57	прежде всего	7	4
58	из этих	3	4
59	для нас	2	4
60	по поводу	2	4
61	том чтобы	2	4
62	который в	2	4
63	в них	2	4
64	не имеет	2	4
65	а в	6	4
66	их в	2	4
67	и с	2	4
68	в начале	3	4
69	к этому	2	4
70	все же	6	4
71	в качестве	8	4
72	в своей	5	4
73	как в	4	4
74	как раз	2	4
75	а с	2	4
76	и его	5	4
77	только в	6	4
78	но на	2	3
79	об этом	4	3
80	не можем	2	3
81	для него	3	3
82	при этом	26	3
83	точка зрения	3	3
84	данном случае	6	3
85	со стороны	5	3
86	этом отношении	4	3
87	те же	2	3
88	лишь в	2	3
89	и по	3	3
90	в результате	3	3
91	в основе	3	3
92	с ним	3	3
93	мы имеем	5	3
94	и все	4	3
95	не существует	2	3
96	состоит в	10	3
97	но не	5	3
98	для которого	3	3
99	бы и	4	3
100	должны были	2	3
101	на самом	4	3
102	тем самым	5	3
103	а не	15	3
104	в данном	13	3
105	в отличие	2	3
106	детей в	2	3
107	отличие от	2	3
108	он является	2	2
109	в этих	3	2
110	перед нами	6	2
111	или иной	3	2
112	можно сказать	4	2
113	что на	2	2
114	и более	3	2
115	когда в	2	2
116	той или	3	2
117	в котором	8	2
118	его с	2	2
119	и тем	2	2
120	могут быть	4	2
121	как по	2	2
122	целый ряд	2	2
123	то он	2	2
124	не следует	3	2
125	в категориях	2	2
126	говорить о	2	2
127	также и	4	2
128	однако и	2	2
129	мира и	2	2
130	а также	8	2
131	и составляет	3	2
132	отнюдь не	7	2
133	всей его	2	2
134	не могло	2	2
135	к его	3	2
136	представляет собой	15	2
137	наряду с	2	2
138	иначе говоря	6	2
139	в его	4	2
140	что и	2	2
141	детская речь	2	2
142	принадлежит к	3	2
143	во всех	2	2
144	или менее	2	2
145	что же	3	2
146	и для	3	2
147	все равно	2	2
148	в силу	2	2
149	тому как	2	2
150	тем что	2	2
151	подобно тому	2	2
152	в себе	5	2
153	более или	2	2
154	стало быть	7	2
