N	2gram	Bakhtin_Fr_8	Sovremen
1	не может	2	17
2	точки зрения	6	12
3	может быть	3	12
4	таким образом	17	11
5	мы не	2	9
6	в этом	14	7
7	и в	56	7
8	и не	9	6
9	как и	5	6
10	в результате	5	6
11	прежде всего	6	5
12	все эти	15	5
13	и наконец	3	5
14	с точки	2	5
15	в условиях	5	5
16	как бы	11	4
17	в развитии	2	4
18	мы видели	5	4
19	вместе с	2	4
20	это не	2	4
21	а в	2	4
22	не только	8	4
23	с помощью	3	4
24	в том	13	4
25	их в	4	4
26	из них	2	4
27	так как	4	4
28	уже в	2	3
29	все же	2	3
30	видели что	3	3
31	все это	8	3
32	не подлежит	3	3
33	то же	11	3
34	у всех	2	3
35	на две	2	3
36	в нем	8	3
37	а не	2	3
38	и к	4	3
39	не в	3	3
40	в этой	6	3
41	одна из	4	3
42	еще не	10	3
43	при этом	4	3
44	было бы	2	3
45	и т.д	3	3
46	в одном	2	3
47	и все	6	3
48	в себе	4	3
49	в области	5	3
50	что она	2	3
51	но в	6	3
52	и потому	4	3
53	так сказать	5	2
54	в настоящее	3	2
55	что это	4	2
56	в виде	2	2
57	в некоторых	3	2
58	у него	7	2
59	в нашем	2	2
60	на котором	2	2
61	и во	2	2
62	что все	4	2
63	с одной	4	2
64	как мы	7	2
65	уже не	3	2
66	самом деле	2	2
67	роль в	5	2
68	из которых	2	2
69	и даже	8	2
70	той же	6	2
71	конечно в	2	2
72	то ни	2	2
73	мы видим	6	2
74	такой же	5	2
75	времени и	4	2
76	а на	2	2
77	что в	5	2
78	настоящее время	3	2
79	на его	6	2
80	в самом	9	2
81	в которой	4	2
82	в его	18	2
83	подлежит сомнению	3	2
84	все те	2	2
