N	3gram	Vinokur_Ku_3	Problema
1	тем не менее	9	18
2	и т д	8	10
3	в данном случае	4	8
4	и тем не	3	8
5	для того чтобы	11	8
6	как раз и	2	7
7	сам по себе	3	7
8	в таком случае	2	6
9	о том что	3	5
10	в том что	8	5
11	той или иной	5	4
12	а не просто	2	4
13	сама по себе	2	4
14	в связи с	4	4
15	только то что	2	4
16	на самом деле	3	4
17	более или менее	2	3
18	с точки зрения	16	3
19	до сих пор	8	3
20	с другой стороны	3	3
21	и того же	2	2
22	можно было бы	10	2
23	в самом деле	11	2
24	и в этом	4	2
25	не говоря уже	2	2
26	того или иного	3	2
27	одного и того	2	2
28	в этом случае	4	2
29	и в самом	4	2
30	не может быть	3	2
31	так как он	2	2
