N	2gram	Potebnia_M_4	FransuaR
1	и в	23	45
2	то есть	34	25
3	и не	18	15
4	не только	10	14
5	в этом	23	14
6	но в	8	14
7	в его	5	13
8	и его	2	13
9	эти образы	2	12
10	как бы	5	12
11	во время	2	12
12	что в	17	12
13	в своем	8	11
14	то же	14	11
15	в то	4	11
16	в том	23	10
17	в нем	7	10
18	но и	11	10
19	как и	14	10
20	и с	4	10
21	же время	3	9
22	вовсе не	7	8
23	как мы	2	8
24	в ней	2	8
25	и др	2	8
26	таким образом	24	8
27	в самой	2	8
28	так же	4	8
29	том что	12	7
30	не в	11	7
31	что и	7	7
32	все это	5	7
33	потому что	33	7
34	и все	4	7
35	что он	4	6
36	он не	2	6
37	так и	6	6
38	мысли и	7	6
39	того чтобы	4	6
40	для того	6	6
41	связи с	3	6
42	так как	14	6
43	в них	3	6
44	есть и	2	5
45	с ним	5	5
46	и к	6	5
47	мы видим	2	5
48	но это	3	5
49	например в	3	5
50	хотя и	5	5
51	и их	3	5
52	не может	11	5
53	все эти	3	5
54	на самом	3	5
55	самом деле	3	5
56	и у	2	5
57	и как	2	5
58	и на	3	5
59	его в	4	5
60	об этом	2	4
61	мы не	8	4
62	до известной	2	4
63	и здесь	2	4
64	по своему	2	4
65	кроме того	3	4
66	по поводу	4	4
67	в самом	3	4
68	в сущности	2	4
69	и о	4	4
70	между собою	4	4
71	мы уже	3	4
72	известной степени	3	4
73	эта связь	2	4
74	а не	12	4
75	и даже	2	4
76	а в	5	4
77	той же	3	4
78	можно было	2	4
79	с образами	2	4
80	сказать что	8	4
81	с этим	7	4
82	точки зрения	4	4
83	только в	15	4
84	о том	8	4
85	и это	2	4
86	бы в	2	4
87	это было	2	4
88	не менее	5	3
89	от его	2	3
90	как в	7	3
91	это не	7	3
92	из этих	2	3
93	в одном	4	3
94	что на	2	3
95	есть в	5	3
96	для него	5	3
97	от того	4	3
98	до сих	4	3
99	вместе с	6	3
100	сих пор	4	3
101	что она	2	3
102	и прежде	2	3
103	не было	12	3
104	именно в	3	3
105	в течение	2	3
106	того что	14	3
107	на этот	2	3
108	не имеет	5	3
109	и для	2	3
110	тела и	2	3
111	в которых	3	3
112	в поэзии	3	3
113	там где	3	3
114	только для	2	2
115	не могут	2	2
116	если мы	2	2
117	с тем	7	2
118	независимо от	6	2
119	и есть	3	2
120	и та	4	2
121	и без	2	2
122	говорить о	5	2
123	по тому	2	2
124	превращается в	2	2
125	хотя бы	4	2
126	что все	4	2
127	значение и	2	2
128	можно сказать	4	2
129	к тому	3	2
130	несколько слов	2	2
131	то что	29	2
132	в большинстве	2	2
133	и слова	2	2
134	со словом	3	2
135	было бы	8	2
136	что это	7	2
137	и если	3	2
138	к ней	2	2
139	конечно не	2	2
140	может быть	26	2
141	образы и	3	2
142	том же	2	2
143	даже в	2	2
144	один из	2	2
145	и мысли	2	2
146	в каждом	3	2
147	слова и	5	2
148	на том	2	2
149	и до	3	2
150	данном случае	2	2
151	в различных	2	2
152	связанная с	3	2
153	в ту	2	2
154	а именно	4	2
155	так в	3	2
156	происходит в	2	2
157	и только	3	2
158	на котором	4	2
159	при этом	15	2
160	но эта	2	2
161	в истории	4	2
162	лишь в	3	2
163	и что	7	2
164	с точки	3	2
165	и притом	2	2
166	к нему	5	2
167	нас в	2	2
168	в данном	4	2
169	между тем	9	2
170	мы можем	10	2
171	она и	2	2
172	от земли	2	2
173	и вообще	2	2
174	ту же	3	2
175	же самое	4	2
176	но мы	2	2
177	уже и	2	2
178	большинстве случаев	2	2
179	заметить что	6	2
