N	3gram	Vinokur_Ku_2	Marksizm
1	с точки зрения	8	20
2	не может быть	4	13
3	в самом деле	7	9
4	в связи с	3	7
5	в отличие от	2	5
6	с другой стороны	7	5
7	в то же	3	3
8	на этот вопрос	2	3
9	то же время	3	3
10	можно сказать что	2	3
11	в конце концов	3	3
12	в этом отношении	3	3
13	в том что	10	3
14	в этом случае	2	3
15	но все же	2	3
16	для того чтобы	8	3
17	в узком смысле	2	2
18	так же как	2	2
19	в свою очередь	2	2
20	можно было бы	9	2
21	тем не менее	5	2
22	во всяком случае	5	2
23	в этом смысле	5	2
