N	2gram	Medvedev_F_1	Myshleni
1	в том	6	28
2	и в	24	28
3	то что	8	28
4	в этом	15	27
5	того что	5	24
6	не может	16	19
7	таким образом	13	18
8	что он	3	18
9	только в	2	18
10	что в	4	17
11	не только	7	16
12	так же	4	15
13	может быть	14	13
14	с помощью	3	13
15	точки зрения	16	13
16	и не	20	11
17	к другим	2	11
18	как бы	6	11
19	в отношении	3	10
20	к тому	3	10
21	как мы	5	10
22	но и	7	10
23	от того	2	10
24	по отношению	4	10
25	но не	3	10
26	отношению к	4	10
27	с точки	13	10
28	было бы	6	9
29	в процессе	9	9
30	никогда не	4	8
31	в самом	5	8
32	мы видели	2	8
33	еще не	6	8
34	тем самым	3	8
35	если бы	4	7
36	в нем	14	7
37	в своем	11	7
38	и других	3	7
39	отношение к	3	7
40	он не	3	7
41	вместе с	2	7
42	то же	10	7
43	между ними	3	7
44	в которой	4	7
45	и к	4	6
46	же как	2	6
47	и как	3	6
48	и что	2	6
49	для него	3	6
50	в то	9	6
51	его в	3	6
52	как и	11	6
53	и развития	2	6
54	так и	18	6
55	приводит к	2	6
56	как раз	2	6
57	мы не	3	6
58	в области	3	6
59	иначе как	2	5
60	это не	2	5
61	вопрос о	2	5
62	в пределах	6	5
63	и на	8	5
64	и все	6	5
65	но в	5	5
66	с тем	2	5
67	в зависимости	2	5
68	зависимости от	3	5
69	в этой	6	5
70	именно в	8	4
71	в частности	4	4
72	в нашем	2	4
73	не в	8	4
74	целый ряд	3	4
75	с этим	2	4
76	они не	3	4
77	друг друга	4	4
78	на основе	6	4
79	мысли в	2	4
80	он должен	3	4
81	ясно что	3	4
82	и развитие	2	4
83	оно не	4	4
84	что и	2	4
85	во всех	5	4
86	ко всем	2	4
87	в себе	3	4
88	в структуру	2	4
89	независимо от	4	3
90	в другой	2	3
91	в каждом	3	3
92	все время	2	3
93	как это	6	3
94	совершается в	2	3
95	отличается от	3	3
96	до конца	7	3
97	при этом	5	3
98	на его	2	3
99	в целом	6	3
100	в их	11	3
101	как на	4	3
102	в системе	2	3
103	в своих	2	3
104	в основе	3	3
105	и здесь	6	3
106	бы в	3	3
107	от этого	2	3
108	с его	4	3
109	только не	2	3
110	в них	3	3
111	на фоне	3	3
112	по себе	5	3
113	остановиться на	2	3
114	это и	3	3
115	связи с	3	3
116	до сих	6	3
117	не по	3	3
118	один из	3	3
119	в его	23	3
120	сих пор	6	3
121	как в	8	3
122	а не	10	3
123	что такое	2	3
124	и его	10	3
125	значение для	2	3
126	отношении к	2	3
127	отношения к	6	3
128	исследования и	2	3
129	не менее	11	2
130	всю свою	2	2
131	все более	2	2
132	для этого	4	2
133	с другой	5	2
134	с этой	4	2
135	была бы	2	2
136	прежде всего	22	2
137	предполагает уже	2	2
138	а только	2	2
139	но это	3	2
140	и более	2	2
141	самом деле	6	2
142	и от	7	2
143	и является	2	2
144	и др	5	2
145	если мы	2	2
146	все это	9	2
147	в связи	4	2
148	все эти	6	2
149	форм и	6	2
150	и наконец	3	2
151	не из	4	2
152	с ним	2	2
153	если он	3	2
154	и непосредственно	3	2
155	раз и	2	2
156	в одном	2	2
157	не с	2	2
158	у нас	5	2
159	по существу	2	2
160	более того	3	2
161	она не	6	2
162	как таковое	2	2
163	в ряду	2	2
164	в своей	11	2
165	этого слова	3	2
166	еще в	2	2
167	не могло	5	2
168	все же	3	2
169	когда он	3	2
170	каждой из	3	2
171	самое понятие	2	2
172	всем этим	2	2
173	только на	5	2
174	не на	2	2
175	а в	6	2
176	перейти к	2	2
177	бы оно	2	2
178	у них	3	2
179	с другими	4	2
180	как с	2	2
181	к которому	2	2
