N	2gram	Trubetskoy_1	RusskieA
1	и в	14	29
2	что в	4	22
3	том что	9	22
4	в том	17	22
5	как бы	4	18
6	состоит в	2	15
7	в других	2	15
8	может быть	9	13
9	так как	4	13
10	во время	2	12
11	как и	4	11
12	одна из	3	11
13	в этом	17	11
14	все это	6	10
15	и с	7	10
16	не только	9	10
17	о том	7	9
18	в некоторых	2	9
19	а в	5	9
20	во многих	2	9
21	но и	10	8
22	ее в	2	8
23	его в	4	8
24	данном случае	3	7
25	или в	3	7
26	с тем	6	6
27	этом случае	3	6
28	еще не	3	6
29	для того	6	6
30	для нас	2	6
31	вместе с	4	6
32	таким образом	11	6
33	при этом	5	6
34	того чтобы	8	6
35	и на	5	6
36	в данном	7	6
37	на земле	4	5
38	потому что	5	5
39	то что	13	5
40	и что	2	5
41	но не	4	5
42	для этого	3	5
43	и т	3	5
44	не может	22	5
45	но в	2	5
46	именно в	3	4
47	тогда когда	4	4
48	вопрос о	5	4
49	уже не	2	4
50	по существу	5	4
51	так что	2	4
52	не в	4	4
53	из них	3	4
54	к нему	2	4
55	том же	2	4
56	так же	2	4
57	то же	11	4
58	а не	2	4
59	в таком	2	4
60	их в	2	4
61	в виде	3	4
62	тем что	3	3
63	в этих	2	3
64	в качестве	3	3
65	и от	2	3
66	главным образом	3	3
67	она не	2	3
68	того что	3	3
69	было бы	5	3
70	и о	2	3
71	но если	3	3
72	в котором	2	3
73	во всех	5	3
74	что для	3	3
75	все эти	2	3
76	и по	3	3
77	друг друга	3	3
78	между тем	5	3
79	в этой	4	3
80	в таких	2	3
81	что это	3	3
82	связи с	3	2
83	никогда не	5	2
84	по этому	2	2
85	между собой	5	2
86	жизни в	5	2
87	из этих	3	2
88	это в	2	2
89	прежде всего	8	2
90	совершенно очевидно	2	2
91	что и	3	2
92	что с	2	2
93	и как	3	2
94	и при	6	2
95	для них	3	2
96	на эту	2	2
97	совершенно не	2	2
98	когда они	4	2
99	из этого	3	2
100	но она	2	2
101	все же	4	2
102	в своей	5	2
103	этом и	2	2
104	вся эта	2	2
105	не к	2	2
106	том чтобы	3	2
107	там и	2	2
108	в их	4	2
109	вряд ли	3	2
110	тогда как	2	2
111	а с	2	2
112	не было	3	2
113	в течение	2	2
114	на самом	6	2
115	этот вопрос	2	2
116	из которых	5	2
117	и для	6	2
118	должно быть	3	2
119	можно было	4	2
120	принадлежат к	2	2
121	в своих	6	2
122	и то	4	2
123	людей и	2	2
124	с этим	2	2
125	на себя	2	2
126	во всем	4	2
127	в то	10	2
128	так чтобы	3	2
129	церкви и	9	2
130	использовать в	2	2
131	не можем	2	2
